metric,value
variants.path_ar_large_aug.source_mean_mse,0.20921804010868073
variants.path_ar_large_aug.seed_std,
variants.path_ar_large_aug.source_mean_bin_mse,0.08269580453634262
variants.path_ar_large_aug.persistence.gain,0.44422332299580114
variants.path_ar_large_aug.persistence.ci95.lower,0.4389473333954811
variants.path_ar_large_aug.persistence.ci95.upper,0.44921728819608686
variants.path_ar_large_aug.persistence.sources,27
variants.path_direct_large_aug.source_mean_mse,0.20863769948482513
variants.path_direct_large_aug.seed_std,
variants.path_direct_large_aug.source_mean_bin_mse,0.08214930444955826
variants.path_direct_large_aug.persistence.gain,0.44576496722155456
variants.path_direct_large_aug.persistence.ci95.lower,0.4407846093177795
variants.path_direct_large_aug.persistence.ci95.upper,0.450653138756752
variants.path_direct_large_aug.persistence.sources,27
comparisons.path_ar_large_aug_vs_path_direct_large_aug.gain,-0.002781571237070679
comparisons.path_ar_large_aug_vs_path_direct_large_aug.ci95.lower,-0.005166083574295044
comparisons.path_ar_large_aug_vs_path_direct_large_aug.ci95.upper,-0.0007299780845642093
comparisons.path_ar_large_aug_vs_path_direct_large_aug.sources,27
comparisons.path_ar_large_aug_vs_path_direct_large_aug_bin_means.gain,-0.0066525223852615945
comparisons.path_ar_large_aug_vs_path_direct_large_aug_bin_means.ci95.lower,-0.012588292360305786
comparisons.path_ar_large_aug_vs_path_direct_large_aug_bin_means.ci95.upper,-0.0015134543180465713
comparisons.path_ar_large_aug_vs_path_direct_large_aug_bin_means.sources,27
