id,comparison_group,family,model,metric,value,unit,direction,population,split,horizon_ps,seeds,evidence,source,path,evidence_text,caveat,sha256
gf-static-finetune-000,gf-static-finetune,geoframe,Original GFv2,cosine_silhouette,0.7095,dimensionless,higher,772953 static Al neighborhoods; 3000-row silhouette subset,descriptive static,none,1,local_report,repo,docs/geoframe_spatiotemporal_vicreg_20260905.md,| Original GFv2 | 0.7095 | 0.7106 |,Same-trajectory development; cluster quality is not physical forecasting; FactorVAE disabled in fine-tunes.,86ea2c6434cb6f69d1f028b9c2ac1ea727f52aad72d579e0e914cac5303f1df7
gf-static-finetune-001,gf-static-finetune,geoframe,Original GFv2,davies_bouldin,0.7106,dimensionless,lower,772953 static Al neighborhoods; 3000-row silhouette subset,descriptive static,none,1,local_report,repo,docs/geoframe_spatiotemporal_vicreg_20260905.md,| Original GFv2 | 0.7095 | 0.7106 |,Same-trajectory development; cluster quality is not physical forecasting; FactorVAE disabled in fine-tunes.,86ea2c6434cb6f69d1f028b9c2ac1ea727f52aad72d579e0e914cac5303f1df7
gf-static-finetune-002,gf-static-finetune,geoframe,VICReg best,cosine_silhouette,0.7646,dimensionless,higher,772953 static Al neighborhoods; 3000-row silhouette subset,descriptive static,none,1,local_report,repo,docs/geoframe_spatiotemporal_vicreg_20260905.md,| VICReg best | 0.7646 | 0.7955 |,Same-trajectory development; cluster quality is not physical forecasting; FactorVAE disabled in fine-tunes.,86ea2c6434cb6f69d1f028b9c2ac1ea727f52aad72d579e0e914cac5303f1df7
gf-static-finetune-003,gf-static-finetune,geoframe,VICReg best,davies_bouldin,0.7955,dimensionless,lower,772953 static Al neighborhoods; 3000-row silhouette subset,descriptive static,none,1,local_report,repo,docs/geoframe_spatiotemporal_vicreg_20260905.md,| VICReg best | 0.7646 | 0.7955 |,Same-trajectory development; cluster quality is not physical forecasting; FactorVAE disabled in fine-tunes.,86ea2c6434cb6f69d1f028b9c2ac1ea727f52aad72d579e0e914cac5303f1df7
gf-static-finetune-004,gf-static-finetune,geoframe,VICReg final,cosine_silhouette,0.7571,dimensionless,higher,772953 static Al neighborhoods; 3000-row silhouette subset,descriptive static,none,1,local_report,repo,docs/geoframe_spatiotemporal_vicreg_20260905.md,| VICReg final | 0.7571 | 0.8039 |,Same-trajectory development; cluster quality is not physical forecasting; FactorVAE disabled in fine-tunes.,86ea2c6434cb6f69d1f028b9c2ac1ea727f52aad72d579e0e914cac5303f1df7
gf-static-finetune-005,gf-static-finetune,geoframe,VICReg final,davies_bouldin,0.8039,dimensionless,lower,772953 static Al neighborhoods; 3000-row silhouette subset,descriptive static,none,1,local_report,repo,docs/geoframe_spatiotemporal_vicreg_20260905.md,| VICReg final | 0.7571 | 0.8039 |,Same-trajectory development; cluster quality is not physical forecasting; FactorVAE disabled in fine-tunes.,86ea2c6434cb6f69d1f028b9c2ac1ea727f52aad72d579e0e914cac5303f1df7
gf-static-finetune-006,gf-static-finetune,geoframe,VISReg best,cosine_silhouette,0.6137,dimensionless,higher,772953 static Al neighborhoods; 3000-row silhouette subset,descriptive static,none,1,local_report,repo,docs/geoframe_spatiotemporal_vicreg_20260905.md,| VISReg best | 0.6137 | 1.0454 |,Same-trajectory development; cluster quality is not physical forecasting; FactorVAE disabled in fine-tunes.,86ea2c6434cb6f69d1f028b9c2ac1ea727f52aad72d579e0e914cac5303f1df7
gf-static-finetune-007,gf-static-finetune,geoframe,VISReg best,davies_bouldin,1.0454,dimensionless,lower,772953 static Al neighborhoods; 3000-row silhouette subset,descriptive static,none,1,local_report,repo,docs/geoframe_spatiotemporal_vicreg_20260905.md,| VISReg best | 0.6137 | 1.0454 |,Same-trajectory development; cluster quality is not physical forecasting; FactorVAE disabled in fine-tunes.,86ea2c6434cb6f69d1f028b9c2ac1ea727f52aad72d579e0e914cac5303f1df7
gf-static-finetune-008,gf-static-finetune,geoframe,VISReg final,cosine_silhouette,0.5911,dimensionless,higher,772953 static Al neighborhoods; 3000-row silhouette subset,descriptive static,none,1,local_report,repo,docs/geoframe_spatiotemporal_vicreg_20260905.md,| VISReg final | 0.5911 | 1.0149 |,Same-trajectory development; cluster quality is not physical forecasting; FactorVAE disabled in fine-tunes.,86ea2c6434cb6f69d1f028b9c2ac1ea727f52aad72d579e0e914cac5303f1df7
gf-static-finetune-009,gf-static-finetune,geoframe,VISReg final,davies_bouldin,1.0149,dimensionless,lower,772953 static Al neighborhoods; 3000-row silhouette subset,descriptive static,none,1,local_report,repo,docs/geoframe_spatiotemporal_vicreg_20260905.md,| VISReg final | 0.5911 | 1.0149 |,Same-trajectory development; cluster quality is not physical forecasting; FactorVAE disabled in fine-tunes.,86ea2c6434cb6f69d1f028b9c2ac1ea727f52aad72d579e0e914cac5303f1df7
task-trained-shooting-010,task-trained-shooting,continuous_controls,Reference MACE,future_topology_mse_reduction,2.08,percent,higher,initially noncoherent Al; independent shooting sources,reused test,"mean12,24,48",3,local_report,repo,docs/predictive_encoder_training_20260905.md,| Reference MACE | +2.08% | -14.31% | +3.16% |,Relative to trained nonlinear coarse-order+temperature; different assay from coarse-augmented ridge.,fae11644dca0b294376955f18ead426bd9d468747dcfeca710be98644e82b557
task-trained-shooting-011,task-trained-shooting,continuous_controls,Reference MACE,future_order_mse_reduction,-14.31,percent,higher,initially noncoherent Al; independent shooting sources,reused test,"mean12,24,48",3,local_report,repo,docs/predictive_encoder_training_20260905.md,| Reference MACE | +2.08% | -14.31% | +3.16% |,Relative to trained nonlinear coarse-order+temperature; different assay from coarse-augmented ridge.,fae11644dca0b294376955f18ead426bd9d468747dcfeca710be98644e82b557
task-trained-shooting-012,task-trained-shooting,continuous_controls,Reference MACE,future_mobility_mse_reduction,3.16,percent,higher,initially noncoherent Al; independent shooting sources,reused test,"mean12,24,48",3,local_report,repo,docs/predictive_encoder_training_20260905.md,| Reference MACE | +2.08% | -14.31% | +3.16% |,Relative to trained nonlinear coarse-order+temperature; different assay from coarse-augmented ridge.,fae11644dca0b294376955f18ead426bd9d468747dcfeca710be98644e82b557
task-trained-shooting-013,task-trained-shooting,continuous_controls,SchNet-style,future_topology_mse_reduction,3.29,percent,higher,initially noncoherent Al; independent shooting sources,reused test,"mean12,24,48",3,local_report,repo,docs/predictive_encoder_training_20260905.md,| SchNet-style | +3.29% | -13.06% | +2.97% |,Relative to trained nonlinear coarse-order+temperature; different assay from coarse-augmented ridge.,fae11644dca0b294376955f18ead426bd9d468747dcfeca710be98644e82b557
task-trained-shooting-014,task-trained-shooting,continuous_controls,SchNet-style,future_order_mse_reduction,-13.06,percent,higher,initially noncoherent Al; independent shooting sources,reused test,"mean12,24,48",3,local_report,repo,docs/predictive_encoder_training_20260905.md,| SchNet-style | +3.29% | -13.06% | +2.97% |,Relative to trained nonlinear coarse-order+temperature; different assay from coarse-augmented ridge.,fae11644dca0b294376955f18ead426bd9d468747dcfeca710be98644e82b557
task-trained-shooting-015,task-trained-shooting,continuous_controls,SchNet-style,future_mobility_mse_reduction,2.97,percent,higher,initially noncoherent Al; independent shooting sources,reused test,"mean12,24,48",3,local_report,repo,docs/predictive_encoder_training_20260905.md,| SchNet-style | +3.29% | -13.06% | +2.97% |,Relative to trained nonlinear coarse-order+temperature; different assay from coarse-augmented ridge.,fae11644dca0b294376955f18ead426bd9d468747dcfeca710be98644e82b557
task-trained-shooting-016,task-trained-shooting,continuous_controls,Smooth-density MLP,future_topology_mse_reduction,7.05,percent,higher,initially noncoherent Al; independent shooting sources,reused test,"mean12,24,48",3,local_report,repo,docs/predictive_encoder_training_20260905.md,| Smooth-density MLP | **+7.05%** | -6.63% | +0.34% |,Relative to trained nonlinear coarse-order+temperature; different assay from coarse-augmented ridge.,fae11644dca0b294376955f18ead426bd9d468747dcfeca710be98644e82b557
task-trained-shooting-017,task-trained-shooting,continuous_controls,Smooth-density MLP,future_order_mse_reduction,-6.63,percent,higher,initially noncoherent Al; independent shooting sources,reused test,"mean12,24,48",3,local_report,repo,docs/predictive_encoder_training_20260905.md,| Smooth-density MLP | **+7.05%** | -6.63% | +0.34% |,Relative to trained nonlinear coarse-order+temperature; different assay from coarse-augmented ridge.,fae11644dca0b294376955f18ead426bd9d468747dcfeca710be98644e82b557
task-trained-shooting-018,task-trained-shooting,continuous_controls,Smooth-density MLP,future_mobility_mse_reduction,0.34,percent,higher,initially noncoherent Al; independent shooting sources,reused test,"mean12,24,48",3,local_report,repo,docs/predictive_encoder_training_20260905.md,| Smooth-density MLP | **+7.05%** | -6.63% | +0.34% |,Relative to trained nonlinear coarse-order+temperature; different assay from coarse-augmented ridge.,fae11644dca0b294376955f18ead426bd9d468747dcfeca710be98644e82b557
task-trained-shooting-019,task-trained-shooting,continuous_controls,GeoFrame v2,future_topology_mse_reduction,3.11,percent,higher,initially noncoherent Al; independent shooting sources,reused test,"mean12,24,48",3,local_report,repo,docs/predictive_encoder_training_20260905.md,| GeoFrame v2 | +3.11% | -15.18% | +2.99% |,Relative to trained nonlinear coarse-order+temperature; different assay from coarse-augmented ridge.,fae11644dca0b294376955f18ead426bd9d468747dcfeca710be98644e82b557
task-trained-shooting-020,task-trained-shooting,continuous_controls,GeoFrame v2,future_order_mse_reduction,-15.18,percent,higher,initially noncoherent Al; independent shooting sources,reused test,"mean12,24,48",3,local_report,repo,docs/predictive_encoder_training_20260905.md,| GeoFrame v2 | +3.11% | -15.18% | +2.99% |,Relative to trained nonlinear coarse-order+temperature; different assay from coarse-augmented ridge.,fae11644dca0b294376955f18ead426bd9d468747dcfeca710be98644e82b557
task-trained-shooting-021,task-trained-shooting,continuous_controls,GeoFrame v2,future_mobility_mse_reduction,2.99,percent,higher,initially noncoherent Al; independent shooting sources,reused test,"mean12,24,48",3,local_report,repo,docs/predictive_encoder_training_20260905.md,| GeoFrame v2 | +3.11% | -15.18% | +2.99% |,Relative to trained nonlinear coarse-order+temperature; different assay from coarse-augmented ridge.,fae11644dca0b294376955f18ead426bd9d468747dcfeca710be98644e82b557
task-trained-shooting-022,task-trained-shooting,continuous_controls,SOAP + PCA,future_topology_mse_reduction,5.69,percent,higher,initially noncoherent Al; independent shooting sources,reused test,"mean12,24,48",3,local_report,repo,docs/predictive_encoder_training_20260905.md,| SOAP + PCA | +5.69% | -6.64% | -2.19% |,Relative to trained nonlinear coarse-order+temperature; different assay from coarse-augmented ridge.,fae11644dca0b294376955f18ead426bd9d468747dcfeca710be98644e82b557
task-trained-shooting-023,task-trained-shooting,continuous_controls,SOAP + PCA,future_order_mse_reduction,-6.64,percent,higher,initially noncoherent Al; independent shooting sources,reused test,"mean12,24,48",3,local_report,repo,docs/predictive_encoder_training_20260905.md,| SOAP + PCA | +5.69% | -6.64% | -2.19% |,Relative to trained nonlinear coarse-order+temperature; different assay from coarse-augmented ridge.,fae11644dca0b294376955f18ead426bd9d468747dcfeca710be98644e82b557
task-trained-shooting-024,task-trained-shooting,continuous_controls,SOAP + PCA,future_mobility_mse_reduction,-2.19,percent,higher,initially noncoherent Al; independent shooting sources,reused test,"mean12,24,48",3,local_report,repo,docs/predictive_encoder_training_20260905.md,| SOAP + PCA | +5.69% | -6.64% | -2.19% |,Relative to trained nonlinear coarse-order+temperature; different assay from coarse-augmented ridge.,fae11644dca0b294376955f18ead426bd9d468747dcfeca710be98644e82b557
