model,domain,population,lag_ps,component,eigenvalue
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,1,18.70643047140851
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,2,3.489563095650019
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,3,1.0182650085076426
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,4,0.3354664500050716
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,5,0.15086668229261935
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,6,0.09231151238065738
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,7,0.07500424284775778
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,8,0.06127447101329108
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,9,0.05180686217247035
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,10,0.04620942615495083
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,11,0.034228511802117875
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,12,0.02579117398485982
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,13,0.022272580366718774
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,14,0.02009153827242984
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,15,0.017871922715421602
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,16,0.017058646685527923
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,17,0.01654232873396461
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,18,0.013475934113020838
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,19,0.012124054740187927
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,20,0.010781985271039405
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,21,0.010600058945797481
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,22,0.01024785918444241
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,23,0.009208291404082844
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,24,0.008361503177344458
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,25,0.008339908165454692
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,26,0.00800495784073486
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,27,0.0076587439774425305
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,28,0.007151016007523023
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,29,0.00684697861686456
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,30,0.006806395131295351
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,31,0.006170816599227575
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,32,0.005943055228049976
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,33,0.0057330497843307605
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,34,0.005524262036310108
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,35,0.005354075776464804
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,36,0.005262590370801508
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,37,0.005056505406234097
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,38,0.004862025333463086
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,39,0.004782510220889281
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,40,0.004603926866509139
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,41,0.004525886605573774
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,42,0.004338969542536488
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,43,0.00428258127881332
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,44,0.004120022992108607
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,45,0.004068137751228593
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,46,0.004046060083428434
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,47,0.003959730466787895
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,48,0.0038856382585379158
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,49,0.003699661054759606
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,50,0.0036678887183893712
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,51,0.003495027573926492
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,52,0.003467019953145065
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,53,0.003416125826471946
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,54,0.003233337290908619
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,55,0.003211440712524929
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,56,0.0031459336352593855
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,57,0.003129297708129064
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,58,0.0030414867166106588
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,59,0.0029556009741666086
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,60,0.002907307644658469
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,61,0.002830526552234128
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,62,0.002777815160604151
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,63,0.0026993666562144356
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,64,0.002657899020149513
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,65,0.0026012235794572115
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,66,0.0025460044188995294
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,67,0.0024954686449358042
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,68,0.0024653758930361478
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,69,0.0024199412246257144
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,70,0.0023923623805194765
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,71,0.0023620571750522503
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,72,0.002337377851074818
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,73,0.002300036045672109
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,74,0.0022109597808301225
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,75,0.0021679018938619006
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,76,0.002139982413951312
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,77,0.002110971685689576
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,78,0.0020926423696817137
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,79,0.0020698800447706157
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,80,0.00203663613272914
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,81,0.0020168801939304927
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,82,0.0019476178854704047
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,83,0.00190180457439561
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,84,0.0018759049068486108
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,85,0.001872180321051892
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,86,0.0018598001884711944
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,87,0.0018381636045226777
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,88,0.001819316125181789
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,89,0.0017967611940594083
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,90,0.0017572273987314728
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,91,0.0017162709706948236
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,92,0.0016878987101134944
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,93,0.0016696237491775675
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,94,0.0016371456201243015
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,95,0.0016205791946803287
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,96,0.0015915664657674248
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,97,0.0015805545885882414
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,98,0.0015489030969410415
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,99,0.0015290560927414107
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,100,0.0014963733552461327
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,101,0.0014843175539968345
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,102,0.0014511640443785037
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,103,0.0014469878069950115
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,104,0.0014244267255636041
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,105,0.0014131676698517911
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,106,0.0013863313384527367
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,107,0.0013638799166628272
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,108,0.001356052466698077
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,109,0.001297275501229589
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,110,0.0012702931974463052
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,111,0.0012511183435850177
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,112,0.0012349406216025705
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,113,0.0012075611402617293
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,114,0.0011994156277632558
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,115,0.0011712957217609734
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,116,0.0011562733390626295
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,,117,0.001125759512826914
