model,representation,material,status,input_support,checkpoint_step,precision,liquid_order_r2,liquid_topology_r2,boundary_ap,fault_ap,nonbulk_ami,nonbulk_spatial_auc,liquid_rank,future_residual_mse,onset_ap12,onset_brier12,hazard_selected_step,brier_delta,brier_ci_low,brier_ci_high,future_mse_delta,future_ci_low,future_ci_high,family,liquid_order_embedding_nmse,liquid_order_density_nmse,liquid_order_embedding_neighbor_nmse,liquid_order_retrieval_gain_vs_density,liquid_topology_embedding_nmse,liquid_topology_density_nmse,liquid_topology_embedding_neighbor_nmse,liquid_topology_retrieval_gain_vs_density,nonbulk_boundary_ap,nonbulk_fault_ap
factorial23-B-relaxed,encoder,Al,complete,radius,4096,float32,0.39879053831100464,-378.6019101838271,0.6432586266388797,0.5173520187896108,0.1388896428378139,0.5707488855818305,1.6119841436748443,1.331727603028412,0.10897410747123443,0.036807676097838256,128,0.005243603078263052,-0.001548268262717965,0.012936847674677229,-0.0002958377202351888,-0.015454584956169129,0.012430984278519946,geometry,0.6019443812189098,0.95821729147284,1.480765126083844,0.36690711044042684,1.6145035053519166,1.8944419972199713,2.6416108132719773,0.15925905006261312,0.6698731081461601,0.8090058012537344
relaxed-cold-vic-temp01,encoder,Al,complete,nearest80,2048,bf16,0.27172550559043884,-252.38193195561567,0.5464820613158542,0.4072985393148233,0.11585032322181436,0.5643016206198226,2.7400121468906584,1.336414512122671,0.1471276866554032,0.03133490982284992,256,-0.000229163196725272,-0.005671705085745575,0.004505290817932196,0.004391125837961833,-0.014873790343602498,0.024930805961290988,neighborhood,0.7288908313760754,0.95821729147284,1.6045967425801653,0.24307549394410577,1.7319101831736559,1.8944419972199713,2.6116184215172735,0.1892514418173168,0.5543168869085586,0.7841429952432757
jepa-epi-direct-order,encoder,Al,complete,radius,768,bf16,0.29479901989301044,-175.32828081647554,0.6180923825049379,0.6165715396049711,0.10297145497282845,0.5636132427067471,2.004107378649401,1.32492126604969,0.11490053978112136,0.0316033697190384,256,3.929669946320513e-05,-0.0035439055692749757,0.003657346649446604,-0.00710211197535197,-0.015239233175913493,0.0007375671466191564,neighborhood,0.7055494960066128,0.95821729147284,1.5829771518231788,0.264695084701092,1.6975005805040795,1.8944419972199713,2.616546613735267,0.18432324959932367,0.6309679635202823,0.8350996433770062
gatr-local-bond-20260918-last,encoder,Al,complete,radius,622,bf16,0.2843867242336273,-225.6945084116111,0.5289361856932285,0.42245910750620946,0.03715357118258549,0.5423910224369112,3.2365589676632847,1.3358027233509349,0.09315250251079245,0.03270401859113554,256,0.0011399455715603436,-0.0018975567228889144,0.004950854375953982,0.003779315948486328,-0.0035971915721893307,0.01085987349351246,shared,0.71585027253899,0.95821729147284,1.5715209053468528,0.276151331177418,1.776214645742119,1.8944419972199713,2.6438687898440683,0.15700107349052242,0.5452797829017046,0.7743378675826649
mace-expanded-dual-20260919-last,encoder,Al,complete,radius,2486,bf16,0.4252882997194926,-242.01456372936568,0.6351902743689958,0.5083432893168082,0.08146166109292753,0.5668648933257944,1.180921177578343,1.3380602419812933,0.09925554140935341,0.03596607647444889,128,0.004402003454873691,-0.0008764736130507234,0.012814187767785612,0.006036845842997233,-0.005790999829769134,0.017206410467624646,shared,0.5752201963299667,0.95821729147284,1.5120568698671049,0.335615366657166,1.5912171955624095,1.8944419972199713,2.6961635611084476,0.10470630222614268,0.6459157647612137,0.7593402708724064
geoframe-visreg-epoch159,encoder,Al,complete,nearest80,,float32,0.41034988562266034,-1196.9163052737713,0.6922951044226769,0.9494188827433861,0.2431279957260224,0.5350689404541193,7.927126826079969,1.3671610753148948,0.14308334455783128,0.0344289166078913,128,0.002864843588316099,-0.004873849893596649,0.00990665671487406,0.03513767719268799,0.016486960053443907,0.05389388600985209,geoframe,0.5913215362750374,0.95821729147284,1.2900265185456632,0.5576457179786077,1.869738097290753,1.8944419972199713,2.505073982661598,0.2957958806729921,0.7055749438505724,0.9519795781951661
geoframe-visreg-epoch159,projector,Al,complete,nearest80,,float32,0.38273247083028156,-293.44992529849213,0.6705964075086155,0.8106927030189852,0.2361747926680915,0.5571876398313598,2.7193829309015745,1.3375336105721845,0.03247908468153893,0.03156406197200376,0,-1.1047571428212758e-08,-0.001348686723817874,0.0010607776571129243,0.005510199069976807,-0.012966749469439189,0.02156567484140396,geoframe,0.6196739285711049,0.95821729147284,1.3163861547410673,0.5312860817832035,1.7971828506187528,1.8944419972199713,2.6137793812493015,0.18709048208528886,0.7151630053878292,0.8193289485491453
factorial23-D-physical-distance,encoder,Al,complete,radius,4096,float32,0.399562527736028,-379.9706184367339,0.6435072515355335,0.5216799402382624,0.13751324664367412,0.5711254039621331,1.6315869968769592,1.331713049095318,0.10986531047076437,0.03668996882501331,128,0.005125895805438113,-0.001640452325348916,0.012817762041889894,-0.00031035343805948894,-0.015597861607869466,0.012484320700168609,geometry,0.6011668078602849,0.95821729147284,1.4798687179738705,0.3678035185504002,1.6144054888506447,1.8944419972199713,2.640548991097001,0.1603208722375896,0.670209052923914,0.8083780292426535
geoframe-visreg-epoch014,encoder,Al,complete,nearest80,,float32,0.2756435473759969,-1080.088882078727,0.5768705927103112,0.7835421624277391,0.18488969242374623,0.503322332104548,8.266063926148155,1.403332881712898,0.03247908468153893,0.03156406197200376,0,-1.1047571428212758e-08,-0.001348686723817874,0.0010607776571129243,0.07130947113037109,0.0499469918012619,0.09193319141864777,geoframe,0.7269543998409894,0.95821729147284,1.506187104691879,0.3414851318323917,2.0331503383233964,1.8944419972199713,2.643208887215025,0.15766097611956553,0.6005364217482472,0.8332630793279856
geoframe-visreg-epoch014,projector,Al,complete,nearest80,,float32,0.25547729929288227,-500.2411114424467,0.5618764684988405,0.7442780683644882,0.1473129177773654,0.5126572840243877,2.5843000158885636,1.3420448883679152,0.10978652211155378,0.03431807122524518,128,0.0027539982056699786,-0.0025964357918768738,0.007888709744481855,0.010021491845448812,-0.0016932183504104613,0.02185141732295354,geoframe,0.7483841185616641,0.95821729147284,1.5935795620849234,0.2540926744393475,1.8474365470327025,1.8944419972199713,2.677733263439995,0.12313659989459569,0.5945268757780664,0.8660041704699646
