source,temperature_K,caliper_A,matched_pairs,candidate_pairs,matched_fraction,mean_inner_radial_rms_A,mean_full_radial_rms_A,mean_relative_density_gap,future_eligible_pairs,q6_difference_rms
911,400.0,0.025,0,4806,0.0,,,,0,
911,400.0,0.05,2,4806,0.0004161464835622139,0.04940993991221733,0.043434727842256146,0.016866244610078893,0,0.01380409486591816
911,400.0,0.1,172,4806,0.0357885975863504,0.0759907253965332,0.05820696865691459,0.010413073559374498,21,0.03601730242371559
913,400.0,0.025,0,4806,0.0,,,,0,
913,400.0,0.05,0,4806,0.0,,,,0,
913,400.0,0.1,126,4806,0.026217228464419477,0.07847342846271878,0.05367180230970573,0.009908003486132981,59,0.054118406027555466
938,450.0,0.025,0,4806,0.0,,,,0,
938,450.0,0.05,0,4806,0.0,,,,0,
938,450.0,0.1,91,4806,0.01893466500208073,0.08632228476002869,0.05648947313660853,0.009428159644993528,15,0.04029595106840134
942,450.0,0.025,0,4806,0.0,,,,0,
942,450.0,0.05,1,4806,0.00020807324178110696,0.0388664554989604,0.03412849831756929,0.01866315427844128,0,0.006089210510253906
942,450.0,0.1,191,4806,0.03974198918019143,0.07614214092493568,0.050757058059455476,0.009861050050094047,18,0.030390318483114243
970,500.0,0.025,0,4806,0.0,,,,0,
970,500.0,0.05,0,4806,0.0,,,,0,
970,500.0,0.1,156,4806,0.03245942571785269,0.08198338384190294,0.05162273696296159,0.009442575242925244,12,0.03129759803414345
971,500.0,0.025,0,4806,0.0,,,,0,
971,500.0,0.05,0,4806,0.0,,,,0,
971,500.0,0.1,142,4806,0.029546400332917187,0.0862884952511348,0.061752911209563645,0.009894915958961515,14,0.04281707853078842
1000,510.0,0.025,0,4806,0.0,,,,0,
1000,510.0,0.05,0,4806,0.0,,,,0,
1000,510.0,0.1,33,4806,0.00686641697877653,0.09032694211226426,0.06176557737836381,0.00802065957823706,25,0.0837567150592804
1001,510.0,0.025,0,4806,0.0,,,,0,
1001,510.0,0.05,0,4806,0.0,,,,0,
1001,510.0,0.1,97,4806,0.020183104452767373,0.0842388603512238,0.06240750342102553,0.010458456822097532,25,0.04847324267029762
881,520.0,0.025,0,4806,0.0,,,,0,
881,520.0,0.05,0,4806,0.0,,,,0,
881,520.0,0.1,99,4806,0.020599250936329586,0.08497703751574996,0.061011397073251795,0.009932574954469786,37,0.05333743989467621
1009,520.0,0.025,0,4806,0.0,,,,0,
1009,520.0,0.05,0,4806,0.0,,,,0,
1009,520.0,0.1,160,4806,0.033291718684977115,0.08276364182069691,0.057958745760413,0.009585590646852956,18,0.05146389454603195
