task,family,method,source,temperature_K,target,n,loss,constant_loss,r2_vs_training_mean,positive,prevalence,auroc,average_precision
structure,linear,radial,911,400.0,q4,3204,0.773922221075982,0.9820558994348063,0.21193669166756157,,,,
structure,linear,radial,911,400.0,q6,3204,0.31216191727270903,1.0523700894353636,0.7033724918576927,,,,
structure,linear,radial,911,400.0,w4,3204,0.5438811764429238,0.8272883220768318,0.3425736083430263,,,,
structure,linear,radial,911,400.0,w6,3204,1.2246596709516868,1.318123824294339,0.07090696004427988,,,,
structure,linear,radial,911,400.0,qbar6,3204,0.18939931499660814,1.130057230471389,0.8323984751483757,,,,
structure,linear,radial,911,400.0,q6_coherence,3204,0.26645843697953897,1.1593535205619419,0.7701663623271823,,,,
structure,linear,radial,911,400.0,bond_order,3204,0.5517471229532415,1.0782081477124452,0.48827401821824234,,,,
structure,linear,radial,911,400.0,angular_arrangement,3204,0.3764091733082867,0.9900156246321791,0.6197947144034881,,,,
structure,linear,radial,913,400.0,q4,3204,1.0577008811206519,1.1760511349046043,0.10063359514852432,,,,
structure,linear,radial,913,400.0,q6,3204,0.3314911525745815,1.6974295734084182,0.8047099227162919,,,,
structure,linear,radial,913,400.0,w4,3204,0.6020463911420725,0.7315208380997806,0.17699351845401246,,,,
structure,linear,radial,913,400.0,w6,3204,1.584241971139396,1.5689214076725528,-0.009765029269102055,,,,
structure,linear,radial,913,400.0,qbar6,3204,0.15281967881983394,1.3517218428286248,0.8869444334049954,,,,
structure,linear,radial,913,400.0,q6_coherence,3204,0.20990877855727394,1.341913434198334,0.8435750226446801,,,,
structure,linear,radial,913,400.0,bond_order,3204,0.656368142225635,1.3112597051853858,0.4994369615492472,,,,
structure,linear,radial,913,400.0,angular_arrangement,3204,0.5163578155889367,1.2227013551235824,0.5776909762754399,,,,
structure,linear,radial,938,450.0,q4,3204,0.49870702033519293,0.7568703417231496,0.34109319279204686,,,,
structure,linear,radial,938,450.0,q6,3204,0.14891491196993425,1.0341458990565506,0.8560020282381925,,,,
structure,linear,radial,938,450.0,w4,3204,0.5177247356733111,0.8877326555042099,0.41680106903439695,,,,
structure,linear,radial,938,450.0,w6,3204,0.5103321928919573,0.553379360633151,0.07778961559379638,,,,
structure,linear,radial,938,450.0,qbar6,3204,0.09169034983914072,1.062759235667555,0.9137242502705263,,,,
structure,linear,radial,938,450.0,q6_coherence,3204,0.12257172897319757,1.0317503959865169,0.8812002113592604,,,,
structure,linear,radial,938,450.0,bond_order,3204,0.314990156613789,0.8877729814285222,0.6451906476057248,,,,
structure,linear,radial,938,450.0,angular_arrangement,3204,0.339459857021582,0.9204509006800198,0.6312026456046786,,,,
structure,linear,radial,942,450.0,q4,3204,0.5871096075892044,0.8693157246206851,0.32463017640066016,,,,
structure,linear,radial,942,450.0,q6,3204,0.14675939551817008,0.9459332926648407,0.8448522780028959,,,,
structure,linear,radial,942,450.0,w4,3204,0.562267196617757,0.9866437199087402,0.4301213444405605,,,,
structure,linear,radial,942,450.0,w6,3204,0.6445125453784342,0.703698841184242,0.0841074225818026,,,,
structure,linear,radial,942,450.0,qbar6,3204,0.06848983121554539,1.0849502522777519,0.9368728371906847,,,,
structure,linear,radial,942,450.0,q6_coherence,3204,0.1094384052121732,1.038443473851876,0.8946130357907343,,,,
structure,linear,radial,942,450.0,bond_order,3204,0.35309616358854734,0.9381642174180227,0.6236307492516351,,,,
structure,linear,radial,942,450.0,angular_arrangement,3204,0.3223006148192633,1.0412728733662904,0.6904743962288096,,,,
structure,linear,radial,970,500.0,q4,3204,0.4497440309188867,0.7025795348422363,0.3598674475767696,,,,
structure,linear,radial,970,500.0,q6,3204,0.10295571537856539,0.9755876862048958,0.8944680044301602,,,,
structure,linear,radial,970,500.0,w4,3204,0.45935699252355366,0.820544480253567,0.44018026617935224,,,,
structure,linear,radial,970,500.0,w6,3204,0.4514887847908089,0.5113808606390153,0.11711833675856786,,,,
structure,linear,radial,970,500.0,qbar6,3204,0.06109966163731384,1.2329049515565487,0.9504425206824133,,,,
structure,linear,radial,970,500.0,q6_coherence,3204,0.08483144673024257,1.1822379003759167,0.9282450285993464,,,,
structure,linear,radial,970,500.0,bond_order,3204,0.2682461053298952,0.9042059023120298,0.7033351533715968,,,,
structure,linear,radial,970,500.0,angular_arrangement,3204,0.2683110460487877,1.0508891967333844,0.7446818876026,,,,
