method,source,temperature_K,jump2_mean,jump_p95,raw_increment_mse,standardized_jump2,acceleration2,roughness,reversal_fraction,increment_cosine,zero_increment_fraction
old_gatr,911,400.0,0.39267214266612127,0.9718353222199198,1.3221149694408306e-07,0.4048533124401343,0.3917231620577895,1.4960983902393186,0.8911138923654568,-0.4648331337750705,0.0
old_gatr,913,400.0,0.40947768015693115,0.9753855777160728,1.3786986948236385e-07,0.4199227065517341,0.4033575282324673,1.4776157231132128,0.8879849812265331,-0.4464681951165254,0.0
old_gatr,938,450.0,0.3782158815860196,0.9556281971536696,1.2734411851321775e-07,0.38665459724821,0.373028202330912,1.480062559926022,0.8901752190237797,-0.4565840897103165,0.0
old_gatr,942,450.0,0.37897470344304623,0.9696302852335732,1.2759961148745883e-07,0.38683247833028306,0.37119068115321063,1.4694812320337383,0.8914267834793492,-0.4496988137377049,0.0
old_gatr,970,500.0,0.3906923338180593,1.0073192668204987,1.315449014232289e-07,0.3980708254252352,0.3824919726188173,1.4688225864091042,0.8845431789737171,-0.44878226020525636,0.0
old_gatr,971,500.0,0.4817075988606756,1.0753119023150108,1.6218945989469234e-07,0.49159722405259415,0.47333385483806845,1.473810216282235,0.8945556946182729,-0.4569033062770526,0.0
old_gatr,1000,510.0,0.6036586347473171,1.1735603079329944,2.0324999680719678e-07,0.6171793259541729,0.5893113318840609,1.464292896651917,0.8936170212765957,-0.4440511769659833,0.0
old_gatr,1001,510.0,0.5294877692512392,1.1558138098443649,1.782768956080809e-07,0.539762092659332,0.51959469344573,1.4729690758488094,0.8911138923654568,-0.4490797212040005,0.0
old_gatr,881,520.0,0.6180251846224109,1.205337558676394,2.0808716975257422e-07,0.63081727386764,0.6010585528376711,1.4582974993521027,0.8848560700876095,-0.4368456359336184,0.0
old_gatr,1009,520.0,0.44383789352471736,1.0603929555504696,1.4943884713845333e-07,0.45464857241920725,0.43402574807946753,1.4670635145763011,0.8882978723404256,-0.4488214023113795,0.0
gatr,911,400.0,0.2367987171631232,0.8034169969778111,8.823256266724758e-08,0.2914595607125072,0.23510918941667958,1.4890013618961413,0.851063829787234,-0.4492789879196228,0.0
gatr,913,400.0,0.23967533579151776,0.7937775165772125,8.930440729732116e-08,0.29644079319404293,0.23373685432260152,1.4623530395103965,0.8344806007509387,-0.42179602050777654,0.0
gatr,938,450.0,0.22166786807602365,0.7598767037934555,8.259472135509843e-08,0.2718809148169917,0.2175045125521827,1.4716688048710607,0.844180225281602,-0.43463603955646274,0.0
gatr,942,450.0,0.2227558120242447,0.7806493532193137,8.300009552156295e-08,0.2734385893197807,0.2188883046559147,1.4738870942585045,0.8448060075093867,-0.44117025782678354,0.0
gatr,970,500.0,0.23248904767386228,0.7965376409155939,8.662675505206363e-08,0.2852526309107748,0.22679486039897462,1.4632310669030284,0.8241551939924906,-0.42990719935435495,0.0
gatr,971,500.0,0.27549487842601095,0.8665662447706673,1.0265097470305975e-07,0.3408114579534447,0.2672751076849461,1.4550306262096149,0.8322903629536921,-0.4271597017363196,0.0
gatr,1000,510.0,0.34651684874792393,0.9617596118291094,1.2911416893929726e-07,0.4287959267461646,0.33748420796349643,1.461007741828936,0.83729662077597,-0.42893358989736013,0.0
gatr,1001,510.0,0.2962056640516234,0.8928467223324084,1.1036793243193534e-07,0.36756187764780707,0.28971782487657616,1.4682669425240056,0.8416770963704631,-0.4363813524482839,0.0
gatr,881,520.0,0.35901968080694574,0.9742480720497599,1.3377279600612287e-07,0.4419422932767786,0.34953616966491086,1.4596405462476365,0.8382352941176471,-0.42455120381788297,0.0
gatr,1009,520.0,0.25202085396496243,0.8336591008666769,9.390441830645056e-08,0.31289345307257205,0.24480744375781166,1.4574145496353694,0.8460575719649562,-0.43490928520827893,0.0
old_mace,911,400.0,0.43189141122290975,1.1999645756073356,7.914742134951451e-06,0.4328039644418206,0.4282282387096822,1.4868658564467918,0.75,-0.40052840179867444,0.0
old_mace,913,400.0,0.5039761311820459,1.312251468177422,9.235750044627813e-06,0.49162252972495707,0.49687979952026584,1.4788859581412421,0.7315394242803505,-0.3784296922352385,0.0
old_mace,938,450.0,0.4128526894154487,1.1941802967194912,7.56584292146985e-06,0.41873287036411994,0.41121988311547925,1.493638434575034,0.7515644555694618,-0.40394735241081126,0.0
old_mace,942,450.0,0.42942778607918625,1.2137657300559446,7.869594310236573e-06,0.4349459118788844,0.4234427623954544,1.480625147938911,0.7440550688360451,-0.4030476394272826,0.0
