field,phase,distance_lo_A,distance_hi_A,metric,sources,mean,low,high
block1/point_numerator,unclassified,0,4,p1,10,0.2070048944371496,0.18171286849398285,0.23240561843482652
block1/point_numerator,unclassified,0,4,p2,10,0.043701538051007995,0.02858261437384348,0.0588204617281725
block1/point_numerator,unclassified,0,4,shuffle_p1,10,0.007872969582883707,0.0024439472420263236,0.013151121896359655
block1/point_numerator,unclassified,0,4,shuffle_p2,10,0.006270485163454473,0.0026573633298103967,0.009701935351093519
block1/point_numerator,unclassified,0,4,excess_p1,10,0.1991319248542659,0.1743428978455433,0.22392095186298847
block1/point_numerator,unclassified,0,4,excess_p2,10,0.037431052887553516,0.024136799668485816,0.05124197940695424
block1/point_numerator,unclassified,4,8,p1,10,-0.036763638089441275,-0.07398306798245909,-0.0002853759860966887
block1/point_numerator,unclassified,4,8,p2,10,0.00897583303526274,-0.0014850419119871734,0.019436707982512656
block1/point_numerator,unclassified,4,8,shuffle_p1,10,0.007872969582883707,0.002443947242026324,0.013151121896359655
block1/point_numerator,unclassified,4,8,shuffle_p2,10,0.006270485163454473,0.0026573633298103976,0.009701935351093519
block1/point_numerator,unclassified,4,8,excess_p1,10,-0.04463660767232498,-0.07973473019442671,-0.010633126676380951
block1/point_numerator,unclassified,4,8,excess_p2,10,0.0027053478718082687,-0.009055283245875534,0.014504383542012675
block1/point_numerator,unclassified,8,12,p1,10,-0.008589435223422499,-0.025840274966128073,0.008444064525572352
block1/point_numerator,unclassified,8,12,p2,10,0.006850063168804601,0.002560110072319005,0.011140016265290199
block1/point_numerator,unclassified,8,12,shuffle_p1,10,0.007018200519696474,0.0017450747946683761,0.012079949187996656
block1/point_numerator,unclassified,8,12,shuffle_p2,10,0.006485909887283423,0.0034486275831819074,0.009246507099531339
block1/point_numerator,unclassified,8,12,excess_p1,10,-0.015607635743118978,-0.030233612061888605,-0.0009816594243493542
block1/point_numerator,unclassified,8,12,excess_p2,10,0.0003641532815211786,-0.002796176503722346,0.003571942348801073
block1/point_numerator,unclassified,12,18,p1,10,-0.019354093164946247,-0.050990533978543195,0.013608524443466169
block1/point_numerator,unclassified,12,18,p2,10,0.02411066457618073,0.0050293791756772,0.04319595388930504
block1/point_numerator,unclassified,12,18,shuffle_p1,10,0.0038207804603904174,-0.00010348773312209006,0.00789251831788956
block1/point_numerator,unclassified,12,18,shuffle_p2,10,0.006000052619145222,0.0020248101310000647,0.009692051476360087
block1/point_numerator,unclassified,12,18,excess_p1,10,-0.023174873625336663,-0.052714659242014836,0.006674190862123638
block1/point_numerator,unclassified,12,18,excess_p2,10,0.01811061195703551,-0.00016478939177260143,0.036386013305843616
block1/point_numerator,unclassified,18,26,p1,10,0.012303680483819355,-0.01445802089272059,0.03895984789273297
block1/point_numerator,unclassified,18,26,p2,10,0.0006615322584186908,-0.014638436969576899,0.014892990366096598
block1/point_numerator,unclassified,18,26,shuffle_p1,10,0.006773330377451199,0.0014802086398944408,0.011915582087626522
block1/point_numerator,unclassified,18,26,shuffle_p2,10,0.004017777591258498,0.0009865313854467146,0.007227766956778861
block1/point_numerator,unclassified,18,26,excess_p1,10,0.005530350106368153,-0.02211783259348356,0.033178532806219865
block1/point_numerator,unclassified,18,26,excess_p2,10,-0.0033562453328398064,-0.01817049214376352,0.011207557666829043
block1/point_numerator,unclassified,26,40,p1,10,0.006874844157677376,-0.006450356399305404,0.019704359590031976
block1/point_numerator,unclassified,26,40,p2,10,0.0046656411341553985,-0.008089681826130068,0.018243112939639268
block1/point_numerator,unclassified,26,40,shuffle_p1,10,0.006909230980751824,0.0014802086398944408,0.01218738329422777
block1/point_numerator,unclassified,26,40,shuffle_p2,10,0.005800747621328764,0.002179098638297194,0.009232320014696545
block1/point_numerator,unclassified,26,40,excess_p1,10,-3.438682307445422e-05,-0.009958978582066364,0.009883081346707134
block1/point_numerator,unclassified,26,40,excess_p2,10,-0.0011351064871733623,-0.0172696083602546,0.016253185317136185
block1/point_numerator,unclassified,40,80,p1,10,-0.003022760605603475,-0.011039932122632084,0.005172841299807732
block1/point_numerator,unclassified,40,80,p2,10,-0.0011986488539456916,-0.006866878606392984,0.004469580898501602
