metric,value
checkpoints.archived-epoch34.Al_encoder.boundary_ap,0.629084706521119
checkpoints.archived-epoch34.Al_encoder.boundary_ap_defined_frames,3
checkpoints.archived-epoch34.Al_encoder.fault_ap,0.8646272372585124
checkpoints.archived-epoch34.Al_encoder.fault_ap_defined_frames,2
checkpoints.archived-epoch34.Al_encoder.spatial_auc,0.4803815235423512
checkpoints.archived-epoch34.Al_encoder.spatial_auc_defined_frames,3
checkpoints.archived-epoch34.Al_encoder.liquid_r2,0.2384033997853597
checkpoints.archived-epoch34.Al_encoder.liquid_r2_defined_frames,3
checkpoints.archived-epoch34.Al_encoder.continuity,0.07155041210048706
checkpoints.archived-epoch34.Al_encoder.continuity_defined_frames,3
checkpoints.archived-epoch34.Al_encoder.liquid_rank,5.126527936342267
checkpoints.archived-epoch34.Al_encoder.liquid_rank_defined_frames,3
checkpoints.archived-epoch34.Ta_encoder.boundary_ap,0.8639628344706164
checkpoints.archived-epoch34.Ta_encoder.boundary_ap_defined_frames,2
checkpoints.archived-epoch34.Ta_encoder.fault_ap,
checkpoints.archived-epoch34.Ta_encoder.fault_ap_defined_frames,0
checkpoints.archived-epoch34.Ta_encoder.spatial_auc,0.5141574914274935
checkpoints.archived-epoch34.Ta_encoder.spatial_auc_defined_frames,3
checkpoints.archived-epoch34.Ta_encoder.liquid_r2,0.3017480671405792
checkpoints.archived-epoch34.Ta_encoder.liquid_r2_defined_frames,3
checkpoints.archived-epoch34.Ta_encoder.continuity,0.05172512494338605
checkpoints.archived-epoch34.Ta_encoder.continuity_defined_frames,3
checkpoints.archived-epoch34.Ta_encoder.liquid_rank,4.371990807805315
checkpoints.archived-epoch34.Ta_encoder.liquid_rank_defined_frames,3
checkpoints.archived-epoch34.Zr_encoder.boundary_ap,0.808828358121667
checkpoints.archived-epoch34.Zr_encoder.boundary_ap_defined_frames,3
checkpoints.archived-epoch34.Zr_encoder.fault_ap,
checkpoints.archived-epoch34.Zr_encoder.fault_ap_defined_frames,0
checkpoints.archived-epoch34.Zr_encoder.spatial_auc,0.5004924194070824
checkpoints.archived-epoch34.Zr_encoder.spatial_auc_defined_frames,3
checkpoints.archived-epoch34.Zr_encoder.liquid_r2,0.22805695732434592
checkpoints.archived-epoch34.Zr_encoder.liquid_r2_defined_frames,3
checkpoints.archived-epoch34.Zr_encoder.continuity,0.028794153398080027
checkpoints.archived-epoch34.Zr_encoder.continuity_defined_frames,3
checkpoints.archived-epoch34.Zr_encoder.liquid_rank,6.980070469257728
checkpoints.archived-epoch34.Zr_encoder.liquid_rank_defined_frames,3
checkpoints.archived-epoch34.prediction_encoder.residual_mse,1.3771837362980779
checkpoints.archived-epoch34.prediction_encoder.hazard_brier,0.037430921332674325
checkpoints.archived-epoch34.prediction_encoder.hazard_ap,0.12996544008129735
checkpoints.archived-epoch34.prediction_encoder.temporal_response_auc,0.6985074626865672
checkpoints.archived-epoch34.Al_projector.boundary_ap,0.6064631681938598
checkpoints.archived-epoch34.Al_projector.boundary_ap_defined_frames,3
checkpoints.archived-epoch34.Al_projector.fault_ap,0.8478918450284264
checkpoints.archived-epoch34.Al_projector.fault_ap_defined_frames,2
checkpoints.archived-epoch34.Al_projector.spatial_auc,0.4809397460864584
checkpoints.archived-epoch34.Al_projector.spatial_auc_defined_frames,3
checkpoints.archived-epoch34.Al_projector.liquid_r2,0.18275057772795358
checkpoints.archived-epoch34.Al_projector.liquid_r2_defined_frames,3
checkpoints.archived-epoch34.Al_projector.continuity,0.025907901766372577
checkpoints.archived-epoch34.Al_projector.continuity_defined_frames,3
checkpoints.archived-epoch34.Al_projector.liquid_rank,1.6293844567438043
checkpoints.archived-epoch34.Al_projector.liquid_rank_defined_frames,3
checkpoints.archived-epoch34.Ta_projector.boundary_ap,0.8362036334281384
checkpoints.archived-epoch34.Ta_projector.boundary_ap_defined_frames,2
checkpoints.archived-epoch34.Ta_projector.fault_ap,
checkpoints.archived-epoch34.Ta_projector.fault_ap_defined_frames,0
checkpoints.archived-epoch34.Ta_projector.spatial_auc,0.5054841712109591
checkpoints.archived-epoch34.Ta_projector.spatial_auc_defined_frames,3
checkpoints.archived-epoch34.Ta_projector.liquid_r2,0.21019253134727478
checkpoints.archived-epoch34.Ta_projector.liquid_r2_defined_frames,3
checkpoints.archived-epoch34.Ta_projector.continuity,0.02578478040762722
checkpoints.archived-epoch34.Ta_projector.continuity_defined_frames,3
checkpoints.archived-epoch34.Ta_projector.liquid_rank,1.561370599580224
checkpoints.archived-epoch34.Ta_projector.liquid_rank_defined_frames,3
checkpoints.archived-epoch34.Zr_projector.boundary_ap,0.76611570538362
checkpoints.archived-epoch34.Zr_projector.boundary_ap_defined_frames,3
checkpoints.archived-epoch34.Zr_projector.fault_ap,
checkpoints.archived-epoch34.Zr_projector.fault_ap_defined_frames,0
checkpoints.archived-epoch34.Zr_projector.spatial_auc,0.4807471867879179
checkpoints.archived-epoch34.Zr_projector.spatial_auc_defined_frames,3
checkpoints.archived-epoch34.Zr_projector.liquid_r2,0.16831922034422556
checkpoints.archived-epoch34.Zr_projector.liquid_r2_defined_frames,3
checkpoints.archived-epoch34.Zr_projector.continuity,0.007686551840339839
checkpoints.archived-epoch34.Zr_projector.continuity_defined_frames,3
checkpoints.archived-epoch34.Zr_projector.liquid_rank,1.7289366309217573
checkpoints.archived-epoch34.Zr_projector.liquid_rank_defined_frames,3
checkpoints.archived-epoch34.prediction_projector.residual_mse,1.3399091266997858
checkpoints.archived-epoch34.prediction_projector.hazard_brier,0.03156406197200376
checkpoints.archived-epoch34.prediction_projector.hazard_ap,0.03247908468153893
checkpoints.archived-epoch34.prediction_projector.temporal_response_auc,0.5343283582089553
checkpoints.epoch-000.Al_encoder.boundary_ap,0.17854100803518436
checkpoints.epoch-000.Al_encoder.boundary_ap_defined_frames,3
checkpoints.epoch-000.Al_encoder.fault_ap,0.292695697782679
checkpoints.epoch-000.Al_encoder.fault_ap_defined_frames,2
checkpoints.epoch-000.Al_encoder.spatial_auc,0.4978382029820157
checkpoints.epoch-000.Al_encoder.spatial_auc_defined_frames,3
checkpoints.epoch-000.Al_encoder.liquid_r2,-0.0018842748055855434
checkpoints.epoch-000.Al_encoder.liquid_r2_defined_frames,3
checkpoints.epoch-000.Al_encoder.continuity,0.22315773308082845
checkpoints.epoch-000.Al_encoder.continuity_defined_frames,3
checkpoints.epoch-000.Al_encoder.liquid_rank,3.568470446149801
checkpoints.epoch-000.Al_encoder.liquid_rank_defined_frames,3
checkpoints.epoch-000.Ta_encoder.boundary_ap,0.3855800564553619
checkpoints.epoch-000.Ta_encoder.boundary_ap_defined_frames,2
checkpoints.epoch-000.Ta_encoder.fault_ap,
checkpoints.epoch-000.Ta_encoder.fault_ap_defined_frames,0
