model,split,horizon_ps,n,sources,prevalence,log_loss,brier,average_precision,threshold,recall,false_positive_rate,precision,log_loss_ci95,brier_ci95,method,block,mse
linear-condition,selection,0.75,20881,15,0.001717366617496936,0.01267013699109912,0.0017148967072387073,0.004287304965919187,0.004966596141457558,0.15762629290021196,0.07664514520232894,0.0035254917631733725,,,,,
linear-condition,calibration,0.75,16584,15,0.00469864808109772,0.030083116248662136,0.004678270240530897,0.006206239219387277,0.004966596141457558,0.06682062300419038,0.049594408230628544,0.006320370238737011,,,,,
linear-condition,test,0.75,44385,30,0.002461127212794187,0.017393859997156556,0.0024572314365551924,0.002747767717816341,0.004966596141457558,0.0982209933330339,0.12314807740527517,0.001963935203667802,"[0.012487405309364834, 0.02255183799164269]","[0.0016251462189049784, 0.0033243771301476443]",,,
linear-condition,selection,3,20881,15,0.009324540953417646,0.05173529960077053,0.009224262043789795,0.015055089332509528,0.021099627017974854,0.17962711746996024,0.10799389395824693,0.015414246616466289,,,,,
linear-condition,calibration,3,16584,15,0.014324638924385276,0.07341951024788679,0.01407832457358279,0.025727036463249094,0.021099627017974854,0.06954889091675613,0.049191797130088734,0.020133269870810065,,,,,
linear-condition,test,3,44385,30,0.00884508151496356,0.05080071525899939,0.008786396482410282,0.012480677921937564,0.021099627017974854,0.20531717788249274,0.13917159931801523,0.012994351354895479,"[0.04268224876358194, 0.059118385947098596]","[0.0069843107544994495, 0.010658855344406476]",,,
linear-condition,selection,9,20881,15,0.03277230679889552,0.1389936669749718,0.03146050582971839,0.05420270213078368,0.07802019268274307,0.17257958954725822,0.09791892542431974,0.056352216939820565,,,,,
linear-condition,calibration,9,16584,15,0.04785316738960783,0.18550598752623937,0.044989091440569985,0.0809650690592502,0.07802019268274307,0.0819503463166086,0.0499585644180528,0.07616282413818523,,,,,
linear-condition,test,9,44385,30,0.03124302427652125,0.13922100424669714,0.03047631159729313,0.042568683645601096,0.07802019268274307,0.18342488643702046,0.12439073061628621,0.045397409574703305,"[0.11919175290814106, 0.16002822561518165]","[0.024577841930591496, 0.036664003317239555]",,,
linear-condition,selection,24,20881,15,0.09697707537936248,0.3028358380897325,0.08564687526537515,0.17050288697303476,0.22499661147594452,0.18364917236651868,0.09463976118704852,0.17245548479512346,,,,,
linear-condition,calibration,24,16584,15,0.13707065020025577,0.37998448041689636,0.11368063568200033,0.22389889213310965,0.22499661147594452,0.12077022236344095,0.04992292663644743,0.2775941527391814,,,,,
linear-condition,test,24,44385,30,0.09117904843080059,0.30820902320249616,0.08482228917818227,0.12513437411436168,0.22499661147594452,0.16429759644729608,0.1056430658801601,0.1349702312380672,"[0.2726111053910159, 0.34507365350577246]","[0.07093489449998695, 0.09888724657637624]",,,
linear-condition,selection,48,20881,15,0.196435182435432,0.46837901191272535,0.15138223014801533,0.32542296720270336,0.4160783588886261,0.18979258143776015,0.09208932516742704,0.33502315604447197,,,,,
linear-condition,calibration,48,16584,15,0.278634105156337,0.5615648272717787,0.18916791343558853,0.4044939808827044,0.4160783588886261,0.1210169227847726,0.04998903516971293,0.48322621883186234,,,,,
linear-condition,test,48,44385,30,0.18840006848320312,0.49678873085608377,0.16026160242234305,0.2424048139090892,0.4160783588886261,0.16291400563257788,0.1053260552706327,0.26419490960108233,"[0.4520210995834526, 0.539247761375857]","[0.14127557346470843, 0.178709776797563]",,,
linear-condition,selection,96,20881,15,0.3646435880571329,0.6335118767584003,0.22292882332927516,0.5290720395304754,0.67055743932724,0.1964726024146603,0.07717250539726292,0.5936835233079177,,,,,
linear-condition,calibration,96,16584,15,0.5218947175551638,0.6502606849685877,0.22937236479502615,0.6488138342285241,0.67055743932724,0.12090154523939523,0.04967207766567965,0.7265460224475504,,,,,
linear-condition,test,96,44385,30,0.36752480433082857,0.6942085040626043,0.2506329991872032,0.4409423948693969,0.67055743932724,0.14674057249064312,0.10063382925677948,0.45867636209477414,"[0.6561563313134365, 0.727850702667817]","[0.23285330162562312, 0.2662477712149884]",,,
mlp-condition,selection,0.75,20881,15,0.001717366617496936,0.012612941104953835,0.0017148214461563307,0.00639638152065681,0.006613315548747778,0.278001396498562,0.06581623346700095,0.007214048808599558,,,,,
mlp-condition,calibration,0.75,16584,15,0.00469864808109772,0.029362795157810883,0.0046734959739768754,0.007964689435232621,0.006613315548747778,0.09542642616941413,0.04961119092606033,0.008998736592338375,,,,,
mlp-condition,test,0.75,44385,30,0.002461127212794187,0.01713836884785072,0.0024560881845811684,0.003360391796252474,0.006613315548747778,0.08079829030368595,0.06190255788216663,0.003209973846251909,"[0.012396257309913505, 0.022107983226534997]","[0.001624379948682124, 0.0033208658638775807]",,,
mlp-condition,selection,3,20881,15,0.009324540953417646,0.05115866160896805,0.009222934442533784,0.018795824384205323,0.029579849913716316,0.20412653007151915,0.07876316674064594,0.02381253153881223,,,,,
mlp-condition,calibration,3,16584,15,0.014324638924385276,0.07153260311246783,0.01403212910239355,0.027922663248395554,0.029579849913716316,0.14417258195298788,0.04927900703848704,0.04078373941556387,,,,,
mlp-condition,test,3,44385,30,0.00884508151496356,0.050006031132839246,0.008783033688646932,0.016627146919997823,0.029579849913716316,0.15626426316822792,0.06603155564152265,0.02068198329899491,"[0.042539243509639856, 0.057772034318767936]","[0.006994656410914162, 0.010623504979318472]",,,
mlp-condition,selection,9,20881,15,0.03277230679889552,0.13980283291457166,0.03181097564273938,0.06114720126248506,0.09484405070543289,0.17382104155415612,0.09833300475894756,0.056509180091843816,,,,,
mlp-condition,calibration,9,16584,15,0.04785316738960783,0.17981770651423465,0.04452249496306135,0.09970683783433211,0.09484405070543289,0.16664743473328048,0.04899310893161492,0.14599294058562307,,,,,
mlp-condition,test,9,44385,30,0.03124302427652125,0.13614210775526764,0.030370275973259142,0.06423896025000977,0.09484405070543289,0.2247600189462507,0.07698756795574511,0.08605149319456294,"[0.11726686855089741, 0.1561899221802009]","[0.024705915758786313, 0.03640487133512412]",,,
