split,horizon_ps,n,sources,prevalence,log_loss,brier,average_precision,threshold,recall,false_positive_rate,precision,log_loss_ci95,brier_ci95
selection,0.75,2220,15,0.002116662413142124,0.015341875497189222,0.0021130220280115826,0.0018781338322204613,0.002508787903934717,0.0,0.0651537854005583,0.0,,
calibration,0.75,1774,15,0.0024338147203541477,0.017003839098716285,0.0024276268471172513,0.005262672867283795,0.002508787903934717,0.0,0.04986893834986957,0.0,,
test,0.75,4691,30,0.0029441286631662887,0.020236930026687888,0.002936121727549234,0.004324981781706217,0.002508787903934717,0.0,0.10147260900071328,0.0,"[0.007844187917245731, 0.03561272009593352]","[0.0009545030112515801, 0.0054210655582427715]"
selection,3,2220,15,0.012197525400714835,0.06573341366275855,0.012047507379456448,0.01839861569609603,0.011889034882187843,0.18988587348559388,0.10774170531973293,0.021299060064397975,,
calibration,3,1774,15,0.010622582090326706,0.05822439527105339,0.010498052856841104,0.02848346751360067,0.011889034882187843,0.25252774169467507,0.04959639918395644,0.051833627023971804,,
test,3,4691,30,0.010255489996271665,0.05660907961815864,0.010140202467802567,0.018903086453100414,0.011889034882187843,0.22087431049610629,0.07405254434079066,0.029979169413938057,"[0.03360583530062933, 0.08520583694815403]","[0.005220661177944591, 0.016315797057235397]"
selection,9,2220,15,0.030760451321431705,0.1354601598043384,0.029702528489028674,0.052627296483560515,0.03722083196043968,0.08838226967382257,0.06028009477350535,0.044463151292941504,,
calibration,9,1774,15,0.04293983351089521,0.17664195034844352,0.04107739203475538,0.060124305149628215,0.03722083196043968,0.05544857038973514,0.04944898457765732,0.04790011997280143,,
test,9,4691,30,0.030011946895797365,0.13383559396657577,0.02906022895644199,0.036410681151050395,0.03722083196043968,0.09578121335473468,0.10668711342868326,0.02702694554720932,"[0.10773043095056292, 0.16302890330794018]","[0.021765964990613198, 0.03706701962897818]"
selection,24,2220,15,0.08653322279977228,0.28727030031864204,0.07792050133450987,0.13179775634229002,0.11849167943000793,0.2097842846736489,0.10274392961148061,0.16207375512614544,,
calibration,24,1774,15,0.12721667346142765,0.37668891218635886,0.1103731093349956,0.19497724817595743,0.11849167943000793,0.1150571711544395,0.04977326175039953,0.252024411135527,,
test,24,4691,30,0.08396381261022033,0.2855257672356379,0.07653696674924239,0.11761553951273057,0.11849167943000793,0.20392348670402607,0.12454226038775826,0.130497151953379,"[0.24891560618165384, 0.32497456941555014]","[0.06305080677235479, 0.09095916828337335]"
selection,48,2220,15,0.183668406025412,0.4658264861822019,0.14670704702049492,0.25024960827521103,0.2736543118953705,0.20742157853583085,0.11183961881190854,0.29442242152384757,,
calibration,48,1774,15,0.2558979711877057,0.5550449984030577,0.18594102936997076,0.3710972248902136,0.2736543118953705,0.14054709320061365,0.04956720345720884,0.4937038016209421,,
test,48,4691,30,0.17346459462559105,0.46421663944515573,0.14483383405395053,0.24615866500062805,0.2736543118953705,0.2858928218787121,0.10706188956571548,0.3591490720132785,"[0.4237474942976622, 0.5035842014534839]","[0.12671158622772272, 0.1623225250228598]"
selection,96,2220,15,0.3510004862849353,0.6237966112288791,0.21732279296365875,0.3963811193212896,0.5129631757736206,0.004540730831750092,0.03370950503142657,0.06790429376937863,,
calibration,96,1774,15,0.494912498149532,0.6682844570894408,0.23853364806050453,0.553875288878168,0.5129631757736206,0.029021581966791755,0.04997032323057315,0.3626824817518248,,
test,96,4691,30,0.35421946951743727,0.6462971813032918,0.22759530400634462,0.3807790119221127,0.5129631757736206,0.010840409218951763,0.04289212553854929,0.12175117636777072,"[0.618406277759642, 0.6692234385320818]","[0.21424462210751083, 0.23855553725228987]"
