step,examples_seen,elapsed_seconds,score,hazard_nll,validation_seconds,input_wait_seconds,windows
1,8,10.169190417043865,1.1062041722100089,1.1062041722100089,8.318936258088797,0.6073499107733369,932
256,2048,50.77848695218563,1.1035849117329,1.1035849117329,1.3693717499263585,0.0004031313583254814,932
512,4096,64.1291913012974,1.1032196221528225,1.1032196221528225,1.3674933821894228,0.00043615931645035744,932
768,6144,76.84393538115546,1.080731998718585,1.080731998718585,1.3808790370821953,0.00042564282193779945,932
1024,8192,89.14098677691072,1.0718335833228019,1.0718335833228019,1.3692569029517472,0.0004009953700006008,932
1280,10240,101.057649273891,1.075954699361076,1.075954699361076,1.3759125750511885,0.00042501790449023247,932
1536,12288,112.97957917209715,1.0776114131944876,1.0776114131944876,1.3771423497237265,0.00044610071927309036,932
1792,14336,124.3960812613368,1.083002768036116,1.083002768036116,1.3756859372369945,0.0004011644050478935,932
2048,16384,135.57302092015743,1.085473148079796,1.085473148079796,1.3709890181198716,0.000417360570281744,932
2304,18432,146.64299088111147,1.0725477675424406,1.0725477675424406,1.376499812118709,0.00040341680869460106,932
2560,20480,157.596662633121,1.0759364770276953,1.0759364770276953,1.3748837090097368,0.00040588434785604477,932
2816,22528,168.44860515603796,1.0804670178848836,1.0804670178848836,1.3755460078828037,0.0004047132097184658,932
3072,24576,179.256071689073,1.0759916359386235,1.0759916359386235,1.3775124019011855,0.00040286360308527946,932
3328,26624,189.97899415995926,1.0858109622538363,1.0858109622538363,1.3786935657262802,0.00043040886521339417,932
3584,28672,200.53328721504658,1.0744462883582822,1.0744462883582822,1.383609336335212,0.0004067355766892433,932
3840,30720,210.95307606691495,1.0759147502757884,1.0759147502757884,1.3739888318814337,0.00040581636130809784,932
4096,32768,221.4692230951041,1.077852691073591,1.077852691073591,1.3741105240769684,0.00044270558282732964,932
