reference,candidate,metric,horizon_ps,difference,ci95_lower,ci95_upper,sources,rows
mlp-packet_H0,mlp-packet_H12,joint_event_nll,all,0.006147375795990229,-0.013934231872638822,0.026211795652913372,30,4691
mlp-packet_H0,mlp-packet_H12,brier,0.75,1.6304565053727843e-05,-0.0003160525228927231,0.0003618662516687913,30,4691
mlp-packet_H0,mlp-packet_H12,log_loss,0.75,-0.00042103122321382794,-0.00185077658634712,0.0012091267723220436,30,4691
mlp-packet_H0,mlp-packet_H12,brier,3,-0.0004917288751250058,-0.0011610525356129731,0.0004382666681516657,30,4691
mlp-packet_H0,mlp-packet_H12,log_loss,3,-0.004825595899905937,-0.008065552629418766,-0.0014128604205873793,30,4691
mlp-packet_H0,mlp-packet_H12,brier,9,-0.003159731853366788,-0.005347816769362676,-0.000985031307553084,30,4691
mlp-packet_H0,mlp-packet_H12,log_loss,9,-0.010892893620505183,-0.017682326610229542,-0.0030811582452860142,30,4691
mlp-packet_H0,mlp-packet_H12,brier,24,-0.0034212387884383403,-0.005760956107396633,-0.0010726623450982636,30,4691
mlp-packet_H0,mlp-packet_H12,log_loss,24,-0.004922637147105885,-0.012311898866144196,0.002110676155360201,30,4691
mlp-packet_H0,mlp-packet_H12,brier,48,-0.0014699406155140253,-0.006066827987634047,0.002864442863373933,30,4691
mlp-packet_H0,mlp-packet_H12,log_loss,48,0.0026934690587383397,-0.009579534720775166,0.013781137403998842,30,4691
mlp-packet_H0,mlp-packet_H12,brier,96,-0.0019700234558977497,-0.009284554373319438,0.005889343009191337,30,4691
mlp-packet_H0,mlp-packet_H12,log_loss,96,0.003399215606273287,-0.014487126326247707,0.019567949428917257,30,4691
mlp-packet_repeat12,mlp-packet_H12,joint_event_nll,all,-0.004956224467605352,-0.024380447644507513,0.01497908657727142,30,4691
mlp-packet_repeat12,mlp-packet_H12,brier,0.75,3.11593954900712e-05,-0.00034537880029896845,0.00046802164398191564,30,4691
mlp-packet_repeat12,mlp-packet_H12,log_loss,0.75,-0.0004652499462487301,-0.0025731517276842905,0.0017576905925520128,30,4691
mlp-packet_repeat12,mlp-packet_H12,brier,3,-0.0009534643527988839,-0.0021415511849216533,8.431934984137377e-05,30,4691
mlp-packet_repeat12,mlp-packet_H12,log_loss,3,-0.005553920737959148,-0.010960817405078479,-0.0010446253933505364,30,4691
mlp-packet_repeat12,mlp-packet_H12,brier,9,-0.003479903526426191,-0.006394314682191314,-0.0007841995047536167,30,4691
mlp-packet_repeat12,mlp-packet_H12,log_loss,9,-0.009893157813546686,-0.017417529136864545,-0.0019192025205596235,30,4691
mlp-packet_repeat12,mlp-packet_H12,brier,24,-0.0023393539532786238,-0.004535809034999032,-0.00029240638486087347,30,4691
mlp-packet_repeat12,mlp-packet_H12,log_loss,24,-0.0050484936164757075,-0.011461903795672222,0.0008037698428439435,30,4691
mlp-packet_repeat12,mlp-packet_H12,brier,48,-0.0009002656820493167,-0.004619079372064699,0.002654924161861071,30,4691
mlp-packet_repeat12,mlp-packet_H12,log_loss,48,-0.0009028418331493631,-0.011136826503800523,0.008466892379450393,30,4691
mlp-packet_repeat12,mlp-packet_H12,brier,96,-0.004167187966393343,-0.010517605300281835,0.0022739851439847036,30,4691
mlp-packet_repeat12,mlp-packet_H12,log_loss,96,-0.002784348108605904,-0.017610100133136596,0.011669741008431668,30,4691
mlp-packet_H0,mlp-packet_plus_shell25_H0,joint_event_nll,all,-0.0497492291033268,-0.0588221831053185,-0.04043583125147658,30,4691
mlp-packet_H0,mlp-packet_plus_shell25_H0,brier,0.75,-0.00035605744084153733,-0.0006893519686968888,-6.367932139916093e-05,30,4691
