metric,value
score,1.4555663365288638
present_mse,0.6721242776567427
future_mse,0.7834420588721211
present_blocks.radial,0.7323260243225377
present_blocks.pair,0.8141039493163893
present_blocks.angular,0.9710943316982594
present_blocks.speed,0.1705027984700185
present_blocks.radial_velocity,0.45231570057197434
present_blocks.moments,0.6902214440798465
future_by_horizon.0.75,0.7853683894907589
future_by_horizon.3.0,0.8097839351859876
future_by_horizon.9.0,0.783868178158688
future_by_horizon.24.0,0.7902388540193594
future_by_horizon.48.0,0.7639204290268631
future_by_horizon.96.0,0.7674725742234538
future_blocks.radial,0.6220165753523664
future_blocks.pair,0.6610317364024619
future_blocks.angular,0.7940721120646533
future_blocks.speed,0.9833284639520571
future_blocks.radial_velocity,0.9748625999083743
future_blocks.moments,0.949176686660697
validation_seconds,3.788437684997916
input_wait_seconds,0.0012746959691867232
windows,3840
