metric,value
score,1.288544018411388
present_mse,0.5248563575868805
future_mse,0.7636876608245076
present_blocks.radial,0.48723828138997005
present_blocks.pair,0.6200488466885872
present_blocks.angular,0.6975381646014285
present_blocks.speed,0.18220605104124843
present_blocks.radial_velocity,0.4957614214149847
present_blocks.moments,0.6087709661020198
future_by_horizon.0.75,0.7669732748375586
future_by_horizon.3.0,0.7481988175694521
future_by_horizon.9.0,0.7522772713622543
future_by_horizon.24.0,0.7662122764120189
future_by_horizon.48.0,0.7650322409754154
future_by_horizon.96.0,0.7834320847022658
future_blocks.radial,0.6286357287744371
future_blocks.pair,0.6368702475680038
future_blocks.angular,0.733052158378996
future_blocks.speed,0.9324681700052073
future_blocks.radial_velocity,0.9651531665120273
future_blocks.moments,0.9478158411957944
validation_seconds,13.244369804975577
input_wait_seconds,0.2217017476214096
windows,3840
