seed,variant,readout,population,method,metric,source_id,value
20260916,D,joint,all,encoder,present/bond_order,881,0.8127544522285461
20260916,D,joint,all,encoder,present/bond_order,882,1.1503537893295288
20260916,D,joint,all,encoder,future/0.75ps/bond_order,881,0.8995502591133118
20260916,D,joint,all,encoder,future/0.75ps/bond_order,882,1.1204228401184082
20260916,D,joint,all,persistence,future/0.75ps/bond_order,881,0.20173166692256927
20260916,D,joint,all,persistence,future/0.75ps/bond_order,882,0.12136351317167282
20260916,D,joint,all,encoder,delta/0.75ps/bond_order,881,0.23228894174098969
20260916,D,joint,all,encoder,delta/0.75ps/bond_order,882,0.1498764455318451
20260916,D,joint,all,encoder,future/3ps/bond_order,881,0.8397095203399658
20260916,D,joint,all,encoder,future/3ps/bond_order,882,1.149670958518982
20260916,D,joint,all,persistence,future/3ps/bond_order,881,0.27111712098121643
20260916,D,joint,all,persistence,future/3ps/bond_order,882,0.08536650985479355
20260916,D,joint,all,encoder,delta/3ps/bond_order,881,0.294351190328598
20260916,D,joint,all,encoder,delta/3ps/bond_order,882,0.13371606171131134
20260916,D,joint,all,encoder,future/9ps/bond_order,881,1.0234580039978027
20260916,D,joint,all,encoder,future/9ps/bond_order,882,1.2913812398910522
20260916,D,joint,all,persistence,future/9ps/bond_order,881,0.21584711968898773
20260916,D,joint,all,persistence,future/9ps/bond_order,882,0.09867444634437561
20260916,D,joint,all,encoder,delta/9ps/bond_order,881,0.29072049260139465
20260916,D,joint,all,encoder,delta/9ps/bond_order,882,0.22818197309970856
20260916,D,joint,all,encoder,present/instantaneous_TDA_H0,881,0.8320644497871399
20260916,D,joint,all,encoder,present/instantaneous_TDA_H0,882,1.2002640962600708
20260916,D,joint,all,encoder,future/0.75ps/instantaneous_TDA_H0,881,0.7422013282775879
20260916,D,joint,all,encoder,future/0.75ps/instantaneous_TDA_H0,882,1.3361015319824219
20260916,D,joint,all,persistence,future/0.75ps/instantaneous_TDA_H0,881,0.18203304708003998
20260916,D,joint,all,persistence,future/0.75ps/instantaneous_TDA_H0,882,0.18848542869091034
20260916,D,joint,all,encoder,delta/0.75ps/instantaneous_TDA_H0,881,0.19660629332065582
20260916,D,joint,all,encoder,delta/0.75ps/instantaneous_TDA_H0,882,0.1936975121498108
20260916,D,joint,all,encoder,future/3ps/instantaneous_TDA_H0,881,0.6674100756645203
20260916,D,joint,all,encoder,future/3ps/instantaneous_TDA_H0,882,1.1269619464874268
20260916,D,joint,all,persistence,future/3ps/instantaneous_TDA_H0,881,0.3283909261226654
20260916,D,joint,all,persistence,future/3ps/instantaneous_TDA_H0,882,0.1920318752527237
20260916,D,joint,all,encoder,delta/3ps/instantaneous_TDA_H0,881,0.36165252327919006
20260916,D,joint,all,encoder,delta/3ps/instantaneous_TDA_H0,882,0.2186173051595688
20260916,D,joint,all,encoder,future/9ps/instantaneous_TDA_H0,881,0.7912683486938477
20260916,D,joint,all,encoder,future/9ps/instantaneous_TDA_H0,882,0.8406906127929688
20260916,D,joint,all,persistence,future/9ps/instantaneous_TDA_H0,881,0.25286993384361267
20260916,D,joint,all,persistence,future/9ps/instantaneous_TDA_H0,882,0.3420860469341278
20260916,D,joint,all,encoder,delta/9ps/instantaneous_TDA_H0,881,0.45357778668403625
20260916,D,joint,all,encoder,delta/9ps/instantaneous_TDA_H0,882,0.5406240820884705
20260916,D,joint,all,encoder,present/instantaneous_TDA_H1,881,0.6468968391418457
20260916,D,joint,all,encoder,present/instantaneous_TDA_H1,882,0.9240667223930359
20260916,D,joint,all,encoder,future/0.75ps/instantaneous_TDA_H1,881,0.7195153832435608
20260916,D,joint,all,encoder,future/0.75ps/instantaneous_TDA_H1,882,0.8599544167518616
20260916,D,joint,all,persistence,future/0.75ps/instantaneous_TDA_H1,881,0.1594187617301941
20260916,D,joint,all,persistence,future/0.75ps/instantaneous_TDA_H1,882,0.08794260025024414
20260916,D,joint,all,encoder,delta/0.75ps/instantaneous_TDA_H1,881,0.17819209396839142
20260916,D,joint,all,encoder,delta/0.75ps/instantaneous_TDA_H1,882,0.10537981241941452
20260916,D,joint,all,encoder,future/3ps/instantaneous_TDA_H1,881,0.6494541764259338
20260916,D,joint,all,encoder,future/3ps/instantaneous_TDA_H1,882,0.7116051316261292
20260916,D,joint,all,persistence,future/3ps/instantaneous_TDA_H1,881,0.17126072943210602
20260916,D,joint,all,persistence,future/3ps/instantaneous_TDA_H1,882,0.10051829367876053
20260916,D,joint,all,encoder,delta/3ps/instantaneous_TDA_H1,881,0.19267749786376953
20260916,D,joint,all,encoder,delta/3ps/instantaneous_TDA_H1,882,0.1210942491889
20260916,D,joint,all,encoder,future/9ps/instantaneous_TDA_H1,881,0.6345697045326233
20260916,D,joint,all,encoder,future/9ps/instantaneous_TDA_H1,882,0.9678289890289307
20260916,D,joint,all,persistence,future/9ps/instantaneous_TDA_H1,881,0.14729534089565277
20260916,D,joint,all,persistence,future/9ps/instantaneous_TDA_H1,882,0.13611531257629395
20260916,D,joint,all,encoder,delta/9ps/instantaneous_TDA_H1,881,0.23080821335315704
20260916,D,joint,all,encoder,delta/9ps/instantaneous_TDA_H1,882,0.20639128983020782
20260916,D,joint,all,encoder,present/instantaneous_TDA_H2,881,0.9040234088897705
20260916,D,joint,all,encoder,present/instantaneous_TDA_H2,882,0.8246766924858093
20260916,D,joint,all,encoder,future/0.75ps/instantaneous_TDA_H2,881,0.9310784935951233
20260916,D,joint,all,encoder,future/0.75ps/instantaneous_TDA_H2,882,0.7897824645042419
20260916,D,joint,all,persistence,future/0.75ps/instantaneous_TDA_H2,881,0.12053825706243515
20260916,D,joint,all,persistence,future/0.75ps/instantaneous_TDA_H2,882,0.05035662278532982
20260916,D,joint,all,encoder,delta/0.75ps/instantaneous_TDA_H2,881,0.1429251730442047
20260916,D,joint,all,encoder,delta/0.75ps/instantaneous_TDA_H2,882,0.07222888618707657
20260916,D,joint,all,encoder,future/3ps/instantaneous_TDA_H2,881,0.9519672393798828
20260916,D,joint,all,encoder,future/3ps/instantaneous_TDA_H2,882,0.7107626795768738
20260916,D,joint,all,persistence,future/3ps/instantaneous_TDA_H2,881,0.14798177778720856
20260916,D,joint,all,persistence,future/3ps/instantaneous_TDA_H2,882,0.05676475539803505
20260916,D,joint,all,encoder,delta/3ps/instantaneous_TDA_H2,881,0.17934823036193848
20260916,D,joint,all,encoder,delta/3ps/instantaneous_TDA_H2,882,0.08558971434831619
