left,right,readout,population,metric,seeds,value,ci95_low,ci95_high,sources
state_history,state_constant,D,all,delta/0.75ps/block_mean,1,-0.061372489668428905,-0.08446232563557311,-0.04031095722483264,30
state_history,state_constant,D,all,delta/0.75ps/bond_order,1,-0.0005081002910931905,-0.001835482840736707,0.0008419078433265288,30
state_history,state_constant,D,all,delta/0.75ps/instantaneous_TDA_H0,1,0.0011090924342473348,-0.0031057676983376344,0.005969809275120496,30
state_history,state_constant,D,all,delta/0.75ps/instantaneous_TDA_H1,1,-7.811089356740316e-05,-0.0016162003887196382,0.0014413268739978452,30
state_history,state_constant,D,all,delta/0.75ps/instantaneous_TDA_H2,1,0.001854920263091723,0.0006338722414026658,0.003187235398218035,30
state_history,state_constant,D,all,delta/0.75ps/motion_even,1,-0.007016484936078389,-0.03621416752537091,0.022229922587672864,30
state_history,state_constant,D,all,delta/0.75ps/motion_odd,1,-0.3635962545871735,-0.5007772371421257,-0.23466610332330073,30
state_history,state_constant,D,all,delta/3ps/block_mean,1,-0.057160781365301866,-0.08248007680858589,-0.03191275274950183,30
state_history,state_constant,D,all,delta/3ps/bond_order,1,-0.000701390082637469,-0.0035214714209238687,0.0019681996138145507,30
state_history,state_constant,D,all,delta/3ps/instantaneous_TDA_H0,1,-0.003229915102322896,-0.008378772300978502,0.0024890075375636374,30
state_history,state_constant,D,all,delta/3ps/instantaneous_TDA_H1,1,0.0006890515486399333,-0.0012891472255190212,0.0025817609330018336,30
state_history,state_constant,D,all,delta/3ps/instantaneous_TDA_H2,1,0.0021914264808098475,0.0007365320747097333,0.003773840569580594,30
state_history,state_constant,D,all,delta/3ps/motion_even,1,0.012594606479008992,-0.02131879563132922,0.0468247457842032,30
state_history,state_constant,D,all,delta/3ps/motion_odd,1,-0.3545084675153097,-0.5073155906796456,-0.21118832652767505,30
state_history,state_constant,D,all,delta/9ps/block_mean,1,-0.08584180219719809,-0.11449582991293736,-0.057364651916755584,30
state_history,state_constant,D,all,delta/9ps/bond_order,1,0.0020920572181542716,-0.0020788526410857834,0.006428169592594102,30
state_history,state_constant,D,all,delta/9ps/instantaneous_TDA_H0,1,0.0013971154888470967,-0.0038040735820929206,0.005976404746373494,30
state_history,state_constant,D,all,delta/9ps/instantaneous_TDA_H1,1,0.002046628048022588,-0.00039567428330580383,0.004651280101388692,30
state_history,state_constant,D,all,delta/9ps/instantaneous_TDA_H2,1,0.0033618210504452388,0.001227810913696885,0.005528647620230912,30
state_history,state_constant,D,all,delta/9ps/motion_even,1,-0.012113412221272787,-0.03827796479066213,0.016268464575211188,30
state_history,state_constant,D,all,delta/9ps/motion_odd,1,-0.5118350227673848,-0.686062556107839,-0.33651958460609127,30
state_history,state_constant,D,all,future/0.75ps/block_mean,1,0.005471778164307278,-0.00010278808573882811,0.011313400900819238,30
state_history,state_constant,D,all,future/0.75ps/bond_order,1,-0.0015575781464576722,-0.01045790359377861,0.007400856769333273,30
state_history,state_constant,D,all,future/0.75ps/instantaneous_TDA_H0,1,0.004012344032526016,-0.0028199985561271506,0.011851774919778107,30
state_history,state_constant,D,all,future/0.75ps/instantaneous_TDA_H1,1,0.0005946014076471329,-0.002812254745513201,0.004214636137088139,30
state_history,state_constant,D,all,future/0.75ps/instantaneous_TDA_H2,1,0.00039268421630064647,-0.003495359693964322,0.004124232288449997,30
state_history,state_constant,D,all,future/0.75ps/motion_even,1,0.004908346136411031,-0.019719406962394714,0.030176805158456114,30
state_history,state_constant,D,all,future/0.75ps/motion_odd,1,0.024480271339416503,-0.002079473485549291,0.05200834631919859,30
state_history,state_constant,D,all,future/3ps/block_mean,1,0.007138767838478097,-0.0003305960824299062,0.015399967876469939,30
state_history,state_constant,D,all,future/3ps/bond_order,1,-0.003863015522559484,-0.013608214370906353,0.00532895879819989,30
