source_id,population,method,metric,value,samples
860,all,encoder,present/bond_order,1.2692888975143433,12
861,all,encoder,present/bond_order,0.7191492915153503,12
860,all,encoder,future/0.75ps/bond_order,1.2797484397888184,12
861,all,encoder,future/0.75ps/bond_order,0.7177155613899231,12
860,all,persistence,future/0.75ps/bond_order,0.08227250725030899,12
861,all,persistence,future/0.75ps/bond_order,0.13606156408786774,12
860,all,encoder,delta/0.75ps/bond_order,0.1001734510064125,12
861,all,encoder,delta/0.75ps/bond_order,0.16918154060840607,12
860,all,encoder,future/3ps/bond_order,1.2261269092559814,12
861,all,encoder,future/3ps/bond_order,0.8460285067558289,12
860,all,persistence,future/3ps/bond_order,0.05768692493438721,12
861,all,persistence,future/3ps/bond_order,0.1713465303182602,12
860,all,encoder,delta/3ps/bond_order,0.10327613353729248,12
861,all,encoder,delta/3ps/bond_order,0.22340810298919678,12
860,all,encoder,future/9ps/bond_order,1.2076910734176636,12
861,all,encoder,future/9ps/bond_order,1.0136079788208008,12
860,all,persistence,future/9ps/bond_order,0.07874222099781036,12
861,all,persistence,future/9ps/bond_order,0.25968870520591736,12
860,all,encoder,delta/9ps/bond_order,0.18870796263217926,12
861,all,encoder,delta/9ps/bond_order,0.39804038405418396,12
860,all,encoder,present/instantaneous_TDA_H0,0.9950454235076904,12
861,all,encoder,present/instantaneous_TDA_H0,1.0993283987045288,12
860,all,encoder,future/0.75ps/instantaneous_TDA_H0,1.0750418901443481,12
861,all,encoder,future/0.75ps/instantaneous_TDA_H0,1.1725739240646362,12
860,all,persistence,future/0.75ps/instantaneous_TDA_H0,0.2483241707086563,12
861,all,persistence,future/0.75ps/instantaneous_TDA_H0,0.3428742587566376,12
860,all,encoder,delta/0.75ps/instantaneous_TDA_H0,0.267488569021225,12
861,all,encoder,delta/0.75ps/instantaneous_TDA_H0,0.3761107921600342,12
860,all,encoder,future/3ps/instantaneous_TDA_H0,1.0926858186721802,12
861,all,encoder,future/3ps/instantaneous_TDA_H0,1.0612658262252808,12
860,all,persistence,future/3ps/instantaneous_TDA_H0,0.2445259839296341,12
861,all,persistence,future/3ps/instantaneous_TDA_H0,0.2021111100912094,12
860,all,encoder,delta/3ps/instantaneous_TDA_H0,0.2674853503704071,12
861,all,encoder,delta/3ps/instantaneous_TDA_H0,0.23571550846099854,12
860,all,encoder,future/9ps/instantaneous_TDA_H0,1.0533303022384644,12
861,all,encoder,future/9ps/instantaneous_TDA_H0,0.7539090514183044,12
860,all,persistence,future/9ps/instantaneous_TDA_H0,0.39034152030944824,12
861,all,persistence,future/9ps/instantaneous_TDA_H0,0.226069375872612,12
860,all,encoder,delta/9ps/instantaneous_TDA_H0,0.5509944558143616,12
861,all,encoder,delta/9ps/instantaneous_TDA_H0,0.36240530014038086,12
860,all,encoder,present/instantaneous_TDA_H1,0.9876700043678284,12
861,all,encoder,present/instantaneous_TDA_H1,1.0926636457443237,12
860,all,encoder,future/0.75ps/instantaneous_TDA_H1,1.148425579071045,12
861,all,encoder,future/0.75ps/instantaneous_TDA_H1,0.991447925567627,12
860,all,persistence,future/0.75ps/instantaneous_TDA_H1,0.137713223695755,12
861,all,persistence,future/0.75ps/instantaneous_TDA_H1,0.13117924332618713,12
860,all,encoder,delta/0.75ps/instantaneous_TDA_H1,0.15758468210697174,12
861,all,encoder,delta/0.75ps/instantaneous_TDA_H1,0.14804016053676605,12
860,all,encoder,future/3ps/instantaneous_TDA_H1,1.1852936744689941,12
861,all,encoder,future/3ps/instantaneous_TDA_H1,0.9876100420951843,12
860,all,persistence,future/3ps/instantaneous_TDA_H1,0.11247686296701431,12
861,all,persistence,future/3ps/instantaneous_TDA_H1,0.2500666379928589,12
860,all,encoder,delta/3ps/instantaneous_TDA_H1,0.1459500789642334,12
861,all,encoder,delta/3ps/instantaneous_TDA_H1,0.27502813935279846,12
860,all,encoder,future/9ps/instantaneous_TDA_H1,1.3157362937927246,12
861,all,encoder,future/9ps/instantaneous_TDA_H1,0.6381283402442932,12
860,all,persistence,future/9ps/instantaneous_TDA_H1,0.10056644678115845,12
861,all,persistence,future/9ps/instantaneous_TDA_H1,0.24275153875350952,12
860,all,encoder,delta/9ps/instantaneous_TDA_H1,0.204908087849617,12
861,all,encoder,delta/9ps/instantaneous_TDA_H1,0.3774634301662445,12
860,all,encoder,present/instantaneous_TDA_H2,0.9473969340324402,12
861,all,encoder,present/instantaneous_TDA_H2,1.0827826261520386,12
860,all,encoder,future/0.75ps/instantaneous_TDA_H2,1.0890578031539917,12
861,all,encoder,future/0.75ps/instantaneous_TDA_H2,0.9637126326560974,12
860,all,persistence,future/0.75ps/instantaneous_TDA_H2,0.06946464627981186,12
861,all,persistence,future/0.75ps/instantaneous_TDA_H2,0.10962886363267899,12
860,all,encoder,delta/0.75ps/instantaneous_TDA_H2,0.08519389480352402,12
861,all,encoder,delta/0.75ps/instantaneous_TDA_H2,0.12740488350391388,12
860,all,encoder,future/3ps/instantaneous_TDA_H2,1.161460518836975,12
861,all,encoder,future/3ps/instantaneous_TDA_H2,0.9887762665748596,12
860,all,persistence,future/3ps/instantaneous_TDA_H2,0.08969441801309586,12
861,all,persistence,future/3ps/instantaneous_TDA_H2,0.17976708710193634,12
860,all,encoder,delta/3ps/instantaneous_TDA_H2,0.11402606219053268,12
861,all,encoder,delta/3ps/instantaneous_TDA_H2,0.20138873159885406,12
860,all,encoder,future/9ps/instantaneous_TDA_H2,1.1946444511413574,12
861,all,encoder,future/9ps/instantaneous_TDA_H2,0.876152515411377,12
860,all,persistence,future/9ps/instantaneous_TDA_H2,0.08426070958375931,12
861,all,persistence,future/9ps/instantaneous_TDA_H2,0.16877372562885284,12
860,all,encoder,delta/9ps/instantaneous_TDA_H2,0.16371174156665802,12
861,all,encoder,delta/9ps/instantaneous_TDA_H2,0.23473508656024933,12
860,all,encoder,present/motion_even,0.578706681728363,12
861,all,encoder,present/motion_even,0.9364423751831055,12
860,all,encoder,future/0.75ps/motion_even,1.1504039764404297,12
