population,method,metric,value,sources,ci95_low,ci95_high
all,encoder,delta/0.75ps/bond_order,0.12824156880378723,2,0.09484502673149109,0.16163811087608337
all,encoder,delta/0.75ps/instantaneous_TDA_H0,0.30880847573280334,2,0.2568223774433136,0.3607945740222931
all,encoder,delta/0.75ps/instantaneous_TDA_H1,0.15263420343399048,2,0.14893563091754913,0.15633277595043182
all,encoder,delta/0.75ps/instantaneous_TDA_H2,0.10780759155750275,2,0.08693799376487732,0.12867718935012817
all,encoder,delta/0.75ps/motion_even,1.7125977873802185,2,1.4884098768234253,1.9367856979370117
all,encoder,delta/0.75ps/motion_odd,2.240391790866852,2,1.5780938863754272,2.9026896953582764
all,encoder,delta/3ps/bond_order,0.16280339285731316,2,0.10110215097665787,0.22450463473796844
all,encoder,delta/3ps/instantaneous_TDA_H0,0.2533177509903908,2,0.2436327189207077,0.26300278306007385
all,encoder,delta/3ps/instantaneous_TDA_H1,0.21080241352319717,2,0.14409558475017548,0.27750924229621887
all,encoder,delta/3ps/instantaneous_TDA_H2,0.16401568427681923,2,0.11758514493703842,0.21044622361660004
all,encoder,delta/3ps/motion_even,2.0623324513435364,2,1.9274080991744995,2.1972568035125732
all,encoder,delta/3ps/motion_odd,1.7242907881736755,2,1.4414821863174438,2.0070993900299072
all,encoder,delta/9ps/bond_order,0.29656632989645004,2,0.20303018391132355,0.39010247588157654
all,encoder,delta/9ps/instantaneous_TDA_H0,0.5354846566915512,2,0.45271602272987366,0.6182532906532288
all,encoder,delta/9ps/instantaneous_TDA_H1,0.3043379560112953,2,0.2195490151643753,0.38912689685821533
all,encoder,delta/9ps/instantaneous_TDA_H2,0.23180576413869858,2,0.19313792884349823,0.2704735994338989
all,encoder,delta/9ps/motion_even,2.1026591062545776,2,2.0419552326202393,2.163362979888916
all,encoder,delta/9ps/motion_odd,2.4800456166267395,2,1.8126734495162964,3.1474177837371826
all,encoder,future/0.75ps/bond_order,0.99367955327034,2,0.8106537461280823,1.1767053604125977
all,encoder,future/0.75ps/instantaneous_TDA_H0,1.1169549822807312,2,1.0810197591781616,1.1528902053833008
all,encoder,future/0.75ps/instantaneous_TDA_H1,1.0670628547668457,2,1.0204811096191406,1.1136445999145508
all,encoder,future/0.75ps/instantaneous_TDA_H2,1.0283197462558746,2,0.9904162287712097,1.0662232637405396
all,encoder,future/0.75ps/motion_even,1.0968746542930603,2,1.0617179870605469,1.1320313215255737
all,encoder,future/0.75ps/motion_odd,0.9608288109302521,2,0.9546494483947754,0.9670081734657288
all,encoder,future/3ps/bond_order,1.0482473075389862,2,0.9697189927101135,1.1267756223678589
all,encoder,future/3ps/instantaneous_TDA_H0,1.0651518106460571,2,1.041253924369812,1.0890496969223022
all,encoder,future/3ps/instantaneous_TDA_H1,1.0921602249145508,2,1.0231112241744995,1.161209225654602
all,encoder,future/3ps/instantaneous_TDA_H2,1.0736018419265747,2,1.012029767036438,1.1351739168167114
all,encoder,future/3ps/motion_even,1.2101539373397827,2,1.150778889656067,1.2695289850234985
all,encoder,future/3ps/motion_odd,1.1180402040481567,2,0.8869731426239014,1.349107265472412
all,encoder,future/9ps/bond_order,1.1801667213439941,2,1.142224907875061,1.2181085348129272
all,encoder,future/9ps/instantaneous_TDA_H0,0.9112847149372101,2,0.7571250796318054,1.0654443502426147
