source_id,population,method,metric,value,samples
860,all,encoder,present/bond_order,1.2734460830688477,12
861,all,encoder,present/bond_order,0.7159262299537659,12
860,all,encoder,future/0.75ps/bond_order,1.219260573387146,12
861,all,encoder,future/0.75ps/bond_order,0.7670764327049255,12
860,all,persistence,future/0.75ps/bond_order,0.08227250725030899,12
861,all,persistence,future/0.75ps/bond_order,0.13606156408786774,12
860,all,encoder,delta/0.75ps/bond_order,0.10618530958890915,12
861,all,encoder,delta/0.75ps/bond_order,0.167974054813385,12
860,all,encoder,future/3ps/bond_order,1.1749132871627808,12
861,all,encoder,future/3ps/bond_order,0.9108366370201111,12
860,all,persistence,future/3ps/bond_order,0.05768692493438721,12
861,all,persistence,future/3ps/bond_order,0.1713465303182602,12
860,all,encoder,delta/3ps/bond_order,0.10390762239694595,12
861,all,encoder,delta/3ps/bond_order,0.22277556359767914,12
860,all,encoder,future/9ps/bond_order,1.1761308908462524,12
861,all,encoder,future/9ps/bond_order,1.120553970336914,12
860,all,persistence,future/9ps/bond_order,0.07874222099781036,12
861,all,persistence,future/9ps/bond_order,0.25968870520591736,12
860,all,encoder,delta/9ps/bond_order,0.1780148148536682,12
861,all,encoder,delta/9ps/bond_order,0.3587457239627838,12
860,all,encoder,present/instantaneous_TDA_H0,0.9894837737083435,12
861,all,encoder,present/instantaneous_TDA_H0,1.1068135499954224,12
860,all,encoder,future/0.75ps/instantaneous_TDA_H0,1.1136608123779297,12
861,all,encoder,future/0.75ps/instantaneous_TDA_H0,1.1210335493087769,12
860,all,persistence,future/0.75ps/instantaneous_TDA_H0,0.2483241707086563,12
861,all,persistence,future/0.75ps/instantaneous_TDA_H0,0.3428742587566376,12
860,all,encoder,delta/0.75ps/instantaneous_TDA_H0,0.2546221613883972,12
861,all,encoder,delta/0.75ps/instantaneous_TDA_H0,0.35839948058128357,12
860,all,encoder,future/3ps/instantaneous_TDA_H0,1.1223247051239014,12
861,all,encoder,future/3ps/instantaneous_TDA_H0,1.0062326192855835,12
860,all,persistence,future/3ps/instantaneous_TDA_H0,0.2445259839296341,12
861,all,persistence,future/3ps/instantaneous_TDA_H0,0.2021111100912094,12
860,all,encoder,delta/3ps/instantaneous_TDA_H0,0.2555249035358429,12
861,all,encoder,delta/3ps/instantaneous_TDA_H0,0.23071712255477905,12
860,all,encoder,future/9ps/instantaneous_TDA_H0,1.0704847574234009,12
861,all,encoder,future/9ps/instantaneous_TDA_H0,0.7076482772827148,12
860,all,persistence,future/9ps/instantaneous_TDA_H0,0.39034152030944824,12
861,all,persistence,future/9ps/instantaneous_TDA_H0,0.226069375872612,12
860,all,encoder,delta/9ps/instantaneous_TDA_H0,0.5529466867446899,12
