population,method,metric,value,sources,ci95_low,ci95_high
all,encoder,delta/0.75ps/bond_order,0.09135541595104668,90,0.08142447012580104,0.10290451950238394
all,encoder,delta/0.75ps/instantaneous_TDA_H0,0.2895935864084297,90,0.26647966833164294,0.3118389851724108
all,encoder,delta/0.75ps/instantaneous_TDA_H1,0.1606475806898541,90,0.1503499825588531,0.17040842908124126
all,encoder,delta/0.75ps/instantaneous_TDA_H2,0.13188343967000643,90,0.12352840779142248,0.14112754906010297
all,encoder,delta/0.75ps/motion_even,1.576360230313407,90,1.4471269401742353,1.714359857290983
all,encoder,delta/0.75ps/motion_odd,1.9997340142726898,90,1.829951547715399,2.18942963813742
all,encoder,delta/3ps/bond_order,0.11683897647178836,90,0.0994615969242942,0.13563847372618812
all,encoder,delta/3ps/instantaneous_TDA_H0,0.30477474994129605,90,0.2796525818771786,0.3331814712430868
all,encoder,delta/3ps/instantaneous_TDA_H1,0.17218781684835752,90,0.15810616475012568,0.18576228976249695
all,encoder,delta/3ps/instantaneous_TDA_H2,0.13911297474470402,90,0.13007261848284138,0.14953639361800417
all,encoder,delta/3ps/motion_even,1.5769667903582254,90,1.4574841370019649,1.6754422186480629
all,encoder,delta/3ps/motion_odd,1.962369532055325,90,1.8117500491109158,2.121523057437605
all,encoder,delta/9ps/bond_order,0.18330321636878782,90,0.14353488816776208,0.2320681296656322
all,encoder,delta/9ps/instantaneous_TDA_H0,0.33462373457021183,90,0.30185251051767004,0.364945452246401
all,encoder,delta/9ps/instantaneous_TDA_H1,0.2095162300599946,90,0.18729519916491377,0.23711837342008946
all,encoder,delta/9ps/instantaneous_TDA_H2,0.18205633105503188,90,0.16113043968048363,0.20383246139105823
all,encoder,delta/9ps/motion_even,1.6239160358905793,90,1.502784043169684,1.732124210662312
all,encoder,delta/9ps/motion_odd,1.9820685704549155,90,1.8214742629064455,2.144565680921078
all,encoder,future/0.75ps/bond_order,1.0573724647363028,90,0.9836159357759687,1.1195118911895487
all,encoder,future/0.75ps/coverage_1sigma,0.8523175542406313,90,0.8445197786543941,0.8599950690335305
