source_id,population,method,metric,value,samples
860,all,encoder,present/bond_order,0.3206240236759186,12
861,all,encoder,present/bond_order,0.1999036818742752,12
862,all,encoder,present/bond_order,0.26054731011390686,12
863,all,encoder,present/bond_order,0.34744715690612793,12
864,all,encoder,present/bond_order,0.1794155389070511,12
865,all,encoder,present/bond_order,0.2637777626514435,12
866,all,encoder,present/bond_order,0.1846604198217392,12
867,all,encoder,present/bond_order,0.2434649020433426,12
868,all,encoder,present/bond_order,0.31603309512138367,12
869,all,encoder,present/bond_order,0.19197046756744385,12
870,all,encoder,present/bond_order,0.19853508472442627,12
871,all,encoder,present/bond_order,0.2844979465007782,12
872,all,encoder,present/bond_order,0.470708966255188,12
873,all,encoder,present/bond_order,0.21081684529781342,12
874,all,encoder,present/bond_order,0.2390630692243576,12
884,all,encoder,present/bond_order,0.2712787091732025,12
885,all,encoder,present/bond_order,0.17898987233638763,12
886,all,encoder,present/bond_order,0.23112709820270538,12
887,all,encoder,present/bond_order,0.205778107047081,12
888,all,encoder,present/bond_order,0.20668716728687286,12
889,all,encoder,present/bond_order,0.1803557127714157,12
890,all,encoder,present/bond_order,0.6261388063430786,12
891,all,encoder,present/bond_order,0.2152501940727234,12
892,all,encoder,present/bond_order,0.20734362304210663,12
893,all,encoder,present/bond_order,0.22404877841472626,12
894,all,encoder,present/bond_order,0.3554562032222748,12
895,all,encoder,present/bond_order,0.16380663216114044,12
896,all,encoder,present/bond_order,0.2157040238380432,12
897,all,encoder,present/bond_order,0.24556386470794678,12
898,all,encoder,present/bond_order,0.2962229251861572,12
899,all,encoder,present/bond_order,0.26593512296676636,12
900,all,encoder,present/bond_order,0.27340027689933777,12
901,all,encoder,present/bond_order,0.23505808413028717,12
914,all,encoder,present/bond_order,0.33418312668800354,12
915,all,encoder,present/bond_order,0.7118099331855774,12
916,all,encoder,present/bond_order,0.4792526066303253,12
917,all,encoder,present/bond_order,0.16886551678180695,12
918,all,encoder,present/bond_order,0.26033201813697815,12
919,all,encoder,present/bond_order,0.2789720892906189,12
920,all,encoder,present/bond_order,0.49680688977241516,12
921,all,encoder,present/bond_order,0.2787497341632843,12
922,all,encoder,present/bond_order,0.39171817898750305,12
923,all,encoder,present/bond_order,0.3830101788043976,12
924,all,encoder,present/bond_order,0.5282573103904724,12
925,all,encoder,present/bond_order,0.4143780469894409,12
926,all,encoder,present/bond_order,0.3273065388202667,12
927,all,encoder,present/bond_order,0.3931516706943512,12
928,all,encoder,present/bond_order,0.26094260811805725,12
929,all,encoder,present/bond_order,0.4611133337020874,12
930,all,encoder,present/bond_order,0.21107183396816254,12
931,all,encoder,present/bond_order,0.4761213958263397,12
944,all,encoder,present/bond_order,0.37747928500175476,12
945,all,encoder,present/bond_order,0.42383435368537903,12
946,all,encoder,present/bond_order,0.32412630319595337,12
947,all,encoder,present/bond_order,0.25532540678977966,12
948,all,encoder,present/bond_order,0.26811936497688293,12
949,all,encoder,present/bond_order,0.30065134167671204,12
950,all,encoder,present/bond_order,0.19339324533939362,12
951,all,encoder,present/bond_order,0.29658636450767517,12
