population,method,metric,value,sources,ci95_low,ci95_high
all,encoder,delta/0.75ps/bond_order,0.09427682070268525,90,0.08173981602200203,0.10608661908345918
all,encoder,delta/0.75ps/instantaneous_TDA_H0,0.2872745890584257,90,0.26348436575382944,0.3120874127331707
all,encoder,delta/0.75ps/instantaneous_TDA_H1,0.1628962255186505,90,0.15295795718414917,0.17320041347088083
all,encoder,delta/0.75ps/instantaneous_TDA_H2,0.12972192631827462,90,0.12250106253764695,0.1379980998320712
all,encoder,delta/0.75ps/motion_even,1.588217783636517,90,1.4567930678360992,1.7466273926860756
all,encoder,delta/0.75ps/motion_odd,2.0101865357822843,90,1.8452654383248754,2.21205063642727
all,encoder,delta/3ps/bond_order,0.11887848217868142,90,0.1035238826326612,0.13790829497596452
all,encoder,delta/3ps/instantaneous_TDA_H0,0.3071079960299863,90,0.27985926669297945,0.3351873544210361
all,encoder,delta/3ps/instantaneous_TDA_H1,0.17422505997949175,90,0.1606261270534661,0.18880592571157548
all,encoder,delta/3ps/instantaneous_TDA_H2,0.1389123842948013,90,0.12895912129018042,0.14858751736581327
all,encoder,delta/3ps/motion_even,1.5774225049548678,90,1.469905598892106,1.7006717325581444
all,encoder,delta/3ps/motion_odd,1.9702488587962257,90,1.79730246519049,2.1276747444934316
all,encoder,delta/9ps/bond_order,0.18386143532892069,90,0.14472167742024694,0.22941143150544827
all,encoder,delta/9ps/instantaneous_TDA_H0,0.33214827941523656,90,0.296873481741382,0.3666065324635969
all,encoder,delta/9ps/instantaneous_TDA_H1,0.21343620411223835,90,0.18551852838446697,0.2413521348271105
all,encoder,delta/9ps/instantaneous_TDA_H2,0.18108828398916457,90,0.15908929035481478,0.20354106607329514
all,encoder,delta/9ps/motion_even,1.617370116048389,90,1.4935334315564897,1.738008843825923
all,encoder,delta/9ps/motion_odd,1.9851769506931305,90,1.8326696437597276,2.1399703307449816
all,encoder,future/0.75ps/bond_order,0.47507163633902866,90,0.44201671295281914,0.5111241655713982
all,encoder,future/0.75ps/instantaneous_TDA_H0,0.3072428233093686,90,0.27473715523878733,0.3376051805437439
all,encoder,future/0.75ps/instantaneous_TDA_H1,0.2900032656888167,90,0.252647743349274,0.3300146710624297
all,encoder,future/0.75ps/instantaneous_TDA_H2,0.27994787585404185,90,0.25031658263670076,0.30728709743047755
all,encoder,future/0.75ps/motion_even,0.9869852195183436,90,0.9188222373028596,1.0647100903259383
all,encoder,future/0.75ps/motion_odd,1.0188591880930795,90,0.9256793827315172,1.1180389330867264
all,encoder,future/3ps/bond_order,0.4804945627848307,90,0.44790002716912164,0.5150431859989961
all,encoder,future/3ps/instantaneous_TDA_H0,0.3127952212260829,90,0.28394113671448495,0.3411368275433778
all,encoder,future/3ps/instantaneous_TDA_H1,0.2990094359964132,90,0.2644918517654555,0.3344134554753287
all,encoder,future/3ps/instantaneous_TDA_H2,0.2810853542139133,90,0.25255066031279666,0.312038788003847
all,encoder,future/3ps/motion_even,0.9680463436577055,90,0.8988205666757292,1.038119617038303
all,encoder,future/3ps/motion_odd,1.005366348226865,90,0.9345686891509427,1.0778812372684479
all,encoder,future/9ps/bond_order,0.49986610180801816,90,0.4672701939278179,0.5365688664052222
all,encoder,future/9ps/instantaneous_TDA_H0,0.33819650544060603,90,0.3032254971998433,0.3753912129418717
all,encoder,future/9ps/instantaneous_TDA_H1,0.3079995782011085,90,0.2712348545715213,0.3512720315924121
all,encoder,future/9ps/instantaneous_TDA_H2,0.2945179107702441,90,0.26597677738819686,0.32571303515798516
all,encoder,future/9ps/motion_even,1.0220268663432863,90,0.954551480230358,1.094374705561333
all,encoder,future/9ps/motion_odd,1.0466929366191229,90,0.961868398413062,1.1251755225989553
all,encoder,path/0.75ps/mean_std_qbar6,0.14135378560879164,90,0.1147223515658536,0.17176029887334962
all,encoder,path/3ps/mean_std_qbar6,0.13818162951825394,90,0.11202759868853415,0.16926527401510005
all,encoder,path/9ps/mean_std_qbar6,0.13291401581631768,90,0.10705398274507995,0.1607313762882
all,encoder,present/bond_order,0.4774446333448092,90,0.445850388461517,0.5107917906054192
all,encoder,present/instantaneous_TDA_H0,0.3184506063659986,90,0.27857241792397364,0.3582349267250134
all,encoder,present/instantaneous_TDA_H1,0.27576486633883585,90,0.24069733387273218,0.31282465769598883
all,encoder,present/instantaneous_TDA_H2,0.25819492936134336,90,0.22952710874378682,0.2886797923180792
all,encoder,present/motion_even,1.04280719657739,90,0.9848598802669182,1.0990137569275167
all,encoder,present/motion_odd,0.9824169009923935,90,0.8965892125417789,1.0712865777727631
all,encoder,temporal/0.75ps/covariance_trace,12.494921538564894,90,10.35416569872035,14.783939723604252
all,encoder,temporal/0.75ps/increment_p95,5.582360678116479,90,5.211975708509484,5.999933591215146
all,encoder,temporal/0.75ps/increment_rms,3.327905966175927,90,3.0835717228717274,3.553992444210582
all,encoder,temporal/0.75ps/normalized_rms_jump,0.8153273647412732,90,0.7554731049911925,0.8701170689122557
all,persistence,future/0.75ps/bond_order,0.08738400580154525,90,0.07734031887104113,0.0978461068501282
all,persistence,future/0.75ps/instantaneous_TDA_H0,0.28362490443719757,90,0.26117951784489885,0.30933586907676525
all,persistence,future/0.75ps/instantaneous_TDA_H1,0.1580785815914472,90,0.14809452802356748,0.17010670124242702
all,persistence,future/0.75ps/instantaneous_TDA_H2,0.12653978591163953,90,0.1188850099220872,0.1348155076801777
all,persistence,future/0.75ps/motion_even,1.5564421349101596,90,1.4237472977075312,1.7047109894785615
