source_id,population,method,metric,value,samples
860,all,encoder,present/bond_order,0.45567700266838074,12
861,all,encoder,present/bond_order,0.12894098460674286,12
862,all,encoder,present/bond_order,0.3915773928165436,12
863,all,encoder,present/bond_order,0.3738405704498291,12
864,all,encoder,present/bond_order,0.14474302530288696,12
865,all,encoder,present/bond_order,0.2965186536312103,12
866,all,encoder,present/bond_order,0.15517671406269073,12
867,all,encoder,present/bond_order,0.1782744973897934,12
868,all,encoder,present/bond_order,0.33068111538887024,12
869,all,encoder,present/bond_order,0.12814848124980927,12
870,all,encoder,present/bond_order,0.1529064029455185,12
871,all,encoder,present/bond_order,0.31173208355903625,12
872,all,encoder,present/bond_order,0.8755194544792175,12
873,all,encoder,present/bond_order,0.44268468022346497,12
874,all,encoder,present/bond_order,0.2405492216348648,12
884,all,encoder,present/bond_order,0.2748115062713623,12
885,all,encoder,present/bond_order,0.29646173119544983,12
886,all,encoder,present/bond_order,0.36688247323036194,12
887,all,encoder,present/bond_order,0.19020164012908936,12
888,all,encoder,present/bond_order,0.26033350825309753,12
889,all,encoder,present/bond_order,0.293760746717453,12
890,all,encoder,present/bond_order,0.6294690370559692,12
891,all,encoder,present/bond_order,0.13329748809337616,12
892,all,encoder,present/bond_order,0.2861177623271942,12
893,all,encoder,present/bond_order,0.15637968480587006,12
894,all,encoder,present/bond_order,0.5422717928886414,12
895,all,encoder,present/bond_order,0.12462780624628067,12
896,all,encoder,present/bond_order,0.14236637949943542,12
897,all,encoder,present/bond_order,0.13541007041931152,12
898,all,encoder,present/bond_order,0.18209119141101837,12
899,all,encoder,present/bond_order,0.29698631167411804,12
900,all,encoder,present/bond_order,0.20939850807189941,12
901,all,encoder,present/bond_order,0.24208341538906097,12
914,all,encoder,present/bond_order,0.814541757106781,12
915,all,encoder,present/bond_order,1.1847981214523315,12
916,all,encoder,present/bond_order,0.5420884490013123,12
917,all,encoder,present/bond_order,0.21597640216350555,12
918,all,encoder,present/bond_order,0.42544910311698914,12
919,all,encoder,present/bond_order,0.407723993062973,12
920,all,encoder,present/bond_order,0.8176191449165344,12
921,all,encoder,present/bond_order,0.3246557414531708,12
922,all,encoder,present/bond_order,0.6996584534645081,12
923,all,encoder,present/bond_order,0.581170916557312,12
924,all,encoder,present/bond_order,0.8782947063446045,12
925,all,encoder,present/bond_order,0.4903387725353241,12
926,all,encoder,present/bond_order,0.3173794448375702,12
