population,method,metric,value,sources,ci95_low,ci95_high
all,encoder,delta/0.75ps/bond_order,0.09439364183280204,90,0.08249837239479853,0.10535606877412645
all,encoder,delta/0.75ps/instantaneous_TDA_H0,0.28677677917811606,90,0.26125105982232427,0.3105284679142965
all,encoder,delta/0.75ps/instantaneous_TDA_H1,0.16008860559927093,90,0.1501034543973704,0.1720261362567544
all,encoder,delta/0.75ps/instantaneous_TDA_H2,0.13031331193115975,90,0.12247041591960524,0.1389959469396207
all,encoder,delta/0.75ps/motion_even,1.5704124006960127,90,1.4271969026492703,1.7111076783802774
all,encoder,delta/0.75ps/motion_odd,2.044469080037541,90,1.8705274194561772,2.2137935045113166
all,encoder,delta/3ps/bond_order,0.11966363257831997,90,0.10222032754578525,0.1389870092179626
all,encoder,delta/3ps/instantaneous_TDA_H0,0.30226748146944576,90,0.27658761496552164,0.3269587684277859
all,encoder,delta/3ps/instantaneous_TDA_H1,0.17227246504690913,90,0.15957149022569259,0.18576633017717137
all,encoder,delta/3ps/instantaneous_TDA_H2,0.13973122487465542,90,0.13059756566563416,0.15103186319271722
all,encoder,delta/3ps/motion_even,1.5648335258165995,90,1.4597036087678539,1.6687007630533643
all,encoder,delta/3ps/motion_odd,1.9949702190028296,90,1.8204984314739705,2.153311881853474
all,encoder,delta/9ps/bond_order,0.18638046623931992,90,0.1460524549547376,0.23351722963257793
all,encoder,delta/9ps/instantaneous_TDA_H0,0.32898824512958524,90,0.2988450761843059,0.36221200119290087
all,encoder,delta/9ps/instantaneous_TDA_H1,0.21050188284781243,90,0.18759537792040243,0.2366282732805444
all,encoder,delta/9ps/instantaneous_TDA_H2,0.18336372954977884,90,0.16039468961457412,0.21077118181106116
all,encoder,delta/9ps/motion_even,1.6105860352516175,90,1.4972408852643437,1.7406197633677059
all,encoder,delta/9ps/motion_odd,2.027288022968504,90,1.8690165342556107,2.191826598197222
all,encoder,future/0.75ps/bond_order,0.48533713354004754,90,0.4394598181255989,0.5399547763292988
all,encoder,future/0.75ps/instantaneous_TDA_H0,0.335758559157451,90,0.3098246096012493,0.363687916919589
all,encoder,future/0.75ps/instantaneous_TDA_H1,0.29129617744021946,90,0.265179160994788,0.3187142571599947
all,encoder,future/0.75ps/instantaneous_TDA_H2,0.27002169713377955,90,0.24970848591170378,0.29318198369608983
all,encoder,future/0.75ps/motion_even,0.9856405239966181,90,0.9088875746892559,1.0652776003339224
all,encoder,future/0.75ps/motion_odd,1.0064098089933395,90,0.914375109821558,1.1023974906653164
all,encoder,future/3ps/bond_order,0.4913107721341981,90,0.44779664158407184,0.5388414471472303
all,encoder,future/3ps/instantaneous_TDA_H0,0.35700272425181334,90,0.3229273136612028,0.3928831070330408
all,encoder,future/3ps/instantaneous_TDA_H1,0.3013483946522077,90,0.2769674437886311,0.328084566315843
all,encoder,future/3ps/instantaneous_TDA_H2,0.273548872437742,90,0.2500239501293335,0.2992898057359788
all,encoder,future/3ps/motion_even,0.9660920153061548,90,0.8999236740503046,1.038563709706068
all,encoder,future/3ps/motion_odd,0.9892489929993947,90,0.9150989557968245,1.057120350930426
all,encoder,future/9ps/bond_order,0.5210381007856792,90,0.4736480481839842,0.5693516106572416
all,encoder,future/9ps/instantaneous_TDA_H0,0.3725152307914363,90,0.33990383192275964,0.410187886574616
all,encoder,future/9ps/instantaneous_TDA_H1,0.33312374676267303,90,0.30055243524826236,0.3627841330837044
all,encoder,future/9ps/instantaneous_TDA_H2,0.3065800637834602,90,0.2734767186662389,0.33801938151940697
all,encoder,future/9ps/motion_even,1.0276704920662774,90,0.9544953758766254,1.1085659003754456
all,encoder,future/9ps/motion_odd,1.0456149296628103,90,0.9618919923322068,1.1233344454980558
all,encoder,path/0.75ps/mean_std_qbar6,0.1222553130135768,90,0.10444128480300101,0.1400048358668573
all,encoder,path/3ps/mean_std_qbar6,0.12512215146174033,90,0.10824547060092704,0.14166630670790456
all,encoder,path/9ps/mean_std_qbar6,0.13116586876826153,90,0.11316381964677324,0.1489442551896597
all,encoder,present/bond_order,0.4785190714730157,90,0.43409533814837536,0.5198797998618748
all,encoder,present/instantaneous_TDA_H0,0.31145572654075093,90,0.28359720116274223,0.34172028752457767
all,encoder,present/instantaneous_TDA_H1,0.26361726762519944,90,0.23951848620755806,0.2890636742818687
all,encoder,present/instantaneous_TDA_H2,0.24157185637288622,90,0.2218990705265767,0.260243916215582
all,encoder,present/motion_even,0.9988218264447318,90,0.9288832071423531,1.0696470928192139
all,encoder,present/motion_odd,1.0001862191491657,90,0.9147950956887669,1.0867010500861538
all,encoder,temporal/0.75ps/covariance_trace,11.377251787980397,90,9.844540714290407,13.208087267809443
all,encoder,temporal/0.75ps/increment_p95,5.788181788722673,90,5.40782662231889,6.17706200857626
all,encoder,temporal/0.75ps/increment_rms,3.4592838287353516,90,3.257709639734692,3.6614724191029864
all,encoder,temporal/0.75ps/normalized_rms_jump,0.8496690288384108,90,0.7934893470028404,0.8980084250757863
all,persistence,future/0.75ps/bond_order,0.08738400580154525,90,0.0763691836140222,0.09918703992126716
all,persistence,future/0.75ps/instantaneous_TDA_H0,0.28362490443719757,90,0.2587815434858203,0.3089282734609312
all,persistence,future/0.75ps/instantaneous_TDA_H1,0.1580785815914472,90,0.14766943872181906,0.16873453218282924
all,persistence,future/0.75ps/instantaneous_TDA_H2,0.12653978591163953,90,0.11719098855637843,0.13515742313944631
all,persistence,future/0.75ps/motion_even,1.5564421349101596,90,1.4300781630145178,1.6964841113487878
all,persistence,future/0.75ps/motion_odd,1.9977761324908998,90,1.8163893381423422,2.199756935454077
all,persistence,future/3ps/bond_order,0.11274550919317537,90,0.09554256545741939,0.1307750583709114
all,persistence,future/3ps/instantaneous_TDA_H0,0.30249791435069506,90,0.279480474235283,0.3344642046197421
all,persistence,future/3ps/instantaneous_TDA_H1,0.1702080874807305,90,0.15744383621339997,0.18424407229862277
all,persistence,future/3ps/instantaneous_TDA_H2,0.1361038439389732,90,0.12738877434490456,0.147424187409795
all,persistence,future/3ps/motion_even,1.5562250084347196,90,1.4667364479270246,1.668666335393985
all,persistence,future/3ps/motion_odd,1.961984920501709,90,1.7958684717946582,2.1244077724715074
all,persistence,future/9ps/bond_order,0.1785478863451216,90,0.13749761093045687,0.22891732287386224
all,persistence,future/9ps/instantaneous_TDA_H0,0.326361677961217,90,0.2957760009397235,0.359176192805171
all,persistence,future/9ps/instantaneous_TDA_H1,0.20903739945756064,90,0.18510649849557215,0.23804802451075777
all,persistence,future/9ps/instantaneous_TDA_H2,0.1795081150200632,90,0.15846272378332085,0.20612345738336443
all,persistence,future/9ps/motion_even,1.5970673786269294,90,1.475378345284197,1.7293158291776973
all,persistence,future/9ps/motion_odd,1.9725621004899343,90,1.8265725622408922,2.1258243170215025
at_risk,encoder,hazard/bin0/brier,0.036656176921974676,59,0.011350409832756654,0.07129018951053138
at_risk,encoder,hazard/bin1/brier,0.0835482255710211,59,0.025204730374215136,0.15291585379593658
at_risk,encoder,hazard/bin2/brier,0.10729340845505904,59,0.04331507031857371,0.17805625697596686
at_risk,encoder,hazard/nll,0.5860492067285261,59,0.23026975847768866,1.0248162771251557
low_order,encoder,delta/0.75ps/bond_order,0.15317940009491784,35,0.13967559572309257,0.1699408873436706
low_order,encoder,delta/0.75ps/instantaneous_TDA_H0,0.2963761972529548,35,0.2545187728426286,0.3364710336817162
low_order,encoder,delta/0.75ps/instantaneous_TDA_H1,0.16719604645456587,35,0.15071395044880254,0.18507667978427242
low_order,encoder,delta/0.75ps/instantaneous_TDA_H2,0.1395619341305324,35,0.12665162382381304,0.15210662793368102
low_order,encoder,delta/0.75ps/motion_even,1.370792371886117,35,1.1684829726815225,1.5613151089634212
low_order,encoder,delta/0.75ps/motion_odd,1.793396933589663,35,1.5142071444647653,2.109876395953553
low_order,encoder,delta/3ps/bond_order,0.1945539993899209,35,0.17450468055903912,0.21688410781856093
low_order,encoder,delta/3ps/instantaneous_TDA_H0,0.3176791704126767,35,0.2744959361585123,0.36608273082013637
low_order,encoder,delta/3ps/instantaneous_TDA_H1,0.19360086492129736,35,0.1730177934414574,0.2147093692581568
low_order,encoder,delta/3ps/instantaneous_TDA_H2,0.15405201305236135,35,0.14163446648312467,0.1660002647020987
low_order,encoder,delta/3ps/motion_even,1.4038290364401682,35,1.2328574751530375,1.5741774630120822
low_order,encoder,delta/3ps/motion_odd,1.81092283981187,35,1.4914691331131118,2.1005482883538518
low_order,encoder,delta/9ps/bond_order,0.34152253206287114,35,0.25073638785630464,0.4616330613249114
low_order,encoder,delta/9ps/instantaneous_TDA_H0,0.37164997117859977,35,0.297823005510228,0.45701267063617707
low_order,encoder,delta/9ps/instantaneous_TDA_H1,0.281931906832116,35,0.21718078564852478,0.3597925954897489
low_order,encoder,delta/9ps/instantaneous_TDA_H2,0.2304894140788487,35,0.18443242403013366,0.2866201825227056
low_order,encoder,delta/9ps/motion_even,1.5021300200905119,35,1.3157768691011837,1.7393075278401373
low_order,encoder,delta/9ps/motion_odd,1.8409131416252682,35,1.5838869389465877,2.1134989118363174
low_order,encoder,future/0.75ps/bond_order,0.29930861336844305,35,0.25988142746899806,0.3573335569884096
low_order,encoder,future/0.75ps/instantaneous_TDA_H0,0.3554224976471492,35,0.28324681523655143,0.44201077706047465
low_order,encoder,future/0.75ps/instantaneous_TDA_H1,0.33625606830630983,35,0.2732244519516826,0.42202964759298733
low_order,encoder,future/0.75ps/instantaneous_TDA_H2,0.29415932638304576,35,0.24761021150542156,0.3531256911797182
low_order,encoder,future/0.75ps/motion_even,0.997814290864127,35,0.9128919367279326,1.0740620737416404
low_order,encoder,future/0.75ps/motion_odd,0.8234790120806013,35,0.7108542268191065,0.9580899052747658
low_order,encoder,future/3ps/bond_order,0.3212295651435852,35,0.27324734552630353,0.373907886115568
low_order,encoder,future/3ps/instantaneous_TDA_H0,0.34022887375737937,35,0.27352004685173076,0.39730270729799355
low_order,encoder,future/3ps/instantaneous_TDA_H1,0.326058862890516,35,0.2674842188294445,0.3950220196694136
low_order,encoder,future/3ps/instantaneous_TDA_H2,0.27767334899732043,35,0.23246594559401274,0.3216859892915402
low_order,encoder,future/3ps/motion_even,1.0483406313828059,35,0.9496338800021581,1.1525826948242528
low_order,encoder,future/3ps/motion_odd,0.9666444454874311,35,0.8385361529460975,1.1077367374300957
low_order,encoder,future/9ps/bond_order,0.3978621576513563,35,0.3223866223650319,0.47850628710218834
low_order,encoder,future/9ps/instantaneous_TDA_H0,0.388004906475544,35,0.33021625614059824,0.45384424753487107
low_order,encoder,future/9ps/instantaneous_TDA_H1,0.329069880928312,35,0.2874192231467792,0.3756268075960023
low_order,encoder,future/9ps/instantaneous_TDA_H2,0.2742744056241853,35,0.23271353424127614,0.31786389310445107
low_order,encoder,future/9ps/motion_even,1.1492824860981532,35,1.0464945500237601,1.2569133418798446
low_order,encoder,future/9ps/motion_odd,1.043819453886577,35,0.9076230220496654,1.2122291810171943
low_order,encoder,path/0.75ps/mean_std_qbar6,0.10728386629905019,35,0.08297657010611147,0.13036746435199995
low_order,encoder,path/3ps/mean_std_qbar6,0.10964079850486347,35,0.09078954255474465,0.13187532282301356
low_order,encoder,path/9ps/mean_std_qbar6,0.1208383179136685,35,0.09903292874273445,0.14500769691275694
low_order,encoder,present/bond_order,0.2995461263826915,35,0.26004191481641364,0.3530516342499426
low_order,encoder,present/instantaneous_TDA_H0,0.3489580897348268,35,0.2905940419275846,0.4116066984512976
low_order,encoder,present/instantaneous_TDA_H1,0.3071296017084803,35,0.25244420904666187,0.36587541862257883
low_order,encoder,present/instantaneous_TDA_H2,0.2832778283527919,35,0.23171238832175733,0.3381247148449931
low_order,encoder,present/motion_even,1.0520606747695378,35,0.9203415447473525,1.2116360212010997
low_order,encoder,present/motion_odd,0.8711070622982723,35,0.7383450440530266,1.0170053857777799
low_order,encoder,temporal/0.75ps/covariance_trace,4.228889195358052,34,3.5684599362752016,4.892428475443054
low_order,encoder,temporal/0.75ps/increment_p95,4.551869808750993,34,3.994450300103601,5.079542088951257
low_order,encoder,temporal/0.75ps/increment_rms,2.8537477570421554,34,2.5451899452244535,3.1532167986911883
low_order,encoder,temporal/0.75ps/normalized_rms_jump,1.0118230297009905,34,0.948527123460862,1.0670606535514975
low_order,persistence,future/0.75ps/bond_order,0.14217678851314952,35,0.12792927524341005,0.15426998650921242
low_order,persistence,future/0.75ps/instantaneous_TDA_H0,0.2869459290589605,35,0.24380487882665225,0.32627134826034304
low_order,persistence,future/0.75ps/instantaneous_TDA_H1,0.16232499182224275,35,0.14606106728847537,0.17976056942982332
low_order,persistence,future/0.75ps/instantaneous_TDA_H2,0.13181208031518118,35,0.12016844605760915,0.14334842536598444
low_order,persistence,future/0.75ps/motion_even,1.3534629515239172,35,1.1724487830911363,1.5696262185488428
low_order,persistence,future/0.75ps/motion_odd,1.7613338206495557,35,1.4905839055137975,2.046726604082754
low_order,persistence,future/3ps/bond_order,0.18304986719574248,35,0.16370565043496235,0.20486781105931315
low_order,persistence,future/3ps/instantaneous_TDA_H0,0.3142483649509294,35,0.27257036148969616,0.3656081849709153
low_order,persistence,future/3ps/instantaneous_TDA_H1,0.1883091300725937,35,0.16692891591893774,0.20864403547985214
low_order,persistence,future/3ps/instantaneous_TDA_H2,0.14683074429631232,35,0.13315499339784895,0.15997432742267848
low_order,persistence,future/3ps/motion_even,1.3805217274597712,35,1.211668818699462,1.5668699036964349
low_order,persistence,future/3ps/motion_odd,1.8026517655168262,35,1.5314456361106463,2.0591994695152556
low_order,persistence,future/9ps/bond_order,0.3273747642125402,35,0.22889153493834394,0.45194569560566117
low_order,persistence,future/9ps/instantaneous_TDA_H0,0.37173791293587005,35,0.2842081684619189,0.4942071586474776
