population,method,metric,value,sources,ci95_low,ci95_high
all,encoder,delta/0.75ps/bond_order,0.09025213677022192,90,0.0797749789012596,0.10199221938848492
all,encoder,delta/0.75ps/instantaneous_TDA_H0,0.28448797273967,90,0.2620546247375508,0.3062419900981089
all,encoder,delta/0.75ps/instantaneous_TDA_H1,0.15862744135989082,90,0.14831535957132777,0.1684013672462768
all,encoder,delta/0.75ps/instantaneous_TDA_H2,0.1288595231042968,90,0.1205837012661828,0.13776025641916526
all,encoder,delta/0.75ps/motion_even,1.5614955723285675,90,1.4324079195658366,1.7002733136216799
all,encoder,delta/0.75ps/motion_odd,1.997522070672777,90,1.827704627050294,2.1833970746894678
all,encoder,delta/3ps/bond_order,0.11415201887074444,90,0.0966778209251869,0.13282196669942803
all,encoder,delta/3ps/instantaneous_TDA_H0,0.2999179523852136,90,0.2744434358448618,0.326928299713052
all,encoder,delta/3ps/instantaneous_TDA_H1,0.16981423770387968,90,0.15605942223841945,0.1849486853637629
all,encoder,delta/3ps/instantaneous_TDA_H2,0.1369029084013568,90,0.12750475519854162,0.14730997970534696
all,encoder,delta/3ps/motion_even,1.559268581867218,90,1.439644388606151,1.6627528499729103
all,encoder,delta/3ps/motion_odd,1.9623547938134935,90,1.81370240105523,2.117658874872658
all,encoder,delta/9ps/bond_order,0.17606702823605802,90,0.13977110319615652,0.22104797129933204
all,encoder,delta/9ps/instantaneous_TDA_H0,0.3226081962386767,90,0.2912343203524749,0.35304456994351413
all,encoder,delta/9ps/instantaneous_TDA_H1,0.20681288656261232,90,0.18537419577646588,0.23305846811996564
all,encoder,delta/9ps/instantaneous_TDA_H2,0.1793446693983343,90,0.15978105426041617,0.20058670371149975
all,encoder,delta/9ps/motion_even,1.6021621618005963,90,1.4782874381873343,1.717557524740696
all,encoder,delta/9ps/motion_odd,1.9710548566447363,90,1.8071671743028694,2.136277960025602
all,encoder,future/0.75ps/bond_order,0.3026473705139425,90,0.2768494059580068,0.32896106168006856
all,encoder,future/0.75ps/instantaneous_TDA_H0,0.1996208065085941,90,0.18378602896299628,0.21794303727025788
all,encoder,future/0.75ps/instantaneous_TDA_H1,0.14166590236127377,90,0.12908521336813766,0.15817724424517812
all,encoder,future/0.75ps/instantaneous_TDA_H2,0.13173958075543243,90,0.11984779744512505,0.14368820793616274
all,encoder,future/0.75ps/motion_even,0.9591233058108224,90,0.8898523144010041,1.036894621517923
all,encoder,future/0.75ps/motion_odd,1.005190012190077,90,0.924895946342084,1.1030745723512436
all,encoder,future/3ps/bond_order,0.31643101564711995,90,0.2927070109484096,0.34328653005055254
all,encoder,future/3ps/instantaneous_TDA_H0,0.21449099704623223,90,0.19522689457982778,0.23402231853248343
all,encoder,future/3ps/instantaneous_TDA_H1,0.15174013678398396,90,0.13945800012391474,0.1677666118937648
all,encoder,future/3ps/instantaneous_TDA_H2,0.1341316264950567,90,0.12348847935700581,0.14708511983768807
all,encoder,future/3ps/motion_even,0.941885518696573,90,0.8782689690175983,1.0146708461559482
all,encoder,future/3ps/motion_odd,0.9976876437664032,90,0.9334466701580418,1.0701856033255657
all,encoder,future/9ps/bond_order,0.3571743153035641,90,0.3220615694651173,0.39695809644543456
all,encoder,future/9ps/instantaneous_TDA_H0,0.24734785813424323,90,0.22048292173900538,0.27321305761734643
all,encoder,future/9ps/instantaneous_TDA_H1,0.18971087324122587,90,0.17124163381755353,0.20934284918941556
all,encoder,future/9ps/instantaneous_TDA_H2,0.17424612848295107,90,0.15340938600090642,0.195221258279764
all,encoder,future/9ps/motion_even,1.0038364301125209,90,0.9280464534875419,1.092412854383389
all,encoder,future/9ps/motion_odd,1.0400619387626648,90,0.9588166661808888,1.1244603286435206
all,encoder,path/0.75ps/mean_std_qbar6,0.024628359314778612,90,0.01937754996644799,0.030455907867613447
all,encoder,path/3ps/mean_std_qbar6,0.025942233041860163,90,0.020463076408034086,0.03298010307027855
all,encoder,path/9ps/mean_std_qbar6,0.03236055116220895,90,0.024851052411573215,0.0405955012617374
all,encoder,present/bond_order,0.28566352137260964,90,0.2629410964022908,0.31291377631533474
all,encoder,present/instantaneous_TDA_H0,0.1755470160808828,90,0.16021786243137387,0.1900326922473808
all,encoder,present/instantaneous_TDA_H1,0.12347393371164798,90,0.111628857039743,0.13651668710013232
all,encoder,present/instantaneous_TDA_H2,0.1089032353212436,90,0.09885436443922421,0.11988317105919122
all,encoder,present/motion_even,0.9787556711170409,90,0.9101378801547819,1.0593477555612723
all,encoder,present/motion_odd,0.9752116428481208,90,0.8912425142857763,1.0593091877715455
all,encoder,temporal/0.75ps/covariance_trace,6.490767565204037,90,5.127047091254758,7.905950186645819
all,encoder,temporal/0.75ps/increment_p95,2.266968461937374,90,2.087023188416328,2.47224869112422
all,encoder,temporal/0.75ps/increment_rms,1.4530720896191067,90,1.336437031014098,1.5811959856251876
all,encoder,temporal/0.75ps/normalized_rms_jump,0.5620438305976779,90,0.5013662267731394,0.6239383477789485
all,persistence,future/0.75ps/bond_order,0.08738400580154525,90,0.07731442661490291,0.09855811608748302
all,persistence,future/0.75ps/instantaneous_TDA_H0,0.28362490443719757,90,0.2604639004502032,0.30634100953944854
all,persistence,future/0.75ps/instantaneous_TDA_H1,0.1580785815914472,90,0.1481302961251802,0.16922265313565732
all,persistence,future/0.75ps/instantaneous_TDA_H2,0.12653978591163953,90,0.11836283589816757,0.13515839259864554
all,persistence,future/0.75ps/motion_even,1.5564421349101596,90,1.4160335669252608,1.6797017064690591
all,persistence,future/0.75ps/motion_odd,1.9977761324908998,90,1.8420054196649127,2.182716680218776
all,persistence,future/3ps/bond_order,0.11274550919317537,90,0.09486517896772259,0.13076401450153854
all,persistence,future/3ps/instantaneous_TDA_H0,0.30249791435069506,90,0.27950736559306577,0.32830909849247997
all,persistence,future/3ps/instantaneous_TDA_H1,0.1702080874807305,90,0.1575203862082627,0.1832099958240158
all,persistence,future/3ps/instantaneous_TDA_H2,0.1361038439389732,90,0.12665962883478238,0.14664079473974803
all,persistence,future/3ps/motion_even,1.5562250084347196,90,1.4472436145279142,1.66457819475068
all,persistence,future/3ps/motion_odd,1.961984920501709,90,1.7953823633491994,2.107483300699128
all,persistence,future/9ps/bond_order,0.1785478863451216,90,0.13968746775709506,0.22512711675734154
all,persistence,future/9ps/instantaneous_TDA_H0,0.326361677961217,90,0.2939992118978666,0.3587820872788628
all,persistence,future/9ps/instantaneous_TDA_H1,0.20903739945756064,90,0.18515191629115077,0.24111508025891248
all,persistence,future/9ps/instantaneous_TDA_H2,0.1795081150200632,90,0.15598433726156752,0.20333345283857648
all,persistence,future/9ps/motion_even,1.5970673786269294,90,1.4752257496780818,1.724765012545718
all,persistence,future/9ps/motion_odd,1.9725621004899343,90,1.8070464082724518,2.1307571184469594
at_risk,encoder,hazard/bin0/brier,0.03226965226091125,59,0.013044529587544979,0.059109484412335954
at_risk,encoder,hazard/bin1/brier,0.05458312194445466,59,0.03147391495408982,0.08696510668536692
at_risk,encoder,hazard/bin2/brier,0.06363521217106366,59,0.041187976646440076,0.09092439281954483
at_risk,encoder,hazard/nll,0.31666503347539326,59,0.19113300914569833,0.4419687471071838
low_order,encoder,delta/0.75ps/bond_order,0.14703035173671586,35,0.13284960627289755,0.16187601377123167
low_order,encoder,delta/0.75ps/instantaneous_TDA_H0,0.28799443138497216,35,0.24413771074797427,0.32616505795823675
low_order,encoder,delta/0.75ps/instantaneous_TDA_H1,0.1640087542789323,35,0.14755908146500588,0.17948596335947511
low_order,encoder,delta/0.75ps/instantaneous_TDA_H2,0.13777866342238018,35,0.12586584937359607,0.1510234361993415
low_order,encoder,delta/0.75ps/motion_even,1.3623419625418527,35,1.1528770813771656,1.5687582122428076
low_order,encoder,delta/0.75ps/motion_odd,1.76481249162129,35,1.5116188774790082,2.050121442845889
low_order,encoder,delta/3ps/bond_order,0.18531105667352676,35,0.16695023336580822,0.20588113963071786
low_order,encoder,delta/3ps/instantaneous_TDA_H0,0.31004394058670315,35,0.2721197719818779,0.35617534826908787
low_order,encoder,delta/3ps/instantaneous_TDA_H1,0.18940953548465456,35,0.16884427513927222,0.21182917860469647
low_order,encoder,delta/3ps/instantaneous_TDA_H2,0.151133986136743,35,0.1365572971398277,0.1638560570457152
low_order,encoder,delta/3ps/motion_even,1.3835898986884525,35,1.2002222896899495,1.5754627015335219
low_order,encoder,delta/3ps/motion_odd,1.8087801439421518,35,1.5323888183065824,2.0977545931509565
low_order,encoder,delta/9ps/bond_order,0.3097045349223273,35,0.23333516968148096,0.39502741516700807
low_order,encoder,delta/9ps/instantaneous_TDA_H0,0.3584908928189959,35,0.28000286450343476,0.4590046252948897
low_order,encoder,delta/9ps/instantaneous_TDA_H1,0.26851942624364583,35,0.21490130235574076,0.33307054714432777
