source_id,population,method,metric,value,samples
860,all,encoder,present/bond_order,1.1996150016784668,12
861,all,encoder,present/bond_order,0.7535873055458069,12
860,all,encoder,future/0.75ps/bond_order,1.2945626974105835,12
861,all,encoder,future/0.75ps/bond_order,0.6640511751174927,12
860,all,persistence,future/0.75ps/bond_order,0.08227250725030899,12
861,all,persistence,future/0.75ps/bond_order,0.13606156408786774,12
860,all,encoder,delta/0.75ps/bond_order,0.08965346962213516,12
861,all,encoder,delta/0.75ps/bond_order,0.1345822662115097,12
860,all,encoder,future/3ps/bond_order,1.2702745199203491,12
861,all,encoder,future/3ps/bond_order,0.7734968662261963,12
860,all,persistence,future/3ps/bond_order,0.05768692493438721,12
861,all,persistence,future/3ps/bond_order,0.1713465303182602,12
860,all,encoder,delta/3ps/bond_order,0.05891013517975807,12
861,all,encoder,delta/3ps/bond_order,0.1687181442975998,12
860,all,encoder,future/9ps/bond_order,1.3113161325454712,12
861,all,encoder,future/9ps/bond_order,0.7888395190238953,12
860,all,persistence,future/9ps/bond_order,0.07874222099781036,12
861,all,persistence,future/9ps/bond_order,0.25968870520591736,12
860,all,encoder,delta/9ps/bond_order,0.08685921877622604,12
861,all,encoder,delta/9ps/bond_order,0.255823016166687,12
860,all,encoder,present/instantaneous_TDA_H0,1.027417540550232,12
861,all,encoder,present/instantaneous_TDA_H0,1.0579086542129517,12
860,all,encoder,future/0.75ps/instantaneous_TDA_H0,1.1729573011398315,12
861,all,encoder,future/0.75ps/instantaneous_TDA_H0,1.0333133935928345,12
860,all,persistence,future/0.75ps/instantaneous_TDA_H0,0.2483241707086563,12
861,all,persistence,future/0.75ps/instantaneous_TDA_H0,0.3428742587566376,12
860,all,encoder,delta/0.75ps/instantaneous_TDA_H0,0.25231286883354187,12
861,all,encoder,delta/0.75ps/instantaneous_TDA_H0,0.34653493762016296,12
860,all,encoder,future/3ps/instantaneous_TDA_H0,1.1817023754119873,12
861,all,encoder,future/3ps/instantaneous_TDA_H0,0.9252063632011414,12
860,all,persistence,future/3ps/instantaneous_TDA_H0,0.2445259839296341,12
861,all,persistence,future/3ps/instantaneous_TDA_H0,0.2021111100912094,12
860,all,encoder,delta/3ps/instantaneous_TDA_H0,0.254681259393692,12
861,all,encoder,delta/3ps/instantaneous_TDA_H0,0.20816637575626373,12
860,all,encoder,future/9ps/instantaneous_TDA_H0,1.074792504310608,12
861,all,encoder,future/9ps/instantaneous_TDA_H0,0.6108151078224182,12
860,all,persistence,future/9ps/instantaneous_TDA_H0,0.39034152030944824,12
861,all,persistence,future/9ps/instantaneous_TDA_H0,0.226069375872612,12
