metric,value
width16/batch2/reference.width,16
width16/batch2/reference.batch_size,2
width16/batch2/reference.step_seconds,0.1397451221710071
width16/batch2/reference.examples_per_second,14.311769662719145
width16/batch2/reference.evaluation_examples_per_second,21.510967326974786
width16/batch2/reference.peak_allocated_GiB,1.6255578994750977
width16/batch2/reference.peak_reserved_GiB,1.845703125
width16/batch2/reference.output_max_abs,0.0
width16/batch2/reference.gradient_relative_l2,0.0
width16/batch2/packed_host.width,16
width16/batch2/packed_host.batch_size,2
width16/batch2/packed_host.step_seconds,0.10360713698901236
width16/batch2/packed_host.examples_per_second,19.303689476643893
width16/batch2/packed_host.evaluation_examples_per_second,52.46625628715754
width16/batch2/packed_host.peak_allocated_GiB,2.102297782897949
width16/batch2/packed_host.peak_reserved_GiB,2.623046875
width16/batch2/packed_host.output_max_abs,5.960464477539062e-07
width16/batch2/packed_host.gradient_relative_l2,4.982350105819933e-07
width16/batch2/packed_device.width,16
width16/batch2/packed_device.batch_size,2
width16/batch2/packed_device.step_seconds,0.09104575536912307
width16/batch2/packed_device.examples_per_second,21.966976844680808
width16/batch2/packed_device.evaluation_examples_per_second,86.08021688264516
width16/batch2/packed_device.peak_allocated_GiB,5.956320762634277
width16/batch2/packed_device.peak_reserved_GiB,6.552734375
width16/batch2/packed_device.output_max_abs,5.960464477539062e-07
width16/batch2/packed_device.gradient_relative_l2,5.40599387477414e-07
width16/batch8/reference.width,16
width16/batch8/reference.batch_size,8
width16/batch8/reference.step_seconds,0.5464503853872884
width16/batch8/reference.examples_per_second,14.639938435270974
width16/batch8/reference.evaluation_examples_per_second,24.624684521837118
width16/batch8/reference.peak_allocated_GiB,5.388550281524658
width16/batch8/reference.peak_reserved_GiB,5.66015625
width16/batch8/reference.output_max_abs,0.0
width16/batch8/reference.gradient_relative_l2,0.0
width16/batch8/packed_host.width,16
width16/batch8/packed_host.batch_size,8
width16/batch8/packed_host.step_seconds,0.28893186361528933
width16/batch8/packed_host.examples_per_second,27.68818883420882
width16/batch8/packed_host.evaluation_examples_per_second,102.35712204709321
width16/batch8/packed_host.peak_allocated_GiB,8.68434762954712
width16/batch8/packed_host.peak_reserved_GiB,10.751953125
width16/batch8/packed_host.output_max_abs,7.152557373046875e-07
width16/batch8/packed_host.gradient_relative_l2,2.7362409582565306e-07
width16/batch8/packed_device.width,16
width16/batch8/packed_device.batch_size,8
width16/batch8/packed_device.step_seconds,0.2656100962194614
width16/batch8/packed_device.examples_per_second,30.1193370051339
width16/batch8/packed_device.evaluation_examples_per_second,100.96455391766169
width16/batch8/packed_device.peak_allocated_GiB,12.541376113891602
width16/batch8/packed_device.peak_reserved_GiB,14.666015625
width16/batch8/packed_device.output_max_abs,4.172325134277344e-07
width16/batch8/packed_device.gradient_relative_l2,2.4600126380391885e-07
width16/batch16/reference.width,16
width16/batch16/reference.batch_size,16
width16/batch16/reference.step_seconds,0.9660368475015275
width16/batch16/reference.examples_per_second,16.56251523053286
width16/batch16/reference.evaluation_examples_per_second,23.937984975761566
width16/batch16/reference.peak_allocated_GiB,10.093311786651611
width16/batch16/reference.peak_reserved_GiB,10.322265625
width16/batch16/reference.output_max_abs,0.0
width16/batch16/reference.gradient_relative_l2,0.0
width16/batch16/packed_host.width,16
width16/batch16/packed_host.batch_size,16
