source_id,population,method,metric,value,samples
860,all,encoder,present/bond_order,1.2649072408676147,12
861,all,encoder,present/bond_order,0.7249595522880554,12
860,all,encoder,future/0.75ps/bond_order,1.1767053604125977,12
861,all,encoder,future/0.75ps/bond_order,0.8106537461280823,12
860,all,persistence,future/0.75ps/bond_order,0.08227250725030899,12
861,all,persistence,future/0.75ps/bond_order,0.13606156408786774,12
860,all,encoder,delta/0.75ps/bond_order,0.09484502673149109,12
861,all,encoder,delta/0.75ps/bond_order,0.16163811087608337,12
860,all,encoder,future/3ps/bond_order,1.1267756223678589,12
861,all,encoder,future/3ps/bond_order,0.9697189927101135,12
860,all,persistence,future/3ps/bond_order,0.05768692493438721,12
861,all,persistence,future/3ps/bond_order,0.1713465303182602,12
860,all,encoder,delta/3ps/bond_order,0.10110215097665787,12
861,all,encoder,delta/3ps/bond_order,0.22450463473796844,12
860,all,encoder,future/9ps/bond_order,1.142224907875061,12
861,all,encoder,future/9ps/bond_order,1.2181085348129272,12
860,all,persistence,future/9ps/bond_order,0.07874222099781036,12
861,all,persistence,future/9ps/bond_order,0.25968870520591736,12
860,all,encoder,delta/9ps/bond_order,0.20303018391132355,12
861,all,encoder,delta/9ps/bond_order,0.39010247588157654,12
860,all,encoder,present/instantaneous_TDA_H0,1.0023553371429443,12
861,all,encoder,present/instantaneous_TDA_H0,1.0968135595321655,12
860,all,encoder,future/0.75ps/instantaneous_TDA_H0,1.0810197591781616,12
861,all,encoder,future/0.75ps/instantaneous_TDA_H0,1.1528902053833008,12
860,all,persistence,future/0.75ps/instantaneous_TDA_H0,0.2483241707086563,12
861,all,persistence,future/0.75ps/instantaneous_TDA_H0,0.3428742587566376,12
860,all,encoder,delta/0.75ps/instantaneous_TDA_H0,0.2568223774433136,12
861,all,encoder,delta/0.75ps/instantaneous_TDA_H0,0.3607945740222931,12
860,all,encoder,future/3ps/instantaneous_TDA_H0,1.0890496969223022,12
861,all,encoder,future/3ps/instantaneous_TDA_H0,1.041253924369812,12
860,all,persistence,future/3ps/instantaneous_TDA_H0,0.2445259839296341,12
861,all,persistence,future/3ps/instantaneous_TDA_H0,0.2021111100912094,12
860,all,encoder,delta/3ps/instantaneous_TDA_H0,0.26300278306007385,12
861,all,encoder,delta/3ps/instantaneous_TDA_H0,0.2436327189207077,12
860,all,encoder,future/9ps/instantaneous_TDA_H0,1.0654443502426147,12
861,all,encoder,future/9ps/instantaneous_TDA_H0,0.7571251392364502,12
860,all,persistence,future/9ps/instantaneous_TDA_H0,0.39034152030944824,12
861,all,persistence,future/9ps/instantaneous_TDA_H0,0.226069375872612,12
860,all,encoder,delta/9ps/instantaneous_TDA_H0,0.6182532906532288,12
861,all,encoder,delta/9ps/instantaneous_TDA_H0,0.45271599292755127,12
860,all,encoder,present/instantaneous_TDA_H1,0.9961814284324646,12
861,all,encoder,present/instantaneous_TDA_H1,1.0813689231872559,12
860,all,encoder,future/0.75ps/instantaneous_TDA_H1,1.1136445999145508,12
861,all,encoder,future/0.75ps/instantaneous_TDA_H1,1.0204811096191406,12
860,all,persistence,future/0.75ps/instantaneous_TDA_H1,0.137713223695755,12
861,all,persistence,future/0.75ps/instantaneous_TDA_H1,0.13117924332618713,12
860,all,encoder,delta/0.75ps/instantaneous_TDA_H1,0.15633277595043182,12
861,all,encoder,delta/0.75ps/instantaneous_TDA_H1,0.14893563091754913,12
860,all,encoder,future/3ps/instantaneous_TDA_H1,1.161209225654602,12
861,all,encoder,future/3ps/instantaneous_TDA_H1,1.0231112241744995,12
860,all,persistence,future/3ps/instantaneous_TDA_H1,0.11247686296701431,12
861,all,persistence,future/3ps/instantaneous_TDA_H1,0.2500666379928589,12
860,all,encoder,delta/3ps/instantaneous_TDA_H1,0.14409558475017548,12
861,all,encoder,delta/3ps/instantaneous_TDA_H1,0.27750924229621887,12
860,all,encoder,future/9ps/instantaneous_TDA_H1,1.3324393033981323,12
861,all,encoder,future/9ps/instantaneous_TDA_H1,0.717430591583252,12
860,all,persistence,future/9ps/instantaneous_TDA_H1,0.10056644678115845,12
861,all,persistence,future/9ps/instantaneous_TDA_H1,0.24275153875350952,12
860,all,encoder,delta/9ps/instantaneous_TDA_H1,0.2195490151643753,12
861,all,encoder,delta/9ps/instantaneous_TDA_H1,0.38912689685821533,12
860,all,encoder,present/instantaneous_TDA_H2,0.9572238326072693,12
861,all,encoder,present/instantaneous_TDA_H2,1.0693466663360596,12
860,all,encoder,future/0.75ps/instantaneous_TDA_H2,1.0662232637405396,12
861,all,encoder,future/0.75ps/instantaneous_TDA_H2,0.9904162287712097,12
860,all,persistence,future/0.75ps/instantaneous_TDA_H2,0.06946464627981186,12
861,all,persistence,future/0.75ps/instantaneous_TDA_H2,0.10962886363267899,12
860,all,encoder,delta/0.75ps/instantaneous_TDA_H2,0.08693799376487732,12
861,all,encoder,delta/0.75ps/instantaneous_TDA_H2,0.12867718935012817,12
860,all,encoder,future/3ps/instantaneous_TDA_H2,1.1351739168167114,12
861,all,encoder,future/3ps/instantaneous_TDA_H2,1.012029767036438,12
860,all,persistence,future/3ps/instantaneous_TDA_H2,0.08969441801309586,12
861,all,persistence,future/3ps/instantaneous_TDA_H2,0.17976708710193634,12
860,all,encoder,delta/3ps/instantaneous_TDA_H2,0.11758514493703842,12
861,all,encoder,delta/3ps/instantaneous_TDA_H2,0.21044622361660004,12
860,all,encoder,future/9ps/instantaneous_TDA_H2,1.1820852756500244,12
861,all,encoder,future/9ps/instantaneous_TDA_H2,0.9253984093666077,12
860,all,persistence,future/9ps/instantaneous_TDA_H2,0.08426070958375931,12
861,all,persistence,future/9ps/instantaneous_TDA_H2,0.16877372562885284,12
860,all,encoder,delta/9ps/instantaneous_TDA_H2,0.19313792884349823,12
861,all,encoder,delta/9ps/instantaneous_TDA_H2,0.2704735994338989,12
860,all,encoder,present/motion_even,0.5901740193367004,12
861,all,encoder,present/motion_even,0.9357607960700989,12
860,all,encoder,future/0.75ps/motion_even,1.1320313215255737,12
861,all,encoder,future/0.75ps/motion_even,1.0617179870605469,12
860,all,persistence,future/0.75ps/motion_even,1.8976244926452637,12
861,all,persistence,future/0.75ps/motion_even,1.4577542543411255,12
860,all,encoder,delta/0.75ps/motion_even,1.9367856979370117,12
861,all,encoder,delta/0.75ps/motion_even,1.4884098768234253,12
860,all,encoder,future/3ps/motion_even,1.2695289850234985,12
861,all,encoder,future/3ps/motion_even,1.150778889656067,12
860,all,persistence,future/3ps/motion_even,1.8739227056503296,12
861,all,persistence,future/3ps/motion_even,2.1267240047454834,12
860,all,encoder,delta/3ps/motion_even,1.9274080991744995,12
861,all,encoder,delta/3ps/motion_even,2.1972568035125732,12
860,all,encoder,future/9ps/motion_even,1.0133494138717651,12
861,all,encoder,future/9ps/motion_even,1.1224526166915894,12
860,all,persistence,future/9ps/motion_even,1.8884997367858887,12
861,all,persistence,future/9ps/motion_even,1.929638385772705,12
860,all,encoder,delta/9ps/motion_even,2.0419552326202393,12
861,all,encoder,delta/9ps/motion_even,2.163362979888916,12
860,all,encoder,present/motion_odd,1.16312837600708,12
861,all,encoder,present/motion_odd,0.7180600166320801,12
860,all,encoder,future/0.75ps/motion_odd,0.9670081734657288,12
861,all,encoder,future/0.75ps/motion_odd,0.9546494483947754,12
860,all,persistence,future/0.75ps/motion_odd,2.923733949661255,12
861,all,persistence,future/0.75ps/motion_odd,1.6014165878295898,12
860,all,encoder,delta/0.75ps/motion_odd,2.9026896953582764,12
861,all,encoder,delta/0.75ps/motion_odd,1.5780938863754272,12
860,all,encoder,future/3ps/motion_odd,1.349107265472412,12
861,all,encoder,future/3ps/motion_odd,0.8869731426239014,12
860,all,persistence,future/3ps/motion_odd,1.9614228010177612,12
861,all,persistence,future/3ps/motion_odd,1.3415521383285522,12
860,all,encoder,delta/3ps/motion_odd,2.0070993900299072,12
861,all,encoder,delta/3ps/motion_odd,1.4414821863174438,12
860,all,encoder,future/9ps/motion_odd,1.2379778623580933,12
861,all,encoder,future/9ps/motion_odd,0.99027019739151,12
860,all,persistence,future/9ps/motion_odd,3.0488369464874268,12
861,all,persistence,future/9ps/motion_odd,1.8574007749557495,12
860,all,encoder,delta/9ps/motion_odd,3.1474177837371826,12
861,all,encoder,delta/9ps/motion_odd,1.8126734495162964,12
860,all,encoder,path/0.75ps/mean_std_qbar6,0.6853330135345459,12
