population,method,metric,value,sources,ci95_low,ci95_high
all,encoder,delta/0.75ps/bond_order,0.13911041617393494,2,0.11567096412181854,0.16254986822605133
all,encoder,delta/0.75ps/instantaneous_TDA_H0,0.30249352008104324,2,0.2455839365720749,0.3594031035900116
all,encoder,delta/0.75ps/instantaneous_TDA_H1,0.14592710137367249,2,0.12823103368282318,0.1636231690645218
all,encoder,delta/0.75ps/instantaneous_TDA_H2,0.12306705862283707,2,0.0990724116563797,0.14706170558929443
all,encoder,delta/0.75ps/motion_even,1.2575219869613647,2,1.1013636589050293,1.4136803150177002
all,encoder,delta/0.75ps/motion_odd,2.6115459203720093,2,1.8043489456176758,3.4187428951263428
all,encoder,delta/1.5ps/bond_order,0.1316675953567028,2,0.07532262057065964,0.18801257014274597
all,encoder,delta/1.5ps/instantaneous_TDA_H0,0.33960647881031036,2,0.3090440332889557,0.37016892433166504
all,encoder,delta/1.5ps/instantaneous_TDA_H1,0.15789538621902466,2,0.13004912436008453,0.18574164807796478
all,encoder,delta/1.5ps/instantaneous_TDA_H2,0.14780272170901299,2,0.10519158095121384,0.19041386246681213
all,encoder,delta/1.5ps/motion_even,1.5238913297653198,2,1.3519320487976074,1.6958506107330322
all,encoder,delta/1.5ps/motion_odd,1.0258577466011047,2,0.845643162727356,1.2060723304748535
all,encoder,delta/3ps/bond_order,0.15818632394075394,2,0.11744548380374908,0.1989271640777588
all,encoder,delta/3ps/instantaneous_TDA_H0,0.2345472127199173,2,0.16140449047088623,0.30768993496894836
all,encoder,delta/3ps/instantaneous_TDA_H1,0.20935750752687454,2,0.156647190451622,0.2620678246021271
all,encoder,delta/3ps/instantaneous_TDA_H2,0.1554732620716095,2,0.12156476080417633,0.18938176333904266
all,encoder,delta/3ps/motion_even,2.506759524345398,2,2.3019003868103027,2.711618661880493
all,encoder,delta/3ps/motion_odd,1.7593393921852112,2,1.621006965637207,1.8976718187332153
all,encoder,future/0.75ps/bond_order,1.0187605619430542,2,0.834500789642334,1.2030203342437744
all,encoder,future/0.75ps/instantaneous_TDA_H0,0.9582284092903137,2,0.724225640296936,1.1922311782836914
all,encoder,future/0.75ps/instantaneous_TDA_H1,1.0203116238117218,2,0.9989057183265686,1.041717529296875
all,encoder,future/0.75ps/instantaneous_TDA_H2,1.0032606720924377,2,0.979535698890686,1.0269856452941895
all,encoder,future/0.75ps/motion_even,0.7022529542446136,2,0.5615581274032593,0.842947781085968
all,encoder,future/0.75ps/motion_odd,0.9652012586593628,2,0.7581593990325928,1.1722431182861328
all,encoder,future/1.5ps/bond_order,0.9845219254493713,2,0.8610767126083374,1.1079671382904053
all,encoder,future/1.5ps/instantaneous_TDA_H0,1.0264511108398438,2,0.8488818407058716,1.204020380973816
all,encoder,future/1.5ps/instantaneous_TDA_H1,1.0107582211494446,2,0.8857740163803101,1.135742425918579
all,encoder,future/1.5ps/instantaneous_TDA_H2,0.9911606013774872,2,0.9229111075401306,1.0594100952148438
all,encoder,future/1.5ps/motion_even,1.2159259915351868,2,1.1236854791641235,1.30816650390625
all,encoder,future/1.5ps/motion_odd,0.7938855588436127,2,0.7256150245666504,0.862156093120575
all,encoder,future/3ps/bond_order,1.0545291304588318,2,0.9660669565200806,1.142991304397583
all,encoder,future/3ps/instantaneous_TDA_H0,1.1138889789581299,2,1.0673482418060303,1.1604297161102295
all,encoder,future/3ps/instantaneous_TDA_H1,1.050287902355194,2,1.042485237121582,1.0580905675888062
all,encoder,future/3ps/instantaneous_TDA_H2,1.015025645494461,2,0.9425354599952698,1.0875158309936523
all,encoder,future/3ps/motion_even,1.4140649437904358,2,1.3326510190963745,1.495478868484497
all,encoder,future/3ps/motion_odd,1.313253104686737,2,0.8912931680679321,1.735213041305542
all,encoder,path/0.75ps/mean_std_qbar6,0.5011000782251358,2,0.3370296061038971,0.6651705503463745
all,encoder,path/1.5ps/mean_std_qbar6,0.51951864361763,2,0.32120782136917114,0.7178294658660889
all,encoder,path/3ps/mean_std_qbar6,0.5429627299308777,2,0.2725524306297302,0.8133730292320251
all,encoder,present/bond_order,1.0400747656822205,2,0.7869081497192383,1.2932413816452026
all,encoder,present/instantaneous_TDA_H0,0.9740735590457916,2,0.958239734172821,0.9899073839187622
all,encoder,present/instantaneous_TDA_H1,0.9958813190460205,2,0.9792472124099731,1.0125154256820679
all,encoder,present/instantaneous_TDA_H2,1.0528440177440643,2,0.9670851826667786,1.13860285282135
all,encoder,present/motion_even,0.7561790347099304,2,0.6614776849746704,0.8508803844451904
all,encoder,present/motion_odd,1.0056572556495667,2,0.9666222333908081,1.0446922779083252
all,encoder,temporal/0.75ps/covariance_trace,3.7202331668595434e-06,2,3.522102133501903e-06,3.918364200217184e-06
all,encoder,temporal/0.75ps/increment_p95,0.00383920962922275,2,0.0034220664179883896,0.004256352840457111
