population,method,metric,value,sources,ci95_low,ci95_high
all,encoder,delta/0.75ps/bond_order,0.14119454845786095,2,0.12072544544935226,0.16166365146636963
all,encoder,delta/0.75ps/instantaneous_TDA_H0,0.29869532585144043,2,0.2424631118774414,0.35492753982543945
all,encoder,delta/0.75ps/instantaneous_TDA_H1,0.14360065758228302,2,0.12706343829631805,0.16013787686824799
all,encoder,delta/0.75ps/instantaneous_TDA_H2,0.12269823625683784,2,0.09865386039018631,0.14674261212348938
all,encoder,delta/0.75ps/motion_even,1.2487573027610779,2,1.0888521671295166,1.4086624383926392
all,encoder,delta/0.75ps/motion_odd,2.609550356864929,2,1.806394338607788,3.4127063751220703
all,encoder,delta/1.5ps/bond_order,0.13169974833726883,2,0.08072800934314728,0.18267148733139038
all,encoder,delta/1.5ps/instantaneous_TDA_H0,0.3410746902227402,2,0.3138520121574402,0.36829736828804016
all,encoder,delta/1.5ps/instantaneous_TDA_H1,0.15431146323680878,2,0.12437516450881958,0.18424776196479797
all,encoder,delta/1.5ps/instantaneous_TDA_H2,0.1466268077492714,2,0.10410647094249725,0.18914714455604553
all,encoder,delta/1.5ps/motion_even,1.518992841243744,2,1.3412954807281494,1.6966902017593384
all,encoder,delta/1.5ps/motion_odd,1.0403022766113281,2,0.882185697555542,1.1984188556671143
all,encoder,delta/3ps/bond_order,0.15251336991786957,2,0.11693432927131653,0.1880924105644226
all,encoder,delta/3ps/instantaneous_TDA_H0,0.22924748808145523,2,0.15190313756465912,0.30659183859825134
all,encoder,delta/3ps/instantaneous_TDA_H1,0.20505045354366302,2,0.15042409300804138,0.25967681407928467
all,encoder,delta/3ps/instantaneous_TDA_H2,0.15303480625152588,2,0.11887402832508087,0.1871955841779709
all,encoder,delta/3ps/motion_even,2.5051647424697876,2,2.2977991104125977,2.7125303745269775
all,encoder,delta/3ps/motion_odd,1.7178232669830322,2,1.5650079250335693,1.8706386089324951
all,encoder,future/0.75ps/bond_order,1.0103201270103455,2,0.7876458168029785,1.2329944372177124
all,encoder,future/0.75ps/instantaneous_TDA_H0,0.9594766795635223,2,0.7653083205223083,1.1536450386047363
all,encoder,future/0.75ps/instantaneous_TDA_H1,1.0181602835655212,2,1.0035244226455688,1.0327961444854736
all,encoder,future/0.75ps/instantaneous_TDA_H2,1.001854032278061,2,0.9744734168052673,1.0292346477508545
all,encoder,future/0.75ps/motion_even,0.7041830122470856,2,0.5667526721954346,0.8416133522987366
all,encoder,future/0.75ps/motion_odd,0.9782691895961761,2,0.7609879374504089,1.1955504417419434
all,encoder,future/1.5ps/bond_order,0.9763277769088745,2,0.8146824836730957,1.1379730701446533
all,encoder,future/1.5ps/instantaneous_TDA_H0,1.0359271168708801,2,0.816811203956604,1.2550430297851562
all,encoder,future/1.5ps/instantaneous_TDA_H1,1.0070374310016632,2,0.8757348656654358,1.1383399963378906
all,encoder,future/1.5ps/instantaneous_TDA_H2,0.9897706508636475,2,0.9163823127746582,1.0631589889526367
all,encoder,future/1.5ps/motion_even,1.2066477537155151,2,1.1205568313598633,1.292738676071167
all,encoder,future/1.5ps/motion_odd,0.8090664148330688,2,0.7371454238891602,0.8809874057769775
all,encoder,future/3ps/bond_order,1.0417359471321106,2,0.9070379734039307,1.1764339208602905
all,encoder,future/3ps/instantaneous_TDA_H0,1.1157944202423096,2,1.1120505332946777,1.1195383071899414
