lag_ps,condition,pairs,parent_lineages,embedding_mse,embedding_mse_over_0p75ps,hot_tda_mse,ptm_disagreement
0.0,same_momenta,8,1,2.674084911835628e-12,7.786917124711406e-12,0.0,0.0
0.0,different_momenta,112,1,2.6635781254225055e-12,7.756321433944853e-12,0.0,0.0
0.3,same_momenta,8,1,0.2848776578903198,0.8295618074263176,0.14660996198654175,0.0
0.3,different_momenta,112,1,0.31234002113342285,0.9095320229106002,0.15984545648097992,0.0
0.6,same_momenta,8,1,0.3547128736972809,1.0329214821577566,0.19118089973926544,0.0
0.6,different_momenta,112,1,0.35280272364616394,1.0273591381656204,0.179200679063797,0.0
1.5,same_momenta,8,1,0.36379897594451904,1.0593801502698805,0.18881170451641083,0.0
1.5,different_momenta,112,1,0.3687686324119568,1.0738517561934409,0.1844853311777115,0.0
3.0,same_momenta,8,1,0.381579726934433,1.1111575765441069,0.18328982591629028,0.0
3.0,different_momenta,112,1,0.3829600214958191,1.1151769849442035,0.1760871410369873,0.0
6.0,same_momenta,8,1,0.3686646521091461,1.073548966256964,0.16874325275421143,0.0
6.0,different_momenta,112,1,0.40348464250564575,1.174944542104503,0.18647411465644836,0.0
9.0,same_momenta,8,1,0.42985838651657104,1.2517447057688844,0.21540822088718414,0.0
9.0,different_momenta,112,1,0.4033506214618683,1.1745542737340997,0.19968120753765106,0.0
12.0,same_momenta,8,1,0.43290749192237854,1.2606236800282449,0.18008926510810852,0.0
12.0,different_momenta,112,1,0.42421555519104004,1.235312819224761,0.17953555285930634,0.0
15.0,same_momenta,8,1,0.4207218587398529,1.2251391988569555,0.18136492371559143,0.0
15.0,different_momenta,112,1,0.4115702509880066,1.198489779159742,0.17114925384521484,0.0
