target,model,source,temperature_K,balanced_mse,skill
hot,training_mean,8,400.0,0.739952104560253,0.0
hot,training_mean,9,400.0,0.8333320571075183,0.0
hot,training_mean,18,450.0,0.9039574817780337,0.0
hot,training_mean,19,450.0,1.1575873315654226,0.0
hot,training_mean,28,510.0,0.9254879526306383,0.0
hot,training_mean,29,510.0,0.8945360665355847,0.0
hot,temperature_mean,8,400.0,0.7287058917532417,0.01519856857991464
hot,temperature_mean,9,400.0,0.9014236993110355,-0.08171009578086097
hot,temperature_mean,18,450.0,0.9860344869454183,-0.0907974178231743
hot,temperature_mean,19,450.0,1.0485297634356654,0.09421109332829081
hot,temperature_mean,28,510.0,0.9034418431243868,0.023821065896737936
hot,temperature_mean,29,510.0,0.8731402854390895,0.02391829898973008
hot,mace,8,400.0,0.01838142300632133,0.9751586313586537
hot,mace,9,400.0,0.017885171120395924,0.9785377617867299
hot,mace,18,450.0,0.018013183824509758,0.9800729744621629
hot,mace,19,450.0,0.01608577822844472,0.9861040477985434
hot,mace,28,510.0,0.021350251569748475,0.9769308163233656
hot,mace,29,510.0,0.019601853573665857,0.9780871288403371
hot,within_context_shuffle,8,400.0,0.15668813955226998,0.7882455653729259
hot,within_context_shuffle,9,400.0,0.16245148182380684,0.8050579232632988
hot,within_context_shuffle,18,450.0,0.16622011309266146,0.8161195449528048
hot,within_context_shuffle,19,450.0,0.16943916318559182,0.8536273172958305
hot,within_context_shuffle,28,510.0,0.1942711819674224,0.7900878326776493
hot,within_context_shuffle,29,510.0,0.1856791380594817,0.792429679466596
hot,global_shuffle,8,400.0,0.7419782183493107,-0.002738168830889176
hot,global_shuffle,9,400.0,0.8610049342576057,-0.03320750343643253
hot,global_shuffle,18,450.0,0.9358252445403797,-0.03525360805650268
hot,global_shuffle,19,450.0,1.1392855298631555,0.015810298889084584
hot,global_shuffle,28,510.0,1.0428536341400034,-0.12681492090281776
hot,global_shuffle,29,510.0,0.928694532577853,-0.03818567782801563
hot,mace_16_per_context,8,400.0,0.021768678011283,0.9705809634473302
hot,mace_16_per_context,9,400.0,0.021185663862740085,0.974577164430377
hot,mace_16_per_context,18,450.0,0.020724757149990475,0.9770733053625199
hot,mace_16_per_context,19,450.0,0.017923937645614254,0.9845161249118237
hot,mace_16_per_context,28,510.0,0.0248692787690445,0.9731284683951258
hot,mace_16_per_context,29,510.0,0.02205842887587516,0.9753409284420421
hot,mace_32_per_context,8,400.0,0.01963847832113228,0.9734597980057057
hot,mace_32_per_context,9,400.0,0.019155934449486937,0.9770128434564526
hot,mace_32_per_context,18,450.0,0.018969114290980988,0.9790154795182736
hot,mace_32_per_context,19,450.0,0.016742610043902015,0.9855366333171073
hot,mace_32_per_context,28,510.0,0.022865811056331647,0.9752932374847916
hot,mace_32_per_context,29,510.0,0.020612406574516226,0.9769574337518383
hot,geometry,8,400.0,0.17067902506024726,0.7693377395531832
hot,geometry,9,400.0,0.1665441450994131,0.8001467198112058
hot,geometry,18,450.0,0.19036895662707365,0.7894049659806691
hot,geometry,19,450.0,0.1707167255464274,0.8525236749822023
hot,geometry,28,510.0,0.19755247754007285,0.7865423564093481
hot,geometry,29,510.0,0.2224416545183621,0.7513329391179854
relaxed,training_mean,8,400.0,0.6658606268831584,0.0
relaxed,training_mean,9,400.0,0.7224138263042948,0.0
relaxed,training_mean,18,450.0,0.7991555115045208,0.0
relaxed,training_mean,19,450.0,1.1090986853352194,0.0
relaxed,training_mean,28,510.0,0.8042521717444403,0.0
relaxed,training_mean,29,510.0,0.8185007308401401,0.0
relaxed,temperature_mean,8,400.0,0.5834929805134624,0.12370103148349898
relaxed,temperature_mean,9,400.0,0.7547926900586832,-0.044820382134754144
relaxed,temperature_mean,18,450.0,0.8993787059839863,-0.12541137868245622
relaxed,temperature_mean,19,450.0,1.0119138935333876,0.08762501758124275
relaxed,temperature_mean,28,510.0,0.8735675337429966,-0.08618610484844536
relaxed,temperature_mean,29,510.0,0.8841983429711336,-0.08026579532013245
relaxed,mace,8,400.0,0.035557898578416035,0.9465985866368766
relaxed,mace,9,400.0,0.033967444512689175,0.9529806278951513
relaxed,mace,18,450.0,0.036525156116509395,0.9542953084966582
relaxed,mace,19,450.0,0.03721753679979567,0.9664434398021607
relaxed,mace,28,510.0,0.0387206242645347,0.9518551200420773
relaxed,mace,29,510.0,0.0344649033213568,0.9578926419699336
relaxed,within_context_shuffle,8,400.0,0.09533748826533717,0.8568206552299023
relaxed,within_context_shuffle,9,400.0,0.10442938835713889,0.8554438127362873
relaxed,within_context_shuffle,18,450.0,0.10838466082776593,0.8643760078389289
relaxed,within_context_shuffle,19,450.0,0.11903949973702203,0.8926700560455151
relaxed,within_context_shuffle,28,510.0,0.11799048317745602,0.8532916822325365
relaxed,within_context_shuffle,29,510.0,0.11305972827346383,0.8618697283783545
relaxed,global_shuffle,8,400.0,0.746636627789203,-0.12131067320221467
relaxed,global_shuffle,9,400.0,0.8374102588995894,-0.15918359866337317
relaxed,global_shuffle,18,450.0,0.8704380479022387,-0.08919732814395376
relaxed,global_shuffle,19,450.0,1.2210133886026282,-0.10090599217830931
relaxed,global_shuffle,28,510.0,0.8771987821295388,-0.09070116680801221
relaxed,global_shuffle,29,510.0,0.9698858084120872,-0.18495411411124785
relaxed,mace_16_per_context,8,400.0,0.03878167907986447,0.9417570621927317
relaxed,mace_16_per_context,9,400.0,0.03790901110996044,0.9475245216389416
relaxed,mace_16_per_context,18,450.0,0.04092968261816555,0.9487838323968889
relaxed,mace_16_per_context,19,450.0,0.03978143098042757,0.9641317481424984
relaxed,mace_16_per_context,28,510.0,0.04371743497891665,0.9456421300248495
relaxed,mace_16_per_context,29,510.0,0.03779630018360509,0.9538225211542456
relaxed,mace_32_per_context,8,400.0,0.036000649594714995,0.945933656171816
relaxed,mace_32_per_context,9,400.0,0.0348630165109363,0.9517409340166043
relaxed,mace_32_per_context,18,450.0,0.037644219034936685,0.9528950016698674
relaxed,mace_32_per_context,19,450.0,0.03835831997852982,0.9654148720166085
