metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.014242081624073066
classification.0.75.brier,0.0024147204706565515
classification.0.75.average_precision,0.038319322998956
classification.0.75.threshold,0.01550379954278469
classification.0.75.recall,0.5740105255403907
classification.0.75.false_positive_rate,0.0398402524707199
classification.0.75.precision,0.034326713528472705
classification.0.75.auroc,0.928986236146449
classification.0.75.f1,0.06477951243856893
classification.0.75.balanced_accuracy,0.7670851365348355
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0014667882123403446
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.04423769541390014
classification.3.0.brier,0.008538668068525539
classification.3.0.average_precision,0.06675987192003996
classification.3.0.threshold,0.05047565698623657
classification.3.0.recall,0.35419430164917765
classification.3.0.false_positive_rate,0.040940265318868456
classification.3.0.precision,0.07167248142857317
classification.3.0.auroc,0.8520436302504594
classification.3.0.f1,0.1192203079263047
classification.3.0.balanced_accuracy,0.6566270181651546
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.005750844364440401
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.1318056844977276
classification.9.0.brier,0.02956501025131893
classification.9.0.average_precision,0.09546821192960996
classification.9.0.threshold,0.09994712471961975
classification.9.0.recall,0.19854125091024089
classification.9.0.false_positive_rate,0.040626033362310764
classification.9.0.precision,0.13615142135861344
classification.9.0.auroc,0.7239363330886915
classification.9.0.f1,0.1615313136466412
classification.9.0.balanced_accuracy,0.5789576087739651
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.01395956892004305
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.30544183416847004
classification.24.0.brier,0.08288267772588605
classification.24.0.average_precision,0.14438938587042768
classification.24.0.threshold,0.18249471485614777
classification.24.0.recall,0.12281398503908438
classification.24.0.false_positive_rate,0.04414349024348809
classification.24.0.precision,0.21821524092193437
classification.24.0.auroc,0.6095346353445767
classification.24.0.f1,0.15717059591221075
classification.24.0.balanced_accuracy,0.5393352473977981
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03663662536116156
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.49342319706658366
classification.48.0.brier,0.15665961589578606
classification.48.0.average_precision,0.218540670709849
classification.48.0.threshold,0.32637259364128113
classification.48.0.recall,0.06831889576157596
classification.48.0.false_positive_rate,0.04827391350100651
classification.48.0.precision,0.24728507809443004
classification.48.0.auroc,0.5591855274024927
classification.48.0.f1,0.10705976396504131
classification.48.0.balanced_accuracy,0.5100224911302846
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.06891672595899606
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6795271885205506
classification.96.0.brier,0.24345020019454836
classification.96.0.average_precision,0.3867552622658094
classification.96.0.threshold,0.5881019234657288
classification.96.0.recall,0.05361322893734946
classification.96.0.false_positive_rate,0.05235270108734472
classification.96.0.precision,0.373072559491413
classification.96.0.auroc,0.5515084408637633
classification.96.0.f1,0.09375341332979704
classification.96.0.balanced_accuracy,0.5006302639250024
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.11143061500495363
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,27
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.6029411764705882
timing.0.75.alarm_episodes,533
timing.0.75.false_alarm_episodes,504
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,29
timing.0.75.missed_event_centers,39
timing.0.75.event_recall,0.4264705882352941
timing.0.75.false_alarms_per_sampled_center_ns,3.7850625211220006
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,174
timing.3.0.detected_window_timing_mae_ps,0.7715961720648356
timing.3.0.detected_window_timing_bias_ps,-0.3345143638718605
timing.3.0.timed_within_3ps_recall,0.36496350364963503
timing.3.0.alarm_episodes,458
timing.3.0.false_alarm_episodes,387
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,71
timing.3.0.missed_event_centers,203
timing.3.0.event_recall,0.2591240875912409
timing.3.0.false_alarms_per_sampled_center_ns,2.9063872930043932
timing.3.0.mean_detected_lead_ps,1.6373239436619718
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,771
timing.9.0.detected_window_timing_mae_ps,2.051156237469075
timing.9.0.detected_window_timing_bias_ps,-0.45382588206676594
timing.9.0.timed_within_3ps_recall,0.16837782340862423
timing.9.0.alarm_episodes,535
timing.9.0.false_alarm_episodes,401
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,134
timing.9.0.missed_event_centers,244
timing.9.0.event_recall,0.3544973544973545
timing.9.0.false_alarms_per_sampled_center_ns,3.0115279185911157
timing.9.0.mean_detected_lead_ps,3.7332089552238807
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2530
timing.24.0.detected_window_timing_mae_ps,5.602129997161269
timing.24.0.detected_window_timing_bias_ps,0.2053736450813517
timing.24.0.timed_within_3ps_recall,0.030523759972251128
timing.24.0.alarm_episodes,966
timing.24.0.false_alarm_episodes,755
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,177
timing.24.0.missed_event_centers,220
timing.24.0.event_recall,0.44584382871536526
timing.24.0.false_alarms_per_sampled_center_ns,5.670083736998235
timing.24.0.mean_detected_lead_ps,8.80084745762712
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,5632
timing.48.0.detected_window_timing_mae_ps,11.051764430823102
timing.48.0.detected_window_timing_bias_ps,0.2295934368802194
timing.48.0.timed_within_3ps_recall,0.007149983372131693
timing.48.0.alarm_episodes,1591
timing.48.0.false_alarm_episodes,1305
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,184
timing.48.0.missed_event_centers,218
timing.48.0.event_recall,0.4577114427860697
timing.48.0.false_alarms_per_sampled_center_ns,9.800608313619467
timing.48.0.mean_detected_lead_ps,25.99320652173913
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,11565
timing.96.0.detected_window_timing_mae_ps,24.53959057368942
timing.96.0.detected_window_timing_bias_ps,-6.500354569099651
timing.96.0.timed_within_3ps_recall,0.0025562793765976748
timing.96.0.alarm_episodes,1568
timing.96.0.false_alarm_episodes,1144
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,179
timing.96.0.missed_event_centers,230
timing.96.0.event_recall,0.43765281173594134
timing.96.0.false_alarms_per_sampled_center_ns,8.59149111937216
timing.96.0.mean_detected_lead_ps,67.24022346368714
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.009223447448662499
spatial.0.75.sampled_center_jaccard,0.029380823564773072
spatial.0.75.nearby_pair_difference_rmse,0.03989063049191177
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.03134573026262087
spatial.3.0.sampled_center_jaccard,0.06180089485458612
spatial.3.0.nearby_pair_difference_rmse,0.08459290457679487
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07708271413407387
spatial.9.0.sampled_center_jaccard,0.08174278573051579
spatial.9.0.nearby_pair_difference_rmse,0.1515825637742889
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.16491509189691514
spatial.24.0.sampled_center_jaccard,0.07515647095246462
spatial.24.0.nearby_pair_difference_rmse,0.23768844730831667
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.26420672826751057
spatial.48.0.sampled_center_jaccard,0.042227431263305706
spatial.48.0.nearby_pair_difference_rmse,0.30157651341127384
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.36366430774765396
spatial.96.0.sampled_center_jaccard,0.02775184414457771
spatial.96.0.nearby_pair_difference_rmse,0.367610178742657
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1334391581542183
best_selection_nll,1.1166776998540633
