metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.014217985320974213
classification.0.75.brier,0.0024131719496410476
classification.0.75.average_precision,0.04249798014197648
classification.0.75.threshold,0.015379906632006168
classification.0.75.recall,0.5801196502351506
classification.0.75.false_positive_rate,0.04046098018384216
classification.0.75.precision,0.034165526173809115
classification.0.75.auroc,0.9290676911989444
classification.0.75.f1,0.06453059215889273
classification.0.75.balanced_accuracy,0.7698293350256542
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0014743199958522687
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.0441526404094706
classification.3.0.brier,0.00852687750348534
classification.3.0.average_precision,0.0692711827624471
classification.3.0.threshold,0.05029744282364845
classification.3.0.recall,0.3597317006446256
classification.3.0.false_positive_rate,0.04126104725400732
classification.3.0.precision,0.07218703442689123
classification.3.0.auroc,0.8527228569332439
classification.3.0.f1,0.12024467822437922
classification.3.0.balanced_accuracy,0.6592353266953092
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.005784560565118845
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.13172239237815955
classification.9.0.brier,0.0295383903514586
classification.9.0.average_precision,0.09707693572714544
classification.9.0.threshold,0.09988852590322495
classification.9.0.recall,0.20256204705551378
classification.9.0.false_positive_rate,0.0405169637346546
classification.9.0.precision,0.13884788827791011
classification.9.0.auroc,0.7234916102804778
classification.9.0.f1,0.1647597774296833
classification.9.0.balanced_accuracy,0.5810225416604295
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.014195070894220535
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.3054129776395279
classification.24.0.brier,0.08285943472077609
classification.24.0.average_precision,0.14617714706638824
classification.24.0.threshold,0.18260949850082397
classification.24.0.recall,0.12508325799131106
classification.24.0.false_positive_rate,0.043700873456863014
classification.24.0.precision,0.22309654515966068
classification.24.0.auroc,0.6093499561262934
classification.24.0.f1,0.16029443674006588
classification.24.0.balanced_accuracy,0.5406911922672241
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.037600672114415715
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.49337048273917555
classification.48.0.brier,0.1566331908627806
classification.48.0.average_precision,0.21957420214477558
classification.48.0.threshold,0.32599443197250366
classification.48.0.recall,0.06945926764902
classification.48.0.false_positive_rate,0.04869294912496738
classification.48.0.precision,0.2487605730513878
classification.48.0.auroc,0.5599947178150184
classification.48.0.f1,0.10859616538094628
classification.48.0.balanced_accuracy,0.5103831592620263
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.06907334828904117
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6794332198386221
classification.96.0.brier,0.24341691314484956
classification.96.0.average_precision,0.38717281457822894
classification.96.0.threshold,0.5874667167663574
classification.96.0.recall,0.05306525809579435
classification.96.0.false_positive_rate,0.052027124079870826
classification.96.0.precision,0.3721292832097526
classification.96.0.auroc,0.5516746727465441
classification.96.0.f1,0.09288518332288784
classification.96.0.balanced_accuracy,0.5005190670079618
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.11162205418875855
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,26
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.6176470588235294
timing.0.75.alarm_episodes,551
timing.0.75.false_alarm_episodes,521
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,30
timing.0.75.missed_event_centers,38
timing.0.75.event_recall,0.4411764705882353
timing.0.75.false_alarms_per_sampled_center_ns,3.9127332807630206
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,171
timing.3.0.detected_window_timing_mae_ps,0.7662840178108484
timing.3.0.detected_window_timing_bias_ps,-0.3286487391214232
timing.3.0.timed_within_3ps_recall,0.3759124087591241
timing.3.0.alarm_episodes,479
timing.3.0.false_alarm_episodes,408
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,71
timing.3.0.missed_event_centers,203
timing.3.0.event_recall,0.2591240875912409
timing.3.0.false_alarms_per_sampled_center_ns,3.064098231384477
timing.3.0.mean_detected_lead_ps,1.6267605633802817
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,767
timing.9.0.detected_window_timing_mae_ps,2.0626072474437103
timing.9.0.detected_window_timing_bias_ps,-0.5024850777283834
timing.9.0.timed_within_3ps_recall,0.1704312114989733
timing.9.0.alarm_episodes,549
timing.9.0.false_alarm_episodes,414
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,135
timing.9.0.missed_event_centers,243
timing.9.0.event_recall,0.35714285714285715
timing.9.0.false_alarms_per_sampled_center_ns,3.109158499493072
timing.9.0.mean_detected_lead_ps,3.7333333333333334
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2524
timing.24.0.detected_window_timing_mae_ps,5.618058730533432
timing.24.0.detected_window_timing_bias_ps,0.12080785709548254
timing.24.0.timed_within_3ps_recall,0.03156434269857787
timing.24.0.alarm_episodes,991
timing.24.0.false_alarm_episodes,777
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,181
timing.24.0.missed_event_centers,216
timing.24.0.event_recall,0.45591939546599497
timing.24.0.false_alarms_per_sampled_center_ns,5.8353047200630845
timing.24.0.mean_detected_lead_ps,8.680939226519337
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,5624
timing.48.0.detected_window_timing_mae_ps,11.090786376271623
timing.48.0.detected_window_timing_bias_ps,-0.015442786657377658
timing.48.0.timed_within_3ps_recall,0.007149983372131693
timing.48.0.alarm_episodes,1578
timing.48.0.false_alarm_episodes,1292
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,184
timing.48.0.missed_event_centers,218
timing.48.0.event_recall,0.4577114427860697
timing.48.0.false_alarms_per_sampled_center_ns,9.70297773271751
timing.48.0.mean_detected_lead_ps,25.94836956521739
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,11575
timing.96.0.detected_window_timing_mae_ps,24.694152927138653
timing.96.0.detected_window_timing_bias_ps,-6.375589166420369
timing.96.0.timed_within_3ps_recall,0.0025562793765976748
timing.96.0.alarm_episodes,1542
timing.96.0.false_alarm_episodes,1124
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,177
timing.96.0.missed_event_centers,232
timing.96.0.event_recall,0.43276283618581907
timing.96.0.false_alarms_per_sampled_center_ns,8.441290225676843
timing.96.0.mean_detected_lead_ps,67.46610169491525
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.009208345868153132
spatial.0.75.sampled_center_jaccard,0.029181442080378248
spatial.0.75.nearby_pair_difference_rmse,0.039885305583743966
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.03129436097340344
spatial.3.0.sampled_center_jaccard,0.06305555555555555
spatial.3.0.nearby_pair_difference_rmse,0.08457359994145724
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.0769298634981103
spatial.9.0.sampled_center_jaccard,0.08319718629453143
spatial.9.0.nearby_pair_difference_rmse,0.15158104924261984
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.16471243924529275
spatial.24.0.sampled_center_jaccard,0.07624432208645514
spatial.24.0.nearby_pair_difference_rmse,0.23772090256157039
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.26396579484621735
spatial.48.0.sampled_center_jaccard,0.04322656153830785
spatial.48.0.nearby_pair_difference_rmse,0.301549265518121
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.36338938252839387
spatial.96.0.sampled_center_jaccard,0.027454949775343754
spatial.96.0.nearby_pair_difference_rmse,0.3675432395216226
spatial.96.0.nearby_pairs,16736
test_event_nll,1.133393466148596
best_selection_nll,1.1166788137801449
