metric,value
physical,0.3648482859134674
tda,0.14244946837425232
geometry,0.7659904956817627
future_physical,0.6589406132698059
physical_persistence,0.9473561644554138
condition_mean,0.9509602189064026
geometry_ridge,0.605879545211792
mean_reversion,0.7156953811645508
selection_score,0.4004606530070305
windows,480
sources,15
noncrystalline.physical,0.43171656131744385
noncrystalline.tda,0.1714199036359787
noncrystalline.geometry,0.9108569622039795
noncrystalline.future_physical,0.7655240893363953
noncrystalline.physical_persistence,1.111281156539917
noncrystalline.condition_mean,1.1132285594940186
noncrystalline.geometry_ridge,0.7198279500007629
noncrystalline.mean_reversion,0.8363919854164124
noncrystalline.windows,336
noncrystalline.sources,15
noncrystalline.order,0.6273323893547058
crystalline.physical,0.21485383808612823
crystalline.tda,0.08666085451841354
crystalline.geometry,0.45483794808387756
crystalline.future_physical,0.4161252975463867
crystalline.physical_persistence,0.587999701499939
crystalline.condition_mean,0.6258633136749268
crystalline.geometry_ridge,0.35983169078826904
crystalline.mean_reversion,0.4481770694255829
crystalline.windows,144
crystalline.sources,12
crystalline.order,0.26037049293518066
per_degree_geometry.1,0.930104672908783
per_degree_geometry.2,0.9799138307571411
per_degree_geometry.4,0.44216397404670715
per_degree_geometry.6,0.7117795348167419
invariant_covariance_trace,9.692326639813627
invariant_effective_rank,2.0253835451808966
projected_covariance_trace,63.18258012053085
projected_effective_rank,9.748115278087326
order,0.49962103366851807
order_components.q4,0.9783583879470825
order_components.q6,0.24693700671195984
order_components.w4,0.7958613038063049
order_components.w6,1.3121802806854248
order_components.qbar6,0.07147406041622162
order_components.mean_q6_coherence,0.1286567896604538
order_components.density_r12,0.210482656955719
order_components.smooth_coordination,0.25301793217658997
all_invariant_rank_by_temperature.400,3.0388462789883786
all_invariant_rank_by_temperature.450,1.7791464521795068
all_invariant_rank_by_temperature.500,2.006204259869981
all_invariant_rank_by_temperature.510,1.7709095155742454
all_invariant_rank_by_temperature.520,1.9782959660085537
all_projected_rank_by_temperature.400,6.760118117241679
all_projected_rank_by_temperature.450,9.408225589216178
all_projected_rank_by_temperature.500,9.676625233396996
all_projected_rank_by_temperature.510,9.346454930860107
all_projected_rank_by_temperature.520,8.461618368968459
noncrystalline_invariant_rank_by_temperature.400,3.056932900590218
noncrystalline_invariant_rank_by_temperature.450,3.1649986821955354
noncrystalline_invariant_rank_by_temperature.500,3.1820968695074523
noncrystalline_invariant_rank_by_temperature.510,3.185732321058891
noncrystalline_invariant_rank_by_temperature.520,2.927203512260558
noncrystalline_projected_rank_by_temperature.400,6.765737771433474
noncrystalline_projected_rank_by_temperature.450,7.1329786424862665
noncrystalline_projected_rank_by_temperature.500,6.758456280906333
noncrystalline_projected_rank_by_temperature.510,6.5168124474577125
noncrystalline_projected_rank_by_temperature.520,5.782216331138484
horizons.3.invariant_mse,0.02802388183772564
horizons.3.equivariant_scaled_mse,0.039664678275585175
horizons.3.invariant_persistence,0.04000772163271904
horizons.3.equivariant_persistence,0.05849054828286171
horizons.3.physical,0.6632862091064453
horizons.3.physical_persistence,1.0150775909423828
horizons.3.tda,0.17228244245052338
horizons.3.tda_persistence,0.27051684260368347
horizons.3.windows,480
horizons.3.sources,15
horizons.3.invariant_relative_to_persistence,0.7004618282188606
horizons.3.equivariant_relative_to_persistence,0.6781382537870192
horizons.6.invariant_mse,0.027977151796221733
horizons.6.equivariant_scaled_mse,0.041286636143922806
horizons.6.invariant_persistence,0.04515676572918892
horizons.6.equivariant_persistence,0.06360179930925369
horizons.6.physical,0.6355225443840027
horizons.6.physical_persistence,1.0865079164505005
horizons.6.tda,0.19135788083076477
horizons.6.tda_persistence,0.28627124428749084
horizons.6.windows,480
horizons.6.sources,15
horizons.6.invariant_relative_to_persistence,0.6195561472228637
horizons.6.equivariant_relative_to_persistence,0.649142580749533
horizons.9.invariant_mse,0.029800210148096085
horizons.9.equivariant_scaled_mse,0.042403444647789
horizons.9.invariant_persistence,0.04661572724580765
horizons.9.equivariant_persistence,0.06694228947162628
horizons.9.physical,0.6581864953041077
horizons.9.physical_persistence,1.1132031679153442
horizons.9.tda,0.19777041673660278
horizons.9.tda_persistence,0.29972633719444275
horizons.9.windows,480
horizons.9.sources,15
horizons.9.invariant_relative_to_persistence,0.6392737367575049
horizons.9.equivariant_relative_to_persistence,0.633432841668223
step,768
total_updates,768
anchor_draws,393216
