metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.017258709934140023
classification.0.75.brier,0.002455174472407242
classification.0.75.average_precision,0.0025617855220073735
classification.0.75.threshold,0.0031849760562181473
classification.0.75.recall,0.022816922345200844
classification.0.75.false_positive_rate,0.09868328583829428
classification.0.75.precision,0.0005701249193566815
classification.0.75.auroc,0.5338954042943801
classification.0.75.f1,0.0011124530484649374
classification.0.75.balanced_accuracy,0.46206681825345325
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0005322360744458748
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.051061215402684185
classification.3.0.brier,0.008776671588865234
classification.3.0.average_precision,0.013753040185551457
classification.3.0.threshold,0.013508407399058342
classification.3.0.recall,0.2890512843842949
classification.3.0.false_positive_rate,0.13312147587490467
classification.3.0.precision,0.019008692188194395
classification.3.0.auroc,0.6212946557873198
classification.3.0.f1,0.035671540020197345
classification.3.0.balanced_accuracy,0.577964904254695
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0037390937976381432
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.14031434724943617
classification.9.0.brier,0.030366829060199642
classification.9.0.average_precision,0.042218569704219264
classification.9.0.threshold,0.04766836762428284
classification.9.0.recall,0.1330199485008707
classification.9.0.false_positive_rate,0.1180590888192648
classification.9.0.precision,0.035063425337826734
classification.9.0.auroc,0.6075495183480321
classification.9.0.f1,0.05549787496742911
classification.9.0.balanced_accuracy,0.5074804298408029
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.01241030350379903
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.3093649777445338
classification.24.0.brier,0.0837417643859268
classification.24.0.average_precision,0.11637866167864071
classification.24.0.threshold,0.14014175534248352
classification.24.0.recall,0.12160551952524216
classification.24.0.false_positive_rate,0.11165156291354039
classification.24.0.precision,0.09850709641521256
classification.24.0.auroc,0.5940952427573396
classification.24.0.f1,0.1088443439310687
classification.24.0.balanced_accuracy,0.504976978305851
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03526362464227222
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.49335529008863144
classification.48.0.brier,0.15644591753762624
classification.48.0.average_precision,0.18191252391652563
classification.48.0.threshold,0.2868465483188629
classification.48.0.recall,0.0
classification.48.0.false_positive_rate,0.026824633712408254
classification.48.0.precision,0.0
classification.48.0.auroc,0.5227714532580832
classification.48.0.f1,0.0
classification.48.0.balanced_accuracy,0.48658768314379586
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.06823855988712865
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6764494684079544
classification.96.0.brier,0.24176239292232704
classification.96.0.average_precision,0.3823023805741709
classification.96.0.threshold,0.538171112537384
classification.96.0.recall,0.011368521674836327
classification.96.0.false_positive_rate,0.03887098201885441
classification.96.0.precision,0.1452627523126239
classification.96.0.auroc,0.5561270929684653
classification.96.0.f1,0.021086756254624566
classification.96.0.balanced_accuracy,0.48624876982799103
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.1086884725758007
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,65
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.04411764705882353
timing.0.75.alarm_episodes,82
timing.0.75.false_alarm_episodes,82
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,0
timing.0.75.missed_event_centers,68
timing.0.75.event_recall,0.0
timing.0.75.false_alarms_per_sampled_center_ns,0.6158236641508017
timing.0.75.mean_detected_lead_ps,
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,175
timing.3.0.detected_window_timing_mae_ps,0.7910500228185556
timing.3.0.detected_window_timing_bias_ps,-0.41844977753370893
timing.3.0.timed_within_3ps_recall,0.3613138686131387
timing.3.0.alarm_episodes,179
timing.3.0.false_alarm_episodes,175
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,4
timing.3.0.missed_event_centers,270
timing.3.0.event_recall,0.014598540145985401
timing.3.0.false_alarms_per_sampled_center_ns,1.314257819834028
timing.3.0.mean_detected_lead_ps,1.125
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,783
timing.9.0.detected_window_timing_mae_ps,2.1601660804073246
timing.9.0.detected_window_timing_bias_ps,-0.5875190455574002
timing.9.0.timed_within_3ps_recall,0.13860369609856263
timing.9.0.alarm_episodes,120
timing.9.0.false_alarm_episodes,115
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,5
timing.9.0.missed_event_centers,373
timing.9.0.event_recall,0.013227513227513227
timing.9.0.false_alarms_per_sampled_center_ns,0.8636551387480755
timing.9.0.mean_detected_lead_ps,5.4
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2393
timing.24.0.detected_window_timing_mae_ps,5.734001421253594
timing.24.0.detected_window_timing_bias_ps,-0.5704494297889388
timing.24.0.timed_within_3ps_recall,0.046132500867152273
timing.24.0.alarm_episodes,97
timing.24.0.false_alarm_episodes,89
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,8
timing.24.0.missed_event_centers,389
timing.24.0.event_recall,0.020151133501259445
timing.24.0.false_alarms_per_sampled_center_ns,0.6683939769441628
timing.24.0.mean_detected_lead_ps,11.53125
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,6014
timing.48.0.detected_window_timing_mae_ps,
timing.48.0.detected_window_timing_bias_ps,
timing.48.0.timed_within_3ps_recall,0.0
timing.48.0.alarm_episodes,96
timing.48.0.false_alarm_episodes,96
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,0
timing.48.0.missed_event_centers,402
timing.48.0.event_recall,0.0
timing.48.0.false_alarms_per_sampled_center_ns,0.7209642897375239
timing.48.0.mean_detected_lead_ps,
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,12029
timing.96.0.detected_window_timing_mae_ps,25.64828091124332
timing.96.0.detected_window_timing_bias_ps,-15.714891547915483
timing.96.0.timed_within_3ps_recall,8.246062505153789e-05
timing.96.0.alarm_episodes,191
timing.96.0.false_alarm_episodes,173
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,18
timing.96.0.missed_event_centers,391
timing.96.0.event_recall,0.044009779951100246
timing.96.0.false_alarms_per_sampled_center_ns,1.2992377304644962
timing.96.0.mean_detected_lead_ps,67.79166666666667
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.005680051274069885
spatial.0.75.sampled_center_jaccard,0.0005030621172353455
spatial.0.75.nearby_pair_difference_rmse,0.04016576550906573
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.021528507594139514
spatial.3.0.sampled_center_jaccard,0.01448387423837199
spatial.3.0.nearby_pair_difference_rmse,0.08607658113719252
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.06590526733524353
spatial.9.0.sampled_center_jaccard,0.02683390202870722
spatial.9.0.nearby_pair_difference_rmse,0.15323939955352806
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.15905553943119086
spatial.24.0.sampled_center_jaccard,0.05216714502428788
spatial.24.0.nearby_pair_difference_rmse,0.23800075517659006
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.26592532393812
spatial.48.0.sampled_center_jaccard,0.0
spatial.48.0.nearby_pair_difference_rmse,0.3007717924408921
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3732874731195712
spatial.96.0.sampled_center_jaccard,0.0028937177280550772
spatial.96.0.nearby_pair_difference_rmse,0.363223300943087
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1436419950882244
best_selection_nll,1.1336400199588357
