metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.01141924172569824
classification.0.75.brier,0.002328018873498137
classification.0.75.average_precision,0.09945520751315022
classification.0.75.threshold,0.009614245966076851
classification.0.75.recall,0.7587680631718151
classification.0.75.false_positive_rate,0.041584821675689956
classification.0.75.precision,0.04307794691761953
classification.0.75.auroc,0.9623870833505253
classification.0.75.f1,0.08152730059592053
classification.0.75.balanced_accuracy,0.8585916207480626
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0004699748182431901
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.036737768848675835
classification.3.0.brier,0.008033170260844626
classification.3.0.average_precision,0.14713483697225885
classification.3.0.threshold,0.032992009073495865
classification.3.0.recall,0.6032606941805204
classification.3.0.false_positive_rate,0.048769427402554084
classification.3.0.precision,0.09941303421656147
classification.3.0.auroc,0.9086755759131295
classification.3.0.f1,0.17069650851720602
classification.3.0.balanced_accuracy,0.7772456333889832
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0015309683500543557
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.11641294436222537
classification.9.0.brier,0.027390081319840807
classification.9.0.average_precision,0.20348795801506264
classification.9.0.threshold,0.08567595481872559
classification.9.0.recall,0.4626658854979662
classification.9.0.false_positive_rate,0.06358799118734808
classification.9.0.precision,0.19005741926766553
classification.9.0.auroc,0.7996616296325042
classification.9.0.f1,0.26943448637093215
classification.9.0.balanced_accuracy,0.699538947155309
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.010155927406320249
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.287330964682021
classification.24.0.brier,0.07933200983831133
classification.24.0.average_precision,0.2284410215770421
classification.24.0.threshold,0.20355762541294098
classification.24.0.recall,0.32564006323670686
classification.24.0.false_positive_rate,0.1025121563446168
classification.24.0.precision,0.24167619544711866
classification.24.0.auroc,0.6848737551267319
classification.24.0.f1,0.2774447245731659
classification.24.0.balanced_accuracy,0.6115639534460451
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.034138759472351655
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4763955803048082
classification.48.0.brier,0.1535988876388495
classification.48.0.average_precision,0.3112308713024762
classification.48.0.threshold,0.3882947564125061
classification.48.0.recall,0.2676531740142381
classification.48.0.false_positive_rate,0.11736916596547009
classification.48.0.precision,0.3461350048354602
classification.48.0.auroc,0.6424460480841898
classification.48.0.f1,0.3018765622214137
classification.48.0.balanced_accuracy,0.5751420040243838
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.09218417769305554
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.672859165308145
classification.96.0.brier,0.243376997501806
classification.96.0.average_precision,0.4763821159846945
classification.96.0.threshold,0.6871375441551208
classification.96.0.recall,0.16782142396108887
classification.96.0.false_positive_rate,0.0837134087944681
classification.96.0.precision,0.5380888413351522
classification.96.0.auroc,0.6250142480460886
classification.96.0.f1,0.2558479172492026
classification.96.0.balanced_accuracy,0.5420540075833105
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.15834540869011615
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,18
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.7352941176470589
timing.0.75.alarm_episodes,534
timing.0.75.false_alarm_episodes,508
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,26
timing.0.75.missed_event_centers,42
timing.0.75.event_recall,0.38235294117647056
timing.0.75.false_alarms_per_sampled_center_ns,3.815102699861064
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,116
timing.3.0.detected_window_timing_mae_ps,0.7348689792723012
timing.3.0.detected_window_timing_bias_ps,-0.2777665789492817
timing.3.0.timed_within_3ps_recall,0.5766423357664233
timing.3.0.alarm_episodes,649
timing.3.0.false_alarm_episodes,568
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,81
timing.3.0.missed_event_centers,193
timing.3.0.event_recall,0.2956204379562044
timing.3.0.false_alarms_per_sampled_center_ns,4.265705380947017
timing.3.0.mean_detected_lead_ps,1.7777777777777777
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,528
timing.9.0.detected_window_timing_mae_ps,2.010013665123664
timing.9.0.detected_window_timing_bias_ps,-0.014468633980598116
timing.9.0.timed_within_3ps_recall,0.35626283367556466
timing.9.0.alarm_episodes,1192
timing.9.0.false_alarm_episodes,1002
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,190
timing.9.0.missed_event_centers,188
timing.9.0.event_recall,0.5026455026455027
timing.9.0.false_alarms_per_sampled_center_ns,7.525064774135406
timing.9.0.mean_detected_lead_ps,4.330263157894737
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1838
timing.24.0.detected_window_timing_mae_ps,5.4292339006926325
timing.24.0.detected_window_timing_bias_ps,0.11308694915918027
timing.24.0.timed_within_3ps_recall,0.09885535900104059
timing.24.0.alarm_episodes,2026
timing.24.0.false_alarm_episodes,1722
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,251
timing.24.0.missed_event_centers,146
timing.24.0.event_recall,0.6322418136020151
timing.24.0.false_alarms_per_sampled_center_ns,12.932296947166835
timing.24.0.mean_detected_lead_ps,10.44621513944223
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,4118
timing.48.0.detected_window_timing_mae_ps,11.02775588901283
timing.48.0.detected_window_timing_bias_ps,-0.3419043930132698
timing.48.0.timed_within_3ps_recall,0.04256734286664449
timing.48.0.alarm_episodes,2076
timing.48.0.false_alarm_episodes,1564
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,278
timing.48.0.missed_event_centers,124
timing.48.0.event_recall,0.6915422885572139
timing.48.0.false_alarms_per_sampled_center_ns,11.745709886973827
timing.48.0.mean_detected_lead_ps,25.559352517985612
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,10004
timing.96.0.detected_window_timing_mae_ps,22.292615081281287
timing.96.0.detected_window_timing_bias_ps,-2.4782200008291833
timing.96.0.timed_within_3ps_recall,0.011626948132266843
timing.96.0.alarm_episodes,2151
timing.96.0.false_alarm_episodes,1291
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,244
timing.96.0.missed_event_centers,165
timing.96.0.event_recall,0.5965770171149144
timing.96.0.false_alarms_per_sampled_center_ns,9.695467688032744
timing.96.0.mean_detected_lead_ps,61.02356557377049
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.006737431851979583
spatial.0.75.sampled_center_jaccard,0.04034349807220469
spatial.0.75.nearby_pair_difference_rmse,0.039242679740965444
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.02532675819672851
spatial.3.0.sampled_center_jaccard,0.07834267413931144
spatial.3.0.nearby_pair_difference_rmse,0.08348824654391916
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07208658386181242
spatial.9.0.sampled_center_jaccard,0.11141128729240247
spatial.9.0.nearby_pair_difference_rmse,0.14926464322299085
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.15639587637416472
spatial.24.0.sampled_center_jaccard,0.1289728427061473
spatial.24.0.nearby_pair_difference_rmse,0.23853571842136786
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.24688201197503923
spatial.48.0.sampled_center_jaccard,0.16734087895017846
spatial.48.0.nearby_pair_difference_rmse,0.301563718554665
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3326838824878261
spatial.96.0.sampled_center_jaccard,0.1581842944029732
spatial.96.0.nearby_pair_difference_rmse,0.36344001645949486
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1153559478442605
best_selection_nll,1.0511058854431587
