metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.011255806763873253
classification.0.75.brier,0.0023105412237640036
classification.0.75.average_precision,0.10759250535518033
classification.0.75.threshold,0.011399563401937485
classification.0.75.recall,0.7651571490679577
classification.0.75.false_positive_rate,0.04160596127820995
classification.0.75.precision,0.04340382020816547
classification.0.75.auroc,0.9634687260910677
classification.0.75.f1,0.0821477775729653
classification.0.75.balanced_accuracy,0.8617755938948739
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.00017314592970259733
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.0364447819254573
classification.3.0.brier,0.00798346140936269
classification.3.0.average_precision,0.16147264586216997
classification.3.0.threshold,0.04076303541660309
classification.3.0.recall,0.6134691066538064
classification.3.0.false_positive_rate,0.047615532736769085
classification.3.0.precision,0.10311910216238017
classification.3.0.auroc,0.911519360971558
classification.3.0.f1,0.17655993415522414
classification.3.0.balanced_accuracy,0.7829267869585186
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0022068029837928375
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.1160498725505348
classification.9.0.brier,0.027249534046209997
classification.9.0.average_precision,0.21778608622732834
classification.9.0.threshold,0.09652579575777054
classification.9.0.recall,0.46912902296311626
classification.9.0.false_positive_rate,0.06019589209689094
classification.9.0.precision,0.20085744279325166
classification.9.0.auroc,0.8030421141939567
classification.9.0.f1,0.28128346081167854
classification.9.0.balanced_accuracy,0.7044665654331126
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.011675345184934445
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.28764512965973443
classification.24.0.brier,0.07940394640815315
classification.24.0.average_precision,0.23626522386177523
classification.24.0.threshold,0.2165142148733139
classification.24.0.recall,0.3279190954478617
classification.24.0.false_positive_rate,0.09598594168281344
classification.24.0.precision,0.255259001049113
classification.24.0.auroc,0.6876778619413155
classification.24.0.f1,0.287062567101692
classification.24.0.balanced_accuracy,0.6159665768825241
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03791024947808489
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4778622411217976
classification.48.0.brier,0.15427642804647737
classification.48.0.average_precision,0.315397441383732
classification.48.0.threshold,0.39603543281555176
classification.48.0.recall,0.27456651657693
classification.48.0.false_positive_rate,0.12071943267849095
classification.48.0.precision,0.34553699121278286
classification.48.0.auroc,0.6434245757378237
classification.48.0.f1,0.30599048976171883
classification.48.0.balanced_accuracy,0.5769235419492192
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.0947109436303932
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6743225200739047
classification.96.0.brier,0.24394908041130975
classification.96.0.average_precision,0.4768201287741082
classification.96.0.threshold,0.6930763721466064
classification.96.0.recall,0.16062415006912326
classification.96.0.false_positive_rate,0.08291979360856142
classification.96.0.precision,0.5295513122832186
classification.96.0.auroc,0.6254431857953571
classification.96.0.f1,0.2464843625809968
classification.96.0.balanced_accuracy,0.538852178230281
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.16203814287180604
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,19
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.7205882352941176
timing.0.75.alarm_episodes,528
timing.0.75.false_alarm_episodes,504
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,24
timing.0.75.missed_event_centers,44
timing.0.75.event_recall,0.35294117647058826
timing.0.75.false_alarms_per_sampled_center_ns,3.7850625211220006
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,115
timing.3.0.detected_window_timing_mae_ps,0.7378123889501106
timing.3.0.detected_window_timing_bias_ps,-0.25939710182646314
timing.3.0.timed_within_3ps_recall,0.5802919708029197
timing.3.0.alarm_episodes,620
timing.3.0.false_alarm_episodes,538
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,82
timing.3.0.missed_event_centers,192
timing.3.0.event_recall,0.29927007299270075
timing.3.0.false_alarms_per_sampled_center_ns,4.040404040404041
timing.3.0.mean_detected_lead_ps,1.8018292682926829
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,527
timing.9.0.detected_window_timing_mae_ps,1.9851074182668933
timing.9.0.detected_window_timing_bias_ps,-0.19168987561616846
timing.9.0.timed_within_3ps_recall,0.3613963039014374
timing.9.0.alarm_episodes,1080
timing.9.0.false_alarm_episodes,888
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,192
timing.9.0.missed_event_centers,186
timing.9.0.event_recall,0.5079365079365079
timing.9.0.false_alarms_per_sampled_center_ns,6.668919680072096
timing.9.0.mean_detected_lead_ps,4.484375
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1855
timing.24.0.detected_window_timing_mae_ps,5.361470210638276
timing.24.0.detected_window_timing_bias_ps,-0.08338124731797503
timing.24.0.timed_within_3ps_recall,0.10163024627124523
timing.24.0.alarm_episodes,2012
timing.24.0.false_alarm_episodes,1693
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,259
timing.24.0.missed_event_centers,138
timing.24.0.event_recall,0.6523929471032746
timing.24.0.false_alarms_per_sampled_center_ns,12.714505651308626
timing.24.0.mean_detected_lead_ps,11.02992277992278
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,4079
timing.48.0.detected_window_timing_mae_ps,10.961172331387745
timing.48.0.detected_window_timing_bias_ps,-0.6862264239276121
timing.48.0.timed_within_3ps_recall,0.043066178915862986
timing.48.0.alarm_episodes,2176
timing.48.0.false_alarm_episodes,1649
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,281
timing.48.0.missed_event_centers,121
timing.48.0.event_recall,0.6990049751243781
timing.48.0.false_alarms_per_sampled_center_ns,12.384063685178926
timing.48.0.mean_detected_lead_ps,25.080960854092528
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,10105
timing.96.0.detected_window_timing_mae_ps,22.23425506621629
timing.96.0.detected_window_timing_bias_ps,-3.401794039571136
timing.96.0.timed_within_3ps_recall,0.010225117506390699
timing.96.0.alarm_episodes,2142
timing.96.0.false_alarm_episodes,1312
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,248
timing.96.0.missed_event_centers,161
timing.96.0.event_recall,0.6063569682151589
timing.96.0.false_alarms_per_sampled_center_ns,9.853178626412827
timing.96.0.mean_detected_lead_ps,58.32157258064516
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.007355816612827966
spatial.0.75.sampled_center_jaccard,0.03907308377896613
spatial.0.75.nearby_pair_difference_rmse,0.03925766326106961
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.027567431791794852
spatial.3.0.sampled_center_jaccard,0.08190082644628098
spatial.3.0.nearby_pair_difference_rmse,0.0833563826938085
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07399863809879446
spatial.9.0.sampled_center_jaccard,0.11771126393664687
spatial.9.0.nearby_pair_difference_rmse,0.14930135913613554
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.15875020950320468
spatial.24.0.sampled_center_jaccard,0.13139381020736954
spatial.24.0.nearby_pair_difference_rmse,0.23900840991084826
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.24902429827131994
spatial.48.0.sampled_center_jaccard,0.16791793255305684
spatial.48.0.nearby_pair_difference_rmse,0.3019488389194733
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3339145455339321
spatial.96.0.sampled_center_jaccard,0.14944102148535648
spatial.96.0.nearby_pair_difference_rmse,0.36326305771671374
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1164669926883057
best_selection_nll,1.0513918518628942
