metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.010478307214298457
classification.0.75.brier,0.0022731191428654106
classification.0.75.average_precision,0.13938633710991757
classification.0.75.threshold,0.015217955224215984
classification.0.75.recall,0.8416975288958619
classification.0.75.false_positive_rate,0.04960824923217681
classification.0.75.precision,0.04017877888353658
classification.0.75.auroc,0.9756612265170745
classification.0.75.f1,0.07669642239393432
classification.0.75.balanced_accuracy,0.8960446398318426
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.00043973940193255253
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.03337100363413191
classification.3.0.brier,0.00791190050221316
classification.3.0.average_precision,0.17994641593729066
classification.3.0.threshold,0.045989468693733215
classification.3.0.recall,0.7504435597225744
classification.3.0.false_positive_rate,0.054902626483595174
classification.3.0.precision,0.10871775329438792
classification.3.0.auroc,0.9433432014207646
classification.3.0.f1,0.18992134899740387
classification.3.0.balanced_accuracy,0.8477704666194896
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0028866246088090097
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.10712850606515872
classification.9.0.brier,0.02669733251206656
classification.9.0.average_precision,0.23653571042323307
classification.9.0.threshold,0.11725178360939026
classification.9.0.recall,0.5536449350503975
classification.9.0.false_positive_rate,0.05949736008392824
classification.9.0.precision,0.23083079467647732
classification.9.0.auroc,0.8601067464500137
classification.9.0.f1,0.325818366288488
classification.9.0.balanced_accuracy,0.7470737874832345
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.010806338045195537
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.2759852599068523
classification.24.0.brier,0.07635682696682884
classification.24.0.average_precision,0.2772062099365241
classification.24.0.threshold,0.2451854646205902
classification.24.0.recall,0.351272260309502
classification.24.0.false_positive_rate,0.06762650775893374
classification.24.0.precision,0.3425927190664379
classification.24.0.auroc,0.7299365691890315
classification.24.0.f1,0.34687820359598576
classification.24.0.balanced_accuracy,0.6418228762752841
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03437353165473765
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4715484380582697
classification.48.0.brier,0.1511124577243391
classification.48.0.average_precision,0.3335856197314173
classification.48.0.threshold,0.41931867599487305
classification.48.0.recall,0.24720566335551805
classification.48.0.false_positive_rate,0.08019023966482892
classification.48.0.precision,0.4171166965728575
classification.48.0.auroc,0.6580552529797442
classification.48.0.f1,0.31043245235362193
classification.48.0.balanced_accuracy,0.5835077118453444
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.08080595027005724
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6780793353906237
classification.96.0.brier,0.24439069996601115
classification.96.0.average_precision,0.4800746840471545
classification.96.0.threshold,0.7077844738960266
classification.96.0.recall,0.16480716837921136
classification.96.0.false_positive_rate,0.08410673852544007
classification.96.0.precision,0.5324142836885686
classification.96.0.auroc,0.6260796660930537
classification.96.0.f1,0.25170106352616645
classification.96.0.balanced_accuracy,0.5403502149268857
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.14497569865317575
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,9
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.8676470588235294
timing.0.75.alarm_episodes,587
timing.0.75.false_alarm_episodes,558
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,29
timing.0.75.missed_event_centers,39
timing.0.75.event_recall,0.4264705882352941
timing.0.75.false_alarms_per_sampled_center_ns,4.190604934099357
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,64
timing.3.0.detected_window_timing_mae_ps,0.7218843614249433
timing.3.0.detected_window_timing_bias_ps,-0.29828847186143953
timing.3.0.timed_within_3ps_recall,0.7664233576642335
timing.3.0.alarm_episodes,655
timing.3.0.false_alarm_episodes,557
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,98
timing.3.0.missed_event_centers,176
timing.3.0.event_recall,0.35766423357664234
timing.3.0.false_alarms_per_sampled_center_ns,4.183094889414592
timing.3.0.mean_detected_lead_ps,1.8290816326530612
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,430
timing.9.0.detected_window_timing_mae_ps,1.9953983566237157
timing.9.0.detected_window_timing_bias_ps,-0.2515971744168968
timing.9.0.timed_within_3ps_recall,0.44455852156057496
timing.9.0.alarm_episodes,952
timing.9.0.false_alarm_episodes,739
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,213
timing.9.0.missed_event_centers,165
timing.9.0.event_recall,0.5634920634920635
timing.9.0.false_alarms_per_sampled_center_ns,5.549923022041981
timing.9.0.mean_detected_lead_ps,4.436619718309859
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1857
timing.24.0.detected_window_timing_mae_ps,5.118956421506292
timing.24.0.detected_window_timing_bias_ps,-0.23271815423529094
timing.24.0.timed_within_3ps_recall,0.10995490808185918
timing.24.0.alarm_episodes,1582
timing.24.0.false_alarm_episodes,1207
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,306
timing.24.0.missed_event_centers,91
timing.24.0.event_recall,0.7707808564231738
timing.24.0.false_alarms_per_sampled_center_ns,9.06462393451241
timing.24.0.mean_detected_lead_ps,10.406862745098039
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,4461
timing.48.0.detected_window_timing_mae_ps,10.347981051765158
timing.48.0.detected_window_timing_bias_ps,-0.6766118252073803
timing.48.0.timed_within_3ps_recall,0.037080146325241106
timing.48.0.alarm_episodes,2106
timing.48.0.false_alarm_episodes,1506
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,326
timing.48.0.missed_event_centers,76
timing.48.0.event_recall,0.8109452736318408
timing.48.0.false_alarms_per_sampled_center_ns,11.310127295257407
timing.48.0.mean_detected_lead_ps,24.40260736196319
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,10108
timing.96.0.detected_window_timing_mae_ps,21.521439370843968
timing.96.0.detected_window_timing_bias_ps,-2.3670301616144416
timing.96.0.timed_within_3ps_recall,0.010390038756493775
timing.96.0.alarm_episodes,2330
timing.96.0.false_alarm_episodes,1380
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,273
timing.96.0.missed_event_centers,136
timing.96.0.event_recall,0.6674816625916871
timing.96.0.false_alarms_per_sampled_center_ns,10.363861664976907
timing.96.0.mean_detected_lead_ps,56.80494505494506
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.009557784488017964
spatial.0.75.sampled_center_jaccard,0.03770908004778972
spatial.0.75.nearby_pair_difference_rmse,0.038240306217335394
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.033326875968216735
spatial.3.0.sampled_center_jaccard,0.097136784196049
spatial.3.0.nearby_pair_difference_rmse,0.07960228951545102
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.08078045555562208
spatial.9.0.sampled_center_jaccard,0.14719825290295085
spatial.9.0.nearby_pair_difference_rmse,0.14519995072100003
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.16016768405030607
spatial.24.0.sampled_center_jaccard,0.15795269083772337
spatial.24.0.nearby_pair_difference_rmse,0.23727694535318047
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.2490823222550025
spatial.48.0.sampled_center_jaccard,0.16689540821088675
spatial.48.0.nearby_pair_difference_rmse,0.3036770948480804
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3343868542763654
spatial.96.0.sampled_center_jaccard,0.14926542683895624
spatial.96.0.nearby_pair_difference_rmse,0.3656451561540017
spatial.96.0.nearby_pairs,16736
test_event_nll,1.111009573143198
best_selection_nll,1.0536799227251787
