metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.014216016113150171
classification.0.75.brier,0.0024131694226122973
classification.0.75.average_precision,0.04253910631141262
classification.0.75.threshold,0.015388515777885914
classification.0.75.recall,0.5801196502351506
classification.0.75.false_positive_rate,0.04051168647255752
classification.0.75.precision,0.03412422228998586
classification.0.75.auroc,0.9292430647096962
classification.0.75.f1,0.06445691291321108
classification.0.75.balanced_accuracy,0.7698039818812966
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.001475383597910942
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.04413768030731885
classification.3.0.brier,0.008525667362801567
classification.3.0.average_precision,0.0695206752449916
classification.3.0.threshold,0.05059685558080673
classification.3.0.recall,0.3564866208514887
classification.3.0.false_positive_rate,0.04109918078201533
classification.3.0.precision,0.07184412918699366
classification.3.0.auroc,0.8529542284652081
classification.3.0.f1,0.11958735551714737
classification.3.0.balanced_accuracy,0.6576937200347367
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.005786890042922928
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.13170533990297412
classification.9.0.brier,0.029535691588021933
classification.9.0.average_precision,0.09723175196511687
classification.9.0.threshold,0.10002442449331284
classification.9.0.recall,0.20202483415293385
classification.9.0.false_positive_rate,0.04049164714147585
classification.9.0.precision,0.138605271675346
classification.9.0.auroc,0.7234821725439178
classification.9.0.f1,0.16441122815521467
classification.9.0.balanced_accuracy,0.580766593505729
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.014193690723186428
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.30539770706169184
classification.24.0.brier,0.08285707351957018
classification.24.0.average_precision,0.14619119789748947
classification.24.0.threshold,0.18271225690841675
classification.24.0.recall,0.12477888435351046
classification.24.0.false_positive_rate,0.04375771026498595
classification.24.0.precision,0.22244966168050942
classification.24.0.auroc,0.6093696377522151
classification.24.0.f1,0.15987752692769858
classification.24.0.balanced_accuracy,0.5405105870442624
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03743768996857063
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4933565803805272
classification.48.0.brier,0.15662882563728478
classification.48.0.average_precision,0.21968598315703972
classification.48.0.threshold,0.326158732175827
classification.48.0.recall,0.06898656272858697
classification.48.0.false_positive_rate,0.04882150132062279
classification.48.0.precision,0.2469959117833584
classification.48.0.auroc,0.5600653828791577
classification.48.0.f1,0.10785027864767247
classification.48.0.balanced_accuracy,0.510082530703982
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.06909900804929053
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6794114641444516
classification.96.0.brier,0.2434064450335116
classification.96.0.average_precision,0.38723615042454185
classification.96.0.threshold,0.5875046253204346
classification.96.0.recall,0.05304428173152824
classification.96.0.false_positive_rate,0.05178061490244476
classification.96.0.precision,0.3731471512673471
classification.96.0.auroc,0.5517242542427512
classification.96.0.f1,0.09288465739382692
classification.96.0.balanced_accuracy,0.5006318334145419
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.11158614404228623
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,26
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.6176470588235294
timing.0.75.alarm_episodes,557
timing.0.75.false_alarm_episodes,527
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,30
timing.0.75.missed_event_centers,38
timing.0.75.event_recall,0.4411764705882353
timing.0.75.false_alarms_per_sampled_center_ns,3.957793548871616
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,173
timing.3.0.detected_window_timing_mae_ps,0.7760296673715368
timing.3.0.detected_window_timing_bias_ps,-0.33846121330954093
timing.3.0.timed_within_3ps_recall,0.3686131386861314
timing.3.0.alarm_episodes,481
timing.3.0.false_alarm_episodes,411
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,70
timing.3.0.missed_event_centers,204
timing.3.0.event_recall,0.25547445255474455
timing.3.0.false_alarms_per_sampled_center_ns,3.0866283654387745
timing.3.0.mean_detected_lead_ps,1.6392857142857142
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,768
timing.9.0.detected_window_timing_mae_ps,2.057589312755668
timing.9.0.detected_window_timing_bias_ps,-0.49154809846158093
timing.9.0.timed_within_3ps_recall,0.16940451745379878
timing.9.0.alarm_episodes,559
timing.9.0.false_alarm_episodes,423
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,136
timing.9.0.missed_event_centers,242
timing.9.0.event_recall,0.35978835978835977
timing.9.0.false_alarms_per_sampled_center_ns,3.176748901655965
timing.9.0.mean_detected_lead_ps,3.7279411764705883
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2524
timing.24.0.detected_window_timing_mae_ps,5.60920094819647
timing.24.0.detected_window_timing_bias_ps,0.12126604621058674
timing.24.0.timed_within_3ps_recall,0.03191120360735345
timing.24.0.alarm_episodes,997
timing.24.0.false_alarm_episodes,783
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,181
timing.24.0.missed_event_centers,216
timing.24.0.event_recall,0.45591939546599497
timing.24.0.false_alarms_per_sampled_center_ns,5.88036498817168
timing.24.0.mean_detected_lead_ps,8.709944751381215
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,5627
timing.48.0.detected_window_timing_mae_ps,11.080043057662207
timing.48.0.detected_window_timing_bias_ps,0.05709087009602075
timing.48.0.timed_within_3ps_recall,0.007149983372131693
timing.48.0.alarm_episodes,1577
timing.48.0.false_alarm_episodes,1292
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,184
timing.48.0.missed_event_centers,218
timing.48.0.event_recall,0.4577114427860697
timing.48.0.false_alarms_per_sampled_center_ns,9.70297773271751
timing.48.0.mean_detected_lead_ps,25.89945652173913
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,11575
timing.96.0.detected_window_timing_mae_ps,24.616471447788893
timing.96.0.detected_window_timing_bias_ps,-6.552881894565656
timing.96.0.timed_within_3ps_recall,0.0024738187515461365
timing.96.0.alarm_episodes,1535
timing.96.0.false_alarm_episodes,1117
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,177
timing.96.0.missed_event_centers,232
timing.96.0.event_recall,0.43276283618581907
timing.96.0.false_alarms_per_sampled_center_ns,8.38871991288348
timing.96.0.mean_detected_lead_ps,67.53389830508475
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.009200955938550841
spatial.0.75.sampled_center_jaccard,0.029078327444051824
spatial.0.75.nearby_pair_difference_rmse,0.03988389943770136
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.03126783452230858
spatial.3.0.sampled_center_jaccard,0.061645746164574605
spatial.3.0.nearby_pair_difference_rmse,0.08456401160623174
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07689738413857991
spatial.9.0.sampled_center_jaccard,0.0829141173804668
spatial.9.0.nearby_pair_difference_rmse,0.15157798053005506
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.16468612499398486
spatial.24.0.sampled_center_jaccard,0.07679870434622282
spatial.24.0.nearby_pair_difference_rmse,0.23772944352523953
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.26394219163292487
spatial.48.0.sampled_center_jaccard,0.04303426338933262
spatial.48.0.nearby_pair_difference_rmse,0.30155840773159326
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.36336716618641446
spatial.96.0.sampled_center_jaccard,0.027468778323685585
spatial.96.0.nearby_pair_difference_rmse,0.367538380206573
spatial.96.0.nearby_pairs,16736
test_event_nll,1.13335488387456
best_selection_nll,1.1166475648667942
