metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.011529037156696157
classification.0.75.brier,0.002334591754623976
classification.0.75.average_precision,0.09707639621378905
classification.0.75.threshold,0.00890406221151352
classification.0.75.recall,0.7610504694787018
classification.0.75.false_positive_rate,0.043593917917863545
classification.0.75.precision,0.04129311413898521
classification.0.75.auroc,0.958592825266248
classification.0.75.f1,0.07833587640849565
classification.0.75.balanced_accuracy,0.8587282757804192
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0005395598012535154
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.03705628095833481
classification.3.0.brier,0.008055125357009233
classification.3.0.average_precision,0.14337969424598282
classification.3.0.threshold,0.03217236325144768
classification.3.0.recall,0.6053526888529169
classification.3.0.false_positive_rate,0.05003454529976944
classification.3.0.precision,0.0974476193413418
classification.3.0.auroc,0.9029194906187193
classification.3.0.f1,0.16787180569730625
classification.3.0.balanced_accuracy,0.7776590717765738
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0018736277295178755
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.11738703913365574
classification.9.0.brier,0.027490432428450614
classification.9.0.average_precision,0.19982266288993997
classification.9.0.threshold,0.08417194336652756
classification.9.0.recall,0.45544038504371925
classification.9.0.false_positive_rate,0.06460081718977531
classification.9.0.precision,0.1852492709424799
classification.9.0.auroc,0.7917732703248537
classification.9.0.f1,0.26337244092771395
classification.9.0.balanced_accuracy,0.6954197839269719
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.009839640047682707
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.2882543563982224
classification.24.0.brier,0.07957303125606073
classification.24.0.average_precision,0.22561734890472862
classification.24.0.threshold,0.20202258229255676
classification.24.0.recall,0.32254156108788856
classification.24.0.false_positive_rate,0.10758677659084709
classification.24.0.precision,0.23122826488534393
classification.24.0.auroc,0.6817241828829086
classification.24.0.f1,0.2693564077554765
classification.24.0.balanced_accuracy,0.6074773922485208
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03585064894308598
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4772140736590864
classification.48.0.brier,0.15394917086714938
classification.48.0.average_precision,0.3093069789540696
classification.48.0.threshold,0.38511863350868225
classification.48.0.recall,0.2759897704639583
classification.48.0.false_positive_rate,0.12524858307778555
classification.48.0.precision,0.33841255838381157
classification.48.0.auroc,0.6418992610123291
classification.48.0.f1,0.30403011162286886
classification.48.0.balanced_accuracy,0.5753705936930861
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.09355679293374676
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6739406046468355
classification.96.0.brier,0.24382817993121558
classification.96.0.average_precision,0.47476851281883786
classification.96.0.threshold,0.6868481636047363
classification.96.0.recall,0.17093144016347087
classification.96.0.false_positive_rate,0.08708415756534535
classification.96.0.precision,0.5328370103366128
classification.96.0.auroc,0.6245322628192285
classification.96.0.f1,0.2588311467628787
classification.96.0.balanced_accuracy,0.5419236412990628
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.16042578142903746
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,18
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.7352941176470589
timing.0.75.alarm_episodes,576
timing.0.75.false_alarm_episodes,550
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,26
timing.0.75.missed_event_centers,42
timing.0.75.event_recall,0.38235294117647056
timing.0.75.false_alarms_per_sampled_center_ns,4.130524576621231
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,115
timing.3.0.detected_window_timing_mae_ps,0.7321207425364298
timing.3.0.detected_window_timing_bias_ps,-0.2670138674456047
timing.3.0.timed_within_3ps_recall,0.5802919708029197
timing.3.0.alarm_episodes,711
timing.3.0.false_alarm_episodes,630
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,81
timing.3.0.missed_event_centers,193
timing.3.0.event_recall,0.2956204379562044
timing.3.0.false_alarms_per_sampled_center_ns,4.731328151402501
timing.3.0.mean_detected_lead_ps,1.7222222222222223
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,540
timing.9.0.detected_window_timing_mae_ps,2.049381598297618
timing.9.0.detected_window_timing_bias_ps,0.030305480989225135
timing.9.0.timed_within_3ps_recall,0.34291581108829566
timing.9.0.alarm_episodes,1298
timing.9.0.false_alarm_episodes,1106
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,192
timing.9.0.missed_event_centers,186
timing.9.0.event_recall,0.5079365079365079
timing.9.0.false_alarms_per_sampled_center_ns,8.306109421351056
timing.9.0.mean_detected_lead_ps,4.27734375
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1844
timing.24.0.detected_window_timing_mae_ps,5.469171365023759
timing.24.0.detected_window_timing_bias_ps,0.09615459627740935
timing.24.0.timed_within_3ps_recall,0.09712105445716268
timing.24.0.alarm_episodes,2078
timing.24.0.false_alarm_episodes,1771
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,247
timing.24.0.missed_event_centers,150
timing.24.0.event_recall,0.6221662468513854
timing.24.0.false_alarms_per_sampled_center_ns,13.300289136720364
timing.24.0.mean_detected_lead_ps,10.682186234817813
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,4043
timing.48.0.detected_window_timing_mae_ps,11.129801754565987
timing.48.0.detected_window_timing_bias_ps,-0.3699253040486441
timing.48.0.timed_within_3ps_recall,0.044396408380445625
timing.48.0.alarm_episodes,2116
timing.48.0.false_alarm_episodes,1616
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,269
timing.48.0.missed_event_centers,133
timing.48.0.event_recall,0.6691542288557214
timing.48.0.false_alarms_per_sampled_center_ns,12.136232210581653
timing.48.0.mean_detected_lead_ps,25.83457249070632
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,9960
timing.96.0.detected_window_timing_mae_ps,22.177598766358145
timing.96.0.detected_window_timing_bias_ps,-2.189981025214081
timing.96.0.timed_within_3ps_recall,0.013111239383194525
timing.96.0.alarm_episodes,2196
timing.96.0.false_alarm_episodes,1329
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,245
timing.96.0.missed_event_centers,164
timing.96.0.event_recall,0.5990220048899756
timing.96.0.false_alarms_per_sampled_center_ns,9.980849386053848
timing.96.0.mean_detected_lead_ps,60.970408163265304
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.006539159602924691
spatial.0.75.sampled_center_jaccard,0.036408730158730154
spatial.0.75.nearby_pair_difference_rmse,0.03924148818678937
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.02481964992436381
spatial.3.0.sampled_center_jaccard,0.07709627329192545
spatial.3.0.nearby_pair_difference_rmse,0.08368576194053766
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07128431899959074
spatial.9.0.sampled_center_jaccard,0.10473851381297088
spatial.9.0.nearby_pair_difference_rmse,0.1496793658635149
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.1562248556479843
spatial.24.0.sampled_center_jaccard,0.12672308088261894
spatial.24.0.nearby_pair_difference_rmse,0.23862477694493264
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.2469380600517409
spatial.48.0.sampled_center_jaccard,0.16733533687871133
spatial.48.0.nearby_pair_difference_rmse,0.301741460627683
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3330069878650607
spatial.96.0.sampled_center_jaccard,0.156784114454569
spatial.96.0.nearby_pair_difference_rmse,0.3636627689432103
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1170968156155552
best_selection_nll,1.0530150774301028
