metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.012424519060493633
classification.0.75.brier,0.002358886330371955
classification.0.75.average_precision,0.12686209723840902
classification.0.75.threshold,0.014142796397209167
classification.0.75.recall,0.5567986997487023
classification.0.75.false_positive_rate,0.043032021291859054
classification.0.75.precision,0.03093593105658043
classification.0.75.auroc,0.9473211759591222
classification.0.75.f1,0.05861518203961738
classification.0.75.balanced_accuracy,0.7568833392284218
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.00012903703468281378
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.03841433615521173
classification.3.0.brier,0.008084736164454872
classification.3.0.average_precision,0.16545588933826297
classification.3.0.threshold,0.049130938947200775
classification.3.0.recall,0.5171788786314722
classification.3.0.false_positive_rate,0.04415568991084955
classification.3.0.precision,0.09463230108761564
classification.3.0.auroc,0.896959688251741
classification.3.0.f1,0.15998997396968284
classification.3.0.balanced_accuracy,0.7365115943603113
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0028188858976327053
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.1213789782850052
classification.9.0.brier,0.027936642144749082
classification.9.0.average_precision,0.19753157045972747
classification.9.0.threshold,0.11100470274686813
classification.9.0.recall,0.3740876493866345
classification.9.0.false_positive_rate,0.05373822658862757
classification.9.0.precision,0.18334424771236504
classification.9.0.auroc,0.7725831427930264
classification.9.0.f1,0.24608142810707695
classification.9.0.balanced_accuracy,0.6601747113990035
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.01386266291738727
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.29376809952171007
classification.24.0.brier,0.0812967401686735
classification.24.0.average_precision,0.21849278807186578
classification.24.0.threshold,0.2316301316022873
classification.24.0.recall,0.3076185380252976
classification.24.0.false_positive_rate,0.11836500496989427
classification.24.0.precision,0.2068143829523385
classification.24.0.auroc,0.6743989333727083
classification.24.0.f1,0.24734007304780614
classification.24.0.balanced_accuracy,0.5946267665277016
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.04334525434660424
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4835178628898186
classification.48.0.brier,0.1569349444778061
classification.48.0.average_precision,0.30489717545082223
classification.48.0.threshold,0.4135264754295349
classification.48.0.recall,0.29055241768898477
classification.48.0.false_positive_rate,0.14738159538082518
classification.48.0.precision,0.31395772489461
classification.48.0.auroc,0.6383948626701794
classification.48.0.f1,0.3018019702048177
classification.48.0.balanced_accuracy,0.5715854111540793
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.09676598821352383
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6759646626408539
classification.96.0.brier,0.24494463200031663
classification.96.0.average_precision,0.4820050312192367
classification.96.0.threshold,0.6859660744667053
classification.96.0.recall,0.20667809894156475
classification.96.0.false_positive_rate,0.11009395076924071
classification.96.0.precision,0.521730855302332
classification.96.0.auroc,0.6248802649689507
classification.96.0.f1,0.29607088354638
classification.96.0.balanced_accuracy,0.5482920740861621
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.15433589887617277
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,34
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.5
timing.0.75.alarm_episodes,398
timing.0.75.false_alarm_episodes,380
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,18
timing.0.75.missed_event_centers,50
timing.0.75.event_recall,0.2647058823529412
timing.0.75.false_alarms_per_sampled_center_ns,2.853816980211032
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,150
timing.3.0.detected_window_timing_mae_ps,0.7504816058962079
timing.3.0.detected_window_timing_bias_ps,-0.291137734549714
timing.3.0.timed_within_3ps_recall,0.45255474452554745
timing.3.0.alarm_episodes,539
timing.3.0.false_alarm_episodes,468
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,71
timing.3.0.missed_event_centers,203
timing.3.0.event_recall,0.2591240875912409
timing.3.0.false_alarms_per_sampled_center_ns,3.5147009124704294
timing.3.0.mean_detected_lead_ps,1.7535211267605635
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,637
timing.9.0.detected_window_timing_mae_ps,2.053601791088661
timing.9.0.detected_window_timing_bias_ps,-0.06923031553519236
timing.9.0.timed_within_3ps_recall,0.27002053388090347
timing.9.0.alarm_episodes,990
timing.9.0.false_alarm_episodes,839
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,151
timing.9.0.missed_event_centers,227
timing.9.0.event_recall,0.3994708994708995
timing.9.0.false_alarms_per_sampled_center_ns,6.300927490518569
timing.9.0.mean_detected_lead_ps,4.122516556291391
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1895
timing.24.0.detected_window_timing_mae_ps,5.426581658355979
timing.24.0.detected_window_timing_bias_ps,-0.055825177700513255
timing.24.0.timed_within_3ps_recall,0.09503988900450919
timing.24.0.alarm_episodes,2127
timing.24.0.false_alarm_episodes,1845
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,209
timing.24.0.missed_event_centers,188
timing.24.0.event_recall,0.5264483627204031
timing.24.0.false_alarms_per_sampled_center_ns,13.856032443393039
timing.24.0.mean_detected_lead_ps,12.764354066985646
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3934
timing.48.0.detected_window_timing_mae_ps,11.126060989891213
timing.48.0.detected_window_timing_bias_ps,-1.5467219023715042
timing.48.0.timed_within_3ps_recall,0.04605919521117393
timing.48.0.alarm_episodes,1998
timing.48.0.false_alarm_episodes,1543
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,218
timing.48.0.missed_event_centers,184
timing.48.0.event_recall,0.5422885572139303
timing.48.0.false_alarms_per_sampled_center_ns,11.587998948593745
timing.48.0.mean_detected_lead_ps,30.39908256880734
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,9551
timing.96.0.detected_window_timing_mae_ps,22.558977029048567
timing.96.0.detected_window_timing_bias_ps,-5.170306332882549
timing.96.0.timed_within_3ps_recall,0.014430609384019131
timing.96.0.alarm_episodes,2070
timing.96.0.false_alarm_episodes,1284
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,227
timing.96.0.missed_event_centers,182
timing.96.0.event_recall,0.5550122249388753
timing.96.0.false_alarms_per_sampled_center_ns,9.642897375239382
timing.96.0.mean_detected_lead_ps,66.59471365638767
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.007415429904192464
spatial.0.75.sampled_center_jaccard,0.02730784086519892
spatial.0.75.nearby_pair_difference_rmse,0.03967664694537361
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.026858960926811226
spatial.3.0.sampled_center_jaccard,0.07539376406300224
spatial.3.0.nearby_pair_difference_rmse,0.08467412597751547
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07415422536101596
spatial.9.0.sampled_center_jaccard,0.09441430580671087
spatial.9.0.nearby_pair_difference_rmse,0.15222924184423003
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.16308336120063263
spatial.24.0.sampled_center_jaccard,0.1111514705178932
spatial.24.0.nearby_pair_difference_rmse,0.24035322974639922
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.2553420911595243
spatial.48.0.sampled_center_jaccard,0.148708585851593
spatial.48.0.nearby_pair_difference_rmse,0.302478583593248
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3373451503841626
spatial.96.0.sampled_center_jaccard,0.13293442055918064
spatial.96.0.nearby_pair_difference_rmse,0.3647105270225725
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1214600427196908
best_selection_nll,1.0641547662052384
