metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.013078155470054744
classification.0.75.brier,0.00240206754771127
classification.0.75.average_precision,0.0652210942002918
classification.0.75.threshold,0.024124864488840103
classification.0.75.recall,0.48358185028524686
classification.0.75.false_positive_rate,0.041325623679788606
classification.0.75.precision,0.028060414405014136
classification.0.75.auroc,0.9406828546012609
classification.0.75.f1,0.0530429483809836
classification.0.75.balanced_accuracy,0.7211281133027293
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0004745365061489194
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.0402994027924833
classification.3.0.brier,0.00834605232593502
classification.3.0.average_precision,0.11384475997341094
classification.3.0.threshold,0.06721698492765427
classification.3.0.recall,0.40956549726744895
classification.3.0.false_positive_rate,0.043712106930911314
classification.3.0.precision,0.07716264211156595
classification.3.0.auroc,0.8827039915040812
classification.3.0.f1,0.12985958004077652
classification.3.0.balanced_accuracy,0.6829266951682689
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0035676900389662275
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.12475473051127305
classification.9.0.brier,0.02872089132645342
classification.9.0.average_precision,0.14849914852113005
classification.9.0.threshold,0.13160979747772217
classification.9.0.recall,0.3115893235349014
classification.9.0.false_positive_rate,0.04858108604280211
classification.9.0.precision,0.17139597245769042
classification.9.0.auroc,0.7650588617730456
classification.9.0.f1,0.22114609102102972
classification.9.0.balanced_accuracy,0.6315041187460496
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.015923521494334503
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.29708925593828567
classification.24.0.brier,0.08228222886749038
classification.24.0.average_precision,0.1873176773530914
classification.24.0.threshold,0.2325165569782257
classification.24.0.recall,0.27180933039531907
classification.24.0.false_positive_rate,0.10164378296219198
classification.24.0.precision,0.21153517295622098
classification.24.0.auroc,0.6611872255895551
classification.24.0.f1,0.23791408950592852
classification.24.0.balanced_accuracy,0.5850827737165636
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.04096618110610507
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4846259827370965
classification.48.0.brier,0.1570895012690348
classification.48.0.average_precision,0.26973886850853707
classification.48.0.threshold,0.41090312600135803
classification.48.0.recall,0.22636013683712397
classification.48.0.false_positive_rate,0.1199681046559734
classification.48.0.precision,0.30458926619695287
classification.48.0.auroc,0.622217012273391
classification.48.0.f1,0.2597116319614219
classification.48.0.balanced_accuracy,0.553196016090575
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.09240418924611847
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6746931585476905
classification.96.0.brier,0.24386822318148493
classification.96.0.average_precision,0.4570482212919064
classification.96.0.threshold,0.6977666616439819
classification.96.0.recall,0.13227811672351766
classification.96.0.false_positive_rate,0.07516848853551547
classification.96.0.precision,0.5055808559501476
classification.96.0.auroc,0.6129341995292427
classification.96.0.f1,0.20969300845992692
classification.96.0.balanced_accuracy,0.5285548140940012
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.13636409270092703
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,38
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.4411764705882353
timing.0.75.alarm_episodes,335
timing.0.75.false_alarm_episodes,314
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,21
timing.0.75.missed_event_centers,47
timing.0.75.event_recall,0.3088235294117647
timing.0.75.false_alarms_per_sampled_center_ns,2.3581540310164844
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,175
timing.3.0.detected_window_timing_mae_ps,0.7771238104715311
timing.3.0.detected_window_timing_bias_ps,-0.3728579270699733
timing.3.0.timed_within_3ps_recall,0.3613138686131387
timing.3.0.alarm_episodes,422
timing.3.0.false_alarm_episodes,361
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,61
timing.3.0.missed_event_centers,213
timing.3.0.event_recall,0.22262773722627738
timing.3.0.false_alarms_per_sampled_center_ns,2.7111261312004804
timing.3.0.mean_detected_lead_ps,1.7704918032786885
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,692
timing.9.0.detected_window_timing_mae_ps,2.075571724336956
timing.9.0.detected_window_timing_bias_ps,-0.19834088733904956
timing.9.0.timed_within_3ps_recall,0.22381930184804927
timing.9.0.alarm_episodes,680
timing.9.0.false_alarm_episodes,536
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,144
timing.9.0.missed_event_centers,234
timing.9.0.event_recall,0.38095238095238093
timing.9.0.false_alarms_per_sampled_center_ns,4.025383951034509
timing.9.0.mean_detected_lead_ps,3.9427083333333335
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2013
timing.24.0.detected_window_timing_mae_ps,5.433668555243066
timing.24.0.detected_window_timing_bias_ps,0.16101149619236754
timing.24.0.timed_within_3ps_recall,0.08047173083593478
timing.24.0.alarm_episodes,2101
timing.24.0.false_alarm_episodes,1814
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,218
timing.24.0.missed_event_centers,179
timing.24.0.event_recall,0.5491183879093199
timing.24.0.false_alarms_per_sampled_center_ns,13.623221058165296
timing.24.0.mean_detected_lead_ps,12.780963302752294
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,4362
timing.48.0.detected_window_timing_mae_ps,11.360357411099889
timing.48.0.detected_window_timing_bias_ps,-1.7397868331700599
timing.48.0.timed_within_3ps_recall,0.033089457931493184
timing.48.0.alarm_episodes,2359
timing.48.0.false_alarm_episodes,1828
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,228
timing.48.0.missed_event_centers,174
timing.48.0.event_recall,0.5671641791044776
timing.48.0.false_alarms_per_sampled_center_ns,13.728361683752018
timing.48.0.mean_detected_lead_ps,32.58223684210526
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,10582
timing.96.0.detected_window_timing_mae_ps,22.71154076159621
timing.96.0.detected_window_timing_bias_ps,-5.948388181938971
timing.96.0.timed_within_3ps_recall,0.008081141255050713
timing.96.0.alarm_episodes,2043
timing.96.0.false_alarm_episodes,1282
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,162
timing.96.0.missed_event_centers,247
timing.96.0.event_recall,0.3960880195599022
timing.96.0.false_alarms_per_sampled_center_ns,9.62787728586985
timing.96.0.mean_detected_lead_ps,79.70370370370371
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.00958994288296074
spatial.0.75.sampled_center_jaccard,0.025606060606060604
spatial.0.75.nearby_pair_difference_rmse,0.03969913849860941
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.030789052294762306
spatial.3.0.sampled_center_jaccard,0.06406607785410533
spatial.3.0.nearby_pair_difference_rmse,0.08472915555139562
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07973304870514135
spatial.9.0.sampled_center_jaccard,0.09515663311395017
spatial.9.0.nearby_pair_difference_rmse,0.15205926761817506
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.16763294200304457
spatial.24.0.sampled_center_jaccard,0.10481341192508473
spatial.24.0.nearby_pair_difference_rmse,0.24117901645598921
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.25737139034123696
spatial.48.0.sampled_center_jaccard,0.12739765229063174
spatial.48.0.nearby_pair_difference_rmse,0.30634143678480086
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.34050391924742734
spatial.96.0.sampled_center_jaccard,0.08835950638721864
spatial.96.0.nearby_pair_difference_rmse,0.3672829792523648
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1230014821847154
best_selection_nll,1.0686708122506328
