metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.014440259620602391
classification.0.75.brier,0.00242570885729808
classification.0.75.average_precision,0.027025205810583156
classification.0.75.threshold,0.01449032872915268
classification.0.75.recall,0.49791880115290643
classification.0.75.false_positive_rate,0.041090694726119405
classification.0.75.precision,0.02902857547276116
classification.0.75.auroc,0.9248916645347572
classification.0.75.f1,0.05485888777406945
classification.0.75.balanced_accuracy,0.7284140532133936
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0013807925511447707
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.04477189592613213
classification.3.0.brier,0.0086120336697119
classification.3.0.average_precision,0.05231482865158142
classification.3.0.threshold,0.04721323773264885
classification.3.0.recall,0.3388578006264808
classification.3.0.false_positive_rate,0.04132827006734694
classification.3.0.precision,0.06818081787044408
classification.3.0.auroc,0.8472121722074452
classification.3.0.f1,0.11352044223129597
classification.3.0.balanced_accuracy,0.648764765279567
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.005382705707054496
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.13263396306281836
classification.9.0.brier,0.029738368259534437
classification.9.0.average_precision,0.08635222790851002
classification.9.0.threshold,0.09866587072610855
classification.9.0.recall,0.1760280542654371
classification.9.0.false_positive_rate,0.04080762271173625
classification.9.0.precision,0.12212670865405711
classification.9.0.auroc,0.7209918044849493
classification.9.0.f1,0.14420515498536757
classification.9.0.balanced_accuracy,0.5676102157768504
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.013368526835452867
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.30614131951070434
classification.24.0.brier,0.08311951928740313
classification.24.0.average_precision,0.13367773568100846
classification.24.0.threshold,0.1842927783727646
classification.24.0.recall,0.10085751631766705
classification.24.0.false_positive_rate,0.04096028638131484
classification.24.0.precision,0.19809917612957906
classification.24.0.auroc,0.6055900916838978
classification.24.0.f1,0.13366344620320586
classification.24.0.balanced_accuracy,0.5299486149681761
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.035995515606096574
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4939534647427465
classification.48.0.brier,0.15688532805590047
classification.48.0.average_precision,0.21148500094026457
classification.48.0.threshold,0.3288253843784332
classification.48.0.recall,0.05692973171392336
classification.48.0.false_positive_rate,0.04262453051442712
classification.48.0.precision,0.23666488500202146
classification.48.0.auroc,0.5537698058039432
classification.48.0.f1,0.09178144040908694
classification.48.0.balanced_accuracy,0.5071526005997481
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.06829274625768246
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6801945640490382
classification.96.0.brier,0.24372667476921575
classification.96.0.average_precision,0.38457483618971433
classification.96.0.threshold,0.5917999744415283
classification.96.0.recall,0.049223426213305464
classification.96.0.false_positive_rate,0.05189966977598574
classification.96.0.precision,0.35530678535014076
classification.96.0.auroc,0.5501191744200302
classification.96.0.f1,0.08646779316766252
classification.96.0.balanced_accuracy,0.49866187821865987
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.11096682020075171
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,33
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.5147058823529411
timing.0.75.alarm_episodes,465
timing.0.75.false_alarm_episodes,440
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,25
timing.0.75.missed_event_centers,43
timing.0.75.event_recall,0.36764705882352944
timing.0.75.false_alarms_per_sampled_center_ns,3.3044196612969845
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,178
timing.3.0.detected_window_timing_mae_ps,0.7918621201699528
timing.3.0.detected_window_timing_bias_ps,-0.3844130421686762
timing.3.0.timed_within_3ps_recall,0.35036496350364965
timing.3.0.alarm_episodes,403
timing.3.0.false_alarm_episodes,336
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,67
timing.3.0.missed_event_centers,207
timing.3.0.event_recall,0.24452554744525548
timing.3.0.false_alarms_per_sampled_center_ns,2.5233750140813336
timing.3.0.mean_detected_lead_ps,1.712686567164179
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,796
timing.9.0.detected_window_timing_mae_ps,2.102995720059956
timing.9.0.detected_window_timing_bias_ps,-0.4581495674259039
timing.9.0.timed_within_3ps_recall,0.14476386036960986
timing.9.0.alarm_episodes,448
timing.9.0.false_alarm_episodes,336
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,112
timing.9.0.missed_event_centers,266
timing.9.0.event_recall,0.2962962962962963
timing.9.0.false_alarms_per_sampled_center_ns,2.5233750140813336
timing.9.0.mean_detected_lead_ps,3.763392857142857
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2597
timing.24.0.detected_window_timing_mae_ps,5.710446991132148
timing.24.0.detected_window_timing_bias_ps,0.0008896104915725937
timing.24.0.timed_within_3ps_recall,0.022892819979188347
timing.24.0.alarm_episodes,817
timing.24.0.false_alarm_episodes,642
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,148
timing.24.0.missed_event_centers,249
timing.24.0.event_recall,0.37279596977329976
timing.24.0.false_alarms_per_sampled_center_ns,4.821448687619691
timing.24.0.mean_detected_lead_ps,9.197635135135135
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,5688
timing.48.0.detected_window_timing_mae_ps,10.926805691274827
timing.48.0.detected_window_timing_bias_ps,-0.26063158168436523
timing.48.0.timed_within_3ps_recall,0.0068174260059860325
timing.48.0.alarm_episodes,1465
timing.48.0.false_alarm_episodes,1205
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,176
timing.48.0.missed_event_centers,226
timing.48.0.event_recall,0.43781094527363185
timing.48.0.false_alarms_per_sampled_center_ns,9.049603845142878
timing.48.0.mean_detected_lead_ps,26.411931818181817
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,11596
timing.96.0.detected_window_timing_mae_ps,24.707638682235782
timing.96.0.detected_window_timing_bias_ps,-5.278957518504329
timing.96.0.timed_within_3ps_recall,0.002143976251339985
timing.96.0.alarm_episodes,1605
timing.96.0.false_alarm_episodes,1188
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,191
timing.96.0.missed_event_centers,218
timing.96.0.event_recall,0.4669926650366748
timing.96.0.false_alarms_per_sampled_center_ns,8.921933085501859
timing.96.0.mean_detected_lead_ps,64.57460732984293
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.009178385115168783
spatial.0.75.sampled_center_jaccard,0.024150268336314847
spatial.0.75.nearby_pair_difference_rmse,0.03993508423081255
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.03135185933800651
spatial.3.0.sampled_center_jaccard,0.058368084514873506
spatial.3.0.nearby_pair_difference_rmse,0.08473631487891298
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.0775274261492562
spatial.9.0.sampled_center_jaccard,0.07223360655737705
spatial.9.0.nearby_pair_difference_rmse,0.15163355026469835
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.16562141885746576
spatial.24.0.sampled_center_jaccard,0.06200671225937183
spatial.24.0.nearby_pair_difference_rmse,0.23763120854714007
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.26524353840821163
spatial.48.0.sampled_center_jaccard,0.033229136576844245
spatial.48.0.nearby_pair_difference_rmse,0.3017390265288317
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.36483493543267903
spatial.96.0.sampled_center_jaccard,0.025749764056672324
spatial.96.0.nearby_pair_difference_rmse,0.3679610968712278
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1344028199624268
best_selection_nll,1.1181494328930073
