metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.011530467725900695
classification.0.75.brier,0.0023253261567095134
classification.0.75.average_precision,0.1062437620658567
classification.0.75.threshold,0.011599116958677769
classification.0.75.recall,0.686990457947379
classification.0.75.false_positive_rate,0.03873646428241127
classification.0.75.precision,0.04192142989136872
classification.0.75.auroc,0.9610779981922215
classification.0.75.f1,0.07902086054398796
classification.0.75.balanced_accuracy,0.824126996832484
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.00024865216427807625
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.036842512887398836
classification.3.0.brier,0.008013211867652005
classification.3.0.average_precision,0.1519642576019045
classification.3.0.threshold,0.0412578359246254
classification.3.0.recall,0.6083906105391041
classification.3.0.false_positive_rate,0.045484119510276436
classification.3.0.precision,0.10663766969234582
classification.3.0.auroc,0.9085659651853452
classification.3.0.f1,0.18146794683307693
classification.3.0.balanced_accuracy,0.7814532455144139
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0020944824976316086
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.11719734877674576
classification.9.0.brier,0.02732158665249908
classification.9.0.average_precision,0.21394874831597843
classification.9.0.threshold,0.096410371363163
classification.9.0.recall,0.4499421023077061
classification.9.0.false_positive_rate,0.05769910359231033
classification.9.0.precision,0.20095433910621086
classification.9.0.auroc,0.794433401539046
classification.9.0.f1,0.27782550971977377
classification.9.0.balanced_accuracy,0.6961214993576978
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.012563212931114889
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.287913236357676
classification.24.0.brier,0.07946583669193663
classification.24.0.average_precision,0.23702352228911483
classification.24.0.threshold,0.2172415852546692
classification.24.0.recall,0.31391792159027604
classification.24.0.false_positive_rate,0.09805211120154629
classification.24.0.precision,0.243112470241066
classification.24.0.auroc,0.6877252640012579
classification.24.0.f1,0.27401507167264466
classification.24.0.balanced_accuracy,0.6079329051943649
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.0393057577025986
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.47724053669558
classification.48.0.brier,0.1541631293708253
classification.48.0.average_precision,0.3179750069999494
classification.48.0.threshold,0.40050119161605835
classification.48.0.recall,0.2793022091620343
classification.48.0.false_positive_rate,0.12308660122570537
classification.48.0.precision,0.34501293053944854
classification.48.0.auroc,0.64721380498749
classification.48.0.f1,0.30869946141370685
classification.48.0.balanced_accuracy,0.5781078039681642
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.09418911890231885
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6726386490515598
classification.96.0.brier,0.24336854323163337
classification.96.0.average_precision,0.4785185342343399
classification.96.0.threshold,0.6945531964302063
classification.96.0.recall,0.15497763291355973
classification.96.0.false_positive_rate,0.07764255047125819
classification.96.0.precision,0.5370109303549313
classification.96.0.auroc,0.6263272049826039
classification.96.0.f1,0.24053774080316595
classification.96.0.balanced_accuracy,0.5386675412211508
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.16072402861321194
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,26
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.6176470588235294
timing.0.75.alarm_episodes,490
timing.0.75.false_alarm_episodes,470
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,20
timing.0.75.missed_event_centers,48
timing.0.75.event_recall,0.29411764705882354
timing.0.75.false_alarms_per_sampled_center_ns,3.529721001839961
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,120
timing.3.0.detected_window_timing_mae_ps,0.7446259254577535
timing.3.0.detected_window_timing_bias_ps,-0.28520587715759615
timing.3.0.timed_within_3ps_recall,0.5620437956204379
timing.3.0.alarm_episodes,613
timing.3.0.false_alarm_episodes,533
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,80
timing.3.0.missed_event_centers,194
timing.3.0.event_recall,0.291970802919708
timing.3.0.false_alarms_per_sampled_center_ns,4.002853816980211
timing.3.0.mean_detected_lead_ps,1.78125
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,549
timing.9.0.detected_window_timing_mae_ps,2.009569862894076
timing.9.0.detected_window_timing_bias_ps,-0.15585156113744675
timing.9.0.timed_within_3ps_recall,0.33880903490759756
timing.9.0.alarm_episodes,1086
timing.9.0.false_alarm_episodes,899
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,187
timing.9.0.missed_event_centers,191
timing.9.0.event_recall,0.4947089947089947
timing.9.0.false_alarms_per_sampled_center_ns,6.751530171604521
timing.9.0.mean_detected_lead_ps,4.2032085561497325
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1879
timing.24.0.detected_window_timing_mae_ps,5.41143212274014
timing.24.0.detected_window_timing_bias_ps,0.0500694997418179
timing.24.0.timed_within_3ps_recall,0.09608047173083593
timing.24.0.alarm_episodes,1994
timing.24.0.false_alarm_episodes,1689
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,248
timing.24.0.missed_event_centers,149
timing.24.0.event_recall,0.6246851385390428
timing.24.0.false_alarms_per_sampled_center_ns,12.684465472569562
timing.24.0.mean_detected_lead_ps,10.75100806451613
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,4026
timing.48.0.detected_window_timing_mae_ps,11.067968830016273
timing.48.0.detected_window_timing_bias_ps,-0.7851960868722192
timing.48.0.timed_within_3ps_recall,0.04572663784502827
timing.48.0.alarm_episodes,2141
timing.48.0.false_alarm_episodes,1641
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,261
timing.48.0.missed_event_centers,141
timing.48.0.event_recall,0.6492537313432836
timing.48.0.false_alarms_per_sampled_center_ns,12.3239833277008
timing.48.0.mean_detected_lead_ps,26.50862068965517
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,10218
timing.96.0.detected_window_timing_mae_ps,21.715252977505738
timing.96.0.detected_window_timing_bias_ps,-3.0754525210577097
timing.96.0.timed_within_3ps_recall,0.012369093757730683
timing.96.0.alarm_episodes,2089
timing.96.0.false_alarm_episodes,1286
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,228
timing.96.0.missed_event_centers,181
timing.96.0.event_recall,0.5574572127139364
timing.96.0.false_alarms_per_sampled_center_ns,9.657917464608914
timing.96.0.mean_detected_lead_ps,61.713815789473685
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.007049018440668739
spatial.0.75.sampled_center_jaccard,0.03613053613053613
spatial.0.75.nearby_pair_difference_rmse,0.03937399804225435
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.0265684814726281
spatial.3.0.sampled_center_jaccard,0.08362068965517241
spatial.3.0.nearby_pair_difference_rmse,0.08368879653424259
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07275578395831502
spatial.9.0.sampled_center_jaccard,0.11524441635061104
spatial.9.0.nearby_pair_difference_rmse,0.14997910988171698
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.15819575758977478
spatial.24.0.sampled_center_jaccard,0.129260631377788
spatial.24.0.nearby_pair_difference_rmse,0.239068286914992
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.24891096333573257
spatial.48.0.sampled_center_jaccard,0.16809059136315382
spatial.48.0.nearby_pair_difference_rmse,0.3016181138104842
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3330128686112411
spatial.96.0.sampled_center_jaccard,0.12914364122919764
spatial.96.0.nearby_pair_difference_rmse,0.3635349760670119
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1151834465571733
best_selection_nll,1.0540143745948354
