metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.014344076533285614
classification.0.75.brier,0.0024192004376772103
classification.0.75.average_precision,0.0324902301327976
classification.0.75.threshold,0.015025019645690918
classification.0.75.recall,0.5740105255403907
classification.0.75.false_positive_rate,0.04020600394419887
classification.0.75.precision,0.03402507052654311
classification.0.75.auroc,0.9262556641899923
classification.0.75.f1,0.06424212247053998
classification.0.75.balanced_accuracy,0.766902260798096
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0014250846960221694
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.04447181917628166
classification.3.0.brier,0.008567804478927408
classification.3.0.average_precision,0.05949340637654523
classification.3.0.threshold,0.04935206472873688
classification.3.0.recall,0.3430508430773183
classification.3.0.false_positive_rate,0.040425823919414815
classification.3.0.precision,0.07039749347363124
classification.3.0.auroc,0.8501527412151942
classification.3.0.f1,0.1168219453396359
classification.3.0.balanced_accuracy,0.6513125095789517
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.005557274669257764
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.13217827141609492
classification.9.0.brier,0.029633677993724173
classification.9.0.average_precision,0.09132777956100772
classification.9.0.threshold,0.09932798892259598
classification.9.0.recall,0.187222627079209
classification.9.0.false_positive_rate,0.03969696599770289
classification.9.0.precision,0.13202243618704312
classification.9.0.auroc,0.7219665416529658
classification.9.0.f1,0.15485024002216652
classification.9.0.balanced_accuracy,0.573762830540753
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.013473828097607263
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.30577183355246196
classification.24.0.brier,0.08297791685844332
classification.24.0.average_precision,0.14042251294523783
classification.24.0.threshold,0.18235179781913757
classification.24.0.recall,0.11663427027707184
classification.24.0.false_positive_rate,0.043344676397002235
classification.24.0.precision,0.2125765987056046
classification.24.0.auroc,0.6071436241144492
classification.24.0.f1,0.1506251391069036
classification.24.0.balanced_accuracy,0.5366447969400349
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.036133247018586376
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.49368565053667735
classification.48.0.brier,0.15676232367453138
classification.48.0.average_precision,0.21600837794851618
classification.48.0.threshold,0.32637912034988403
classification.48.0.recall,0.06651806246027789
classification.48.0.false_positive_rate,0.047297569392969495
classification.48.0.precision,0.24611792263250482
classification.48.0.auroc,0.5567362406015417
classification.48.0.f1,0.10473066525214104
classification.48.0.balanced_accuracy,0.5096102465336542
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.06895736166868702
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6798337035445505
classification.96.0.brier,0.24358403771295045
classification.96.0.average_precision,0.3858503387194378
classification.96.0.threshold,0.5889499187469482
classification.96.0.recall,0.05382670757774177
classification.96.0.false_positive_rate,0.05369721255871206
classification.96.0.precision,0.36808488002248424
classification.96.0.auroc,0.5508154840158427
classification.96.0.f1,0.09391918962667432
classification.96.0.balanced_accuracy,0.5000647475095148
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.11139227948279219
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,27
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.6029411764705882
timing.0.75.alarm_episodes,499
timing.0.75.false_alarm_episodes,470
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,29
timing.0.75.missed_event_centers,39
timing.0.75.event_recall,0.4264705882352941
timing.0.75.false_alarms_per_sampled_center_ns,3.529721001839961
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,177
timing.3.0.detected_window_timing_mae_ps,0.7841789356996635
timing.3.0.detected_window_timing_bias_ps,-0.3442237105142273
timing.3.0.timed_within_3ps_recall,0.354014598540146
timing.3.0.alarm_episodes,429
timing.3.0.false_alarm_episodes,361
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,68
timing.3.0.missed_event_centers,206
timing.3.0.event_recall,0.24817518248175183
timing.3.0.false_alarms_per_sampled_center_ns,2.7111261312004804
timing.3.0.mean_detected_lead_ps,1.6544117647058822
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,782
timing.9.0.detected_window_timing_mae_ps,2.078886325108215
timing.9.0.detected_window_timing_bias_ps,-0.4116647621333005
timing.9.0.timed_within_3ps_recall,0.1601642710472279
timing.9.0.alarm_episodes,505
timing.9.0.false_alarm_episodes,378
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,127
timing.9.0.missed_event_centers,251
timing.9.0.event_recall,0.335978835978836
timing.9.0.false_alarms_per_sampled_center_ns,2.8387968908415004
timing.9.0.mean_detected_lead_ps,3.7263779527559056
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2553
timing.24.0.detected_window_timing_mae_ps,5.608773721885987
timing.24.0.detected_window_timing_bias_ps,0.2001126137092641
timing.24.0.timed_within_3ps_recall,0.027402011793270897
timing.24.0.alarm_episodes,922
timing.24.0.false_alarm_episodes,722
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,168
timing.24.0.missed_event_centers,229
timing.24.0.event_recall,0.42317380352644834
timing.24.0.false_alarms_per_sampled_center_ns,5.422252262400961
timing.24.0.mean_detected_lead_ps,8.71875
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,5640
timing.48.0.detected_window_timing_mae_ps,10.99776947178051
timing.48.0.detected_window_timing_bias_ps,-0.12224371930910614
timing.48.0.timed_within_3ps_recall,0.0068174260059860325
timing.48.0.alarm_episodes,1580
timing.48.0.false_alarm_episodes,1300
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,182
timing.48.0.missed_event_centers,220
timing.48.0.event_recall,0.4527363184079602
timing.48.0.false_alarms_per_sampled_center_ns,9.763058090195637
timing.48.0.mean_detected_lead_ps,25.907967032967033
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,11560
timing.96.0.detected_window_timing_mae_ps,24.37964584247385
timing.96.0.detected_window_timing_bias_ps,-5.787547261040422
timing.96.0.timed_within_3ps_recall,0.0027212006267007503
timing.96.0.alarm_episodes,1622
timing.96.0.false_alarm_episodes,1189
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,185
timing.96.0.missed_event_centers,224
timing.96.0.event_recall,0.45232273838630804
timing.96.0.false_alarms_per_sampled_center_ns,8.929443130186625
timing.96.0.mean_detected_lead_ps,66.93243243243244
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.009199960611909159
spatial.0.75.sampled_center_jaccard,0.02946051838456902
spatial.0.75.nearby_pair_difference_rmse,0.039907051247992674
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.03129984074707904
spatial.3.0.sampled_center_jaccard,0.06020551801801802
spatial.3.0.nearby_pair_difference_rmse,0.08466395689473911
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07709085512217582
spatial.9.0.sampled_center_jaccard,0.07850907420169997
spatial.9.0.nearby_pair_difference_rmse,0.15164962443299643
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.16501892904914536
spatial.24.0.sampled_center_jaccard,0.07066502751434257
spatial.24.0.nearby_pair_difference_rmse,0.23768465777299
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.26448565259208695
spatial.48.0.sampled_center_jaccard,0.03879526866510708
spatial.48.0.nearby_pair_difference_rmse,0.301612507260264
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3640196660247193
spatial.96.0.sampled_center_jaccard,0.027392278178291894
spatial.96.0.nearby_pair_difference_rmse,0.36782670469637074
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1340017077514282
best_selection_nll,1.1173316877123813
