metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.014236716063677511
classification.0.75.brier,0.002414077015804817
classification.0.75.average_precision,0.03711841245181407
classification.0.75.threshold,0.015439765527844429
classification.0.75.recall,0.5801196502351506
classification.0.75.false_positive_rate,0.04029239604134811
classification.0.75.precision,0.03430357170933534
classification.0.75.auroc,0.9285011859092658
classification.0.75.f1,0.06477677050960823
classification.0.75.balanced_accuracy,0.7699136270969013
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0014686910442726444
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.044200832234629464
classification.3.0.brier,0.008531675262385437
classification.3.0.average_precision,0.06871415833622528
classification.3.0.threshold,0.05012756958603859
classification.3.0.recall,0.3580889051918795
classification.3.0.false_positive_rate,0.0412304185665701
classification.3.0.precision,0.07193062941310127
classification.3.0.auroc,0.8521598736845004
classification.3.0.f1,0.11979716391238518
classification.3.0.balanced_accuracy,0.6584292433126547
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0057576983577977804
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.1317967872012542
classification.9.0.brier,0.029551757938314095
classification.9.0.average_precision,0.0963281837695677
classification.9.0.threshold,0.09943866729736328
classification.9.0.recall,0.20137586528156903
classification.9.0.false_positive_rate,0.040758200854542535
classification.9.0.precision,0.1374418578284672
classification.9.0.auroc,0.7229971085208661
classification.9.0.f1,0.1633767725729347
classification.9.0.balanced_accuracy,0.5803088322135133
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.014138366592493679
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.3054638510779833
classification.24.0.brier,0.08287664872323847
classification.24.0.average_precision,0.14535043780279558
classification.24.0.threshold,0.18273167312145233
classification.24.0.recall,0.12217656134989116
classification.24.0.false_positive_rate,0.043400149854113446
classification.24.0.precision,0.2202313592553577
classification.24.0.auroc,0.6089289820324713
classification.24.0.f1,0.15716406400687488
classification.24.0.balanced_accuracy,0.5393882057478888
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03706458343342594
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4934027926857902
classification.48.0.brier,0.15664782862794
classification.48.0.average_precision,0.21918675268436616
classification.48.0.threshold,0.3261980414390564
classification.48.0.recall,0.0693337085432316
classification.48.0.false_positive_rate,0.04837404098834772
classification.48.0.precision,0.24965148090761607
classification.48.0.auroc,0.5596368359478137
classification.48.0.f1,0.1085270638704809
classification.48.0.balanced_accuracy,0.5104798337774419
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.0689677354138426
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6794570533739276
classification.96.0.brier,0.24342624184774855
classification.96.0.average_precision,0.38703045227340743
classification.96.0.threshold,0.5875467658042908
classification.96.0.recall,0.05333572955068695
classification.96.0.false_positive_rate,0.05232261783609841
classification.96.0.precision,0.3719938871049889
classification.96.0.auroc,0.5516244030317732
classification.96.0.f1,0.09329500970633006
classification.96.0.balanced_accuracy,0.5005065558572943
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.11156977618353559
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,26
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.6176470588235294
timing.0.75.alarm_episodes,539
timing.0.75.false_alarm_episodes,509
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,30
timing.0.75.missed_event_centers,38
timing.0.75.event_recall,0.4411764705882353
timing.0.75.false_alarms_per_sampled_center_ns,3.82261274454583
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,172
timing.3.0.detected_window_timing_mae_ps,0.772548525605272
timing.3.0.detected_window_timing_bias_ps,-0.3301670665748284
timing.3.0.timed_within_3ps_recall,0.3722627737226277
timing.3.0.alarm_episodes,477
timing.3.0.false_alarm_episodes,406
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,71
timing.3.0.missed_event_centers,203
timing.3.0.event_recall,0.2591240875912409
timing.3.0.false_alarms_per_sampled_center_ns,3.049078142014945
timing.3.0.mean_detected_lead_ps,1.6267605633802817
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,769
timing.9.0.detected_window_timing_mae_ps,2.0586242248392184
timing.9.0.detected_window_timing_bias_ps,-0.47428812302343415
timing.9.0.timed_within_3ps_recall,0.16940451745379878
timing.9.0.alarm_episodes,549
timing.9.0.false_alarm_episodes,414
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,135
timing.9.0.missed_event_centers,243
timing.9.0.event_recall,0.35714285714285715
timing.9.0.false_alarms_per_sampled_center_ns,3.109158499493072
timing.9.0.mean_detected_lead_ps,3.688888888888889
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2531
timing.24.0.detected_window_timing_mae_ps,5.634167980737567
timing.24.0.detected_window_timing_bias_ps,0.16762525704008205
timing.24.0.timed_within_3ps_recall,0.030176899063475548
timing.24.0.alarm_episodes,974
timing.24.0.false_alarm_episodes,764
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,178
timing.24.0.missed_event_centers,219
timing.24.0.event_recall,0.44836272040302266
timing.24.0.false_alarms_per_sampled_center_ns,5.737674139161128
timing.24.0.mean_detected_lead_ps,8.688202247191011
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,5624
timing.48.0.detected_window_timing_mae_ps,11.070536184849576
timing.48.0.detected_window_timing_bias_ps,-0.006450133078471454
timing.48.0.timed_within_3ps_recall,0.007149983372131693
timing.48.0.alarm_episodes,1578
timing.48.0.false_alarm_episodes,1289
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,185
timing.48.0.missed_event_centers,217
timing.48.0.event_recall,0.4601990049751244
timing.48.0.false_alarms_per_sampled_center_ns,9.680447598663212
timing.48.0.mean_detected_lead_ps,26.36756756756757
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,11572
timing.96.0.detected_window_timing_mae_ps,24.738868887207524
timing.96.0.detected_window_timing_bias_ps,-6.487284193293678
timing.96.0.timed_within_3ps_recall,0.0024738187515461365
timing.96.0.alarm_episodes,1550
timing.96.0.false_alarm_episodes,1132
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,178
timing.96.0.missed_event_centers,231
timing.96.0.event_recall,0.4352078239608802
timing.96.0.false_alarms_per_sampled_center_ns,8.50137058315497
timing.96.0.mean_detected_lead_ps,67.67275280898876
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.009205491423486943
spatial.0.75.sampled_center_jaccard,0.029468815279021187
spatial.0.75.nearby_pair_difference_rmse,0.03989002566650745
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.03125981014473142
spatial.3.0.sampled_center_jaccard,0.06279587858535227
spatial.3.0.nearby_pair_difference_rmse,0.08458250686505021
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07689847574651557
spatial.9.0.sampled_center_jaccard,0.08189733152419718
spatial.9.0.nearby_pair_difference_rmse,0.15158891539678782
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.16469729471628428
spatial.24.0.sampled_center_jaccard,0.07567491895078103
spatial.24.0.nearby_pair_difference_rmse,0.2377254855436691
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.2639827556948624
spatial.48.0.sampled_center_jaccard,0.04342494872526249
spatial.48.0.nearby_pair_difference_rmse,0.3015651131949143
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.36342626273783746
spatial.96.0.sampled_center_jaccard,0.027670882893683815
spatial.96.0.nearby_pair_difference_rmse,0.3675726135327953
spatial.96.0.nearby_pairs,16736
test_event_nll,1.133463098636569
best_selection_nll,1.116750857266463
