metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.01153627005231616
classification.0.75.brier,0.002334963663350805
classification.0.75.average_precision,0.09696089282177758
classification.0.75.threshold,0.009087643586099148
classification.0.75.recall,0.7610504694787018
classification.0.75.false_positive_rate,0.04355695135554649
classification.0.75.precision,0.04132671108907261
classification.0.75.auroc,0.9592814473514083
classification.0.75.f1,0.0783963294023234
classification.0.75.balanced_accuracy,0.8587467590615777
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0005221646615869041
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.03704775636018209
classification.3.0.brier,0.008052910555898308
classification.3.0.average_precision,0.14081595184514853
classification.3.0.threshold,0.032230909913778305
classification.3.0.recall,0.6129511186673073
classification.3.0.false_positive_rate,0.04990211729559008
classification.3.0.precision,0.09878593802942523
classification.3.0.auroc,0.903370542958872
classification.3.0.f1,0.1701497783598921
classification.3.0.balanced_accuracy,0.7815245006858587
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.001712227570676094
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.1173277220171
classification.9.0.brier,0.027485349496921888
classification.9.0.average_precision,0.2004737718883345
classification.9.0.threshold,0.08413408696651459
classification.9.0.recall,0.45595058648389397
classification.9.0.false_positive_rate,0.06423515712693655
classification.9.0.precision,0.18627719823956546
classification.9.0.auroc,0.7927109686741164
classification.9.0.f1,0.2644955568917914
classification.9.0.balanced_accuracy,0.6958577146784787
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.009535999625875516
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.2881170742448101
classification.24.0.brier,0.07954402621037417
classification.24.0.average_precision,0.22553215803447807
classification.24.0.threshold,0.20192185044288635
classification.24.0.recall,0.32302330683790503
classification.24.0.false_positive_rate,0.10802441488825473
classification.24.0.precision,0.23077225807555143
classification.24.0.auroc,0.6823354916540534
classification.24.0.f1,0.26921421063263457
classification.24.0.balanced_accuracy,0.6074994459748252
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.034972751423374256
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.47692427207414423
classification.48.0.brier,0.1538584692697122
classification.48.0.average_precision,0.3098883220340626
classification.48.0.threshold,0.38585877418518066
classification.48.0.recall,0.2759408438809889
classification.48.0.false_positive_rate,0.12613905163406072
classification.48.0.precision,0.33678864186843194
classification.48.0.auroc,0.6421649130095257
classification.48.0.f1,0.303343463006489
classification.48.0.balanced_accuracy,0.5749008961234638
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.09346120944740677
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6736374617408565
classification.96.0.brier,0.24370706454936092
classification.96.0.average_precision,0.47530766011955833
classification.96.0.threshold,0.6878923773765564
classification.96.0.recall,0.1694374642157493
classification.96.0.false_positive_rate,0.08536177186381726
classification.96.0.precision,0.5356233796468242
classification.96.0.auroc,0.6249062802509615
classification.96.0.f1,0.2574378311092734
classification.96.0.balanced_accuracy,0.5420378461759661
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.16023922976193114
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,18
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.7352941176470589
timing.0.75.alarm_episodes,577
timing.0.75.false_alarm_episodes,551
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,26
timing.0.75.missed_event_centers,42
timing.0.75.event_recall,0.38235294117647056
timing.0.75.false_alarms_per_sampled_center_ns,4.138034621305997
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,111
timing.3.0.detected_window_timing_mae_ps,0.7360652075850792
timing.3.0.detected_window_timing_bias_ps,-0.28395691897656855
timing.3.0.timed_within_3ps_recall,0.5948905109489051
timing.3.0.alarm_episodes,720
timing.3.0.false_alarm_episodes,635
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,85
timing.3.0.missed_event_centers,189
timing.3.0.event_recall,0.3102189781021898
timing.3.0.false_alarms_per_sampled_center_ns,4.76887837482633
timing.3.0.mean_detected_lead_ps,1.7470588235294118
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,539
timing.9.0.detected_window_timing_mae_ps,2.0404525213832025
timing.9.0.detected_window_timing_bias_ps,0.012902771437236943
timing.9.0.timed_within_3ps_recall,0.3459958932238193
timing.9.0.alarm_episodes,1297
timing.9.0.false_alarm_episodes,1102
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,195
timing.9.0.missed_event_centers,183
timing.9.0.event_recall,0.5158730158730159
timing.9.0.false_alarms_per_sampled_center_ns,8.276069242611994
timing.9.0.mean_detected_lead_ps,4.2846153846153845
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1841
timing.24.0.detected_window_timing_mae_ps,5.461805525987858
timing.24.0.detected_window_timing_bias_ps,0.07573383923235477
timing.24.0.timed_within_3ps_recall,0.09885535900104059
timing.24.0.alarm_episodes,2080
timing.24.0.false_alarm_episodes,1769
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,248
timing.24.0.missed_event_centers,149
timing.24.0.event_recall,0.6246851385390428
timing.24.0.false_alarms_per_sampled_center_ns,13.285269047350832
timing.24.0.mean_detected_lead_ps,10.899193548387096
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,4051
timing.48.0.detected_window_timing_mae_ps,11.099670884121247
timing.48.0.detected_window_timing_bias_ps,-0.4832404499562287
timing.48.0.timed_within_3ps_recall,0.045061523112736944
timing.48.0.alarm_episodes,2153
timing.48.0.false_alarm_episodes,1645
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,272
timing.48.0.missed_event_centers,130
timing.48.0.event_recall,0.6766169154228856
timing.48.0.false_alarms_per_sampled_center_ns,12.354023506439864
timing.48.0.mean_detected_lead_ps,26.015625
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,9981
timing.96.0.detected_window_timing_mae_ps,22.189590976580018
timing.96.0.detected_window_timing_bias_ps,-2.230332191475884
timing.96.0.timed_within_3ps_recall,0.013111239383194525
timing.96.0.alarm_episodes,2170
timing.96.0.false_alarm_episodes,1303
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,246
timing.96.0.missed_event_centers,163
timing.96.0.event_recall,0.6014669926650367
timing.96.0.false_alarms_per_sampled_center_ns,9.785588224249935
timing.96.0.mean_detected_lead_ps,60.3109756097561
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.006591112235286645
spatial.0.75.sampled_center_jaccard,0.03622902270483712
spatial.0.75.nearby_pair_difference_rmse,0.039257625119887035
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.02480344668628288
spatial.3.0.sampled_center_jaccard,0.07943454686289697
spatial.3.0.nearby_pair_difference_rmse,0.08370811446944902
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.0711247829184816
spatial.9.0.sampled_center_jaccard,0.10611415728116971
spatial.9.0.nearby_pair_difference_rmse,0.14973292567822036
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.15598730433482452
spatial.24.0.sampled_center_jaccard,0.12684300219829936
spatial.24.0.nearby_pair_difference_rmse,0.23862740640578045
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.24665990183331016
spatial.48.0.sampled_center_jaccard,0.1662471999458847
spatial.48.0.nearby_pair_difference_rmse,0.30175441198024777
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3327348529802921
spatial.96.0.sampled_center_jaccard,0.15565432037917806
spatial.96.0.nearby_pair_difference_rmse,0.36375113840112283
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1166575525464773
best_selection_nll,1.0527828867150866
