metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.011696232395367531
classification.0.75.brier,0.00234868728480876
classification.0.75.average_precision,0.08091408532711826
classification.0.75.threshold,0.010199923068284988
classification.0.75.recall,0.7408342270181576
classification.0.75.false_positive_rate,0.04950745411020796
classification.0.75.precision,0.03560489239981292
classification.0.75.auroc,0.9612297932562016
classification.0.75.f1,0.06794434303839014
classification.0.75.balanced_accuracy,0.8456633864539749
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.00021570557996577637
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.037350937257165866
classification.3.0.brier,0.008132275198976751
classification.3.0.average_precision,0.130731963911478
classification.3.0.threshold,0.03653213381767273
classification.3.0.recall,0.6380849181601271
classification.3.0.false_positive_rate,0.052460694403480605
classification.3.0.precision,0.09791560550100328
classification.3.0.auroc,0.896997236164813
classification.3.0.f1,0.16977833334116846
classification.3.0.balanced_accuracy,0.7928121118783233
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0022494084315159623
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.11837682724724957
classification.9.0.brier,0.02777981257250627
classification.9.0.average_precision,0.17959345949521424
classification.9.0.threshold,0.09536478668451309
classification.9.0.recall,0.4402496585245438
classification.9.0.false_positive_rate,0.05707666889896686
classification.9.0.precision,0.19920490827555362
classification.9.0.auroc,0.7875085843338512
classification.9.0.f1,0.27429593093246846
classification.9.0.balanced_accuracy,0.6915864948127883
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.011309079702033886
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.28822296189869234
classification.24.0.brier,0.07940247346473883
classification.24.0.average_precision,0.21664259035647487
classification.24.0.threshold,0.2056596875190735
classification.24.0.recall,0.274174818255147
classification.24.0.false_positive_rate,0.07078602605991798
classification.24.0.precision,0.2798474065986692
classification.24.0.auroc,0.6772705175011708
classification.24.0.f1,0.2769820718423688
classification.24.0.balanced_accuracy,0.6016943960976145
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03068625046639681
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.474713831723185
classification.48.0.brier,0.1520838061311854
classification.48.0.average_precision,0.30202581186124555
classification.48.0.threshold,0.3808966279029846
classification.48.0.recall,0.20460964893924605
classification.48.0.false_positive_rate,0.08135893813247996
classification.48.0.precision,0.36860489794643464
classification.48.0.auroc,0.6327421636849332
classification.48.0.f1,0.263147958040737
classification.48.0.balanced_accuracy,0.5616253554033829
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.07504821573826913
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6705130083924228
classification.96.0.brier,0.24142010839252823
classification.96.0.average_precision,0.4683917803405766
classification.96.0.threshold,0.6837557554244995
classification.96.0.recall,0.12991033074889743
classification.96.0.false_positive_rate,0.06848254348013848
classification.96.0.precision,0.5243346048087208
classification.96.0.auroc,0.6186238910438763
classification.96.0.f1,0.20822929833071502
classification.96.0.balanced_accuracy,0.5307138936343795
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.1420273161567355
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,16
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.7647058823529411
timing.0.75.alarm_episodes,749
timing.0.75.false_alarm_episodes,721
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,28
timing.0.75.missed_event_centers,40
timing.0.75.event_recall,0.4117647058823529
timing.0.75.false_alarms_per_sampled_center_ns,5.414742217716196
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,97
timing.3.0.detected_window_timing_mae_ps,0.7739921098213339
timing.3.0.detected_window_timing_bias_ps,-0.3845610188910876
timing.3.0.timed_within_3ps_recall,0.6459854014598541
timing.3.0.alarm_episodes,833
timing.3.0.false_alarm_episodes,739
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,94
timing.3.0.missed_event_centers,180
timing.3.0.event_recall,0.34306569343065696
timing.3.0.false_alarms_per_sampled_center_ns,5.549923022041981
timing.3.0.mean_detected_lead_ps,1.7632978723404256
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,535
timing.9.0.detected_window_timing_mae_ps,2.0086237814299572
timing.9.0.detected_window_timing_bias_ps,-0.3378517285659259
timing.9.0.timed_within_3ps_recall,0.35523613963039014
timing.9.0.alarm_episodes,1096
timing.9.0.false_alarm_episodes,895
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,201
timing.9.0.missed_event_centers,177
timing.9.0.event_recall,0.5317460317460317
timing.9.0.false_alarms_per_sampled_center_ns,6.7214899928654575
timing.9.0.mean_detected_lead_ps,4.108208955223881
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2049
timing.24.0.detected_window_timing_mae_ps,5.383503997127413
timing.24.0.detected_window_timing_bias_ps,0.006828203096197192
timing.24.0.timed_within_3ps_recall,0.07769684356573014
timing.24.0.alarm_episodes,1758
timing.24.0.false_alarm_episodes,1428
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,279
timing.24.0.missed_event_centers,118
timing.24.0.event_recall,0.7027707808564232
timing.24.0.false_alarms_per_sampled_center_ns,10.724343809845669
timing.24.0.mean_detected_lead_ps,10.018817204301076
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,4676
timing.48.0.detected_window_timing_mae_ps,11.263321944829102
timing.48.0.detected_window_timing_bias_ps,-0.20423561036466117
timing.48.0.timed_within_3ps_recall,0.02810109743930828
timing.48.0.alarm_episodes,2126
timing.48.0.false_alarm_episodes,1588
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,291
timing.48.0.missed_event_centers,111
timing.48.0.event_recall,0.7238805970149254
timing.48.0.false_alarms_per_sampled_center_ns,11.925950959408208
timing.48.0.mean_detected_lead_ps,25.373711340206185
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,10560
timing.96.0.detected_window_timing_mae_ps,22.75785795450112
timing.96.0.detected_window_timing_bias_ps,-2.5987112152544323
timing.96.0.timed_within_3ps_recall,0.008740826255463017
timing.96.0.alarm_episodes,2050
timing.96.0.false_alarm_episodes,1249
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,247
timing.96.0.missed_event_centers,162
timing.96.0.event_recall,0.6039119804400978
timing.96.0.false_alarms_per_sampled_center_ns,9.380045811272577
timing.96.0.mean_detected_lead_ps,55.86740890688259
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.008293554553279901
spatial.0.75.sampled_center_jaccard,0.028641289981496166
spatial.0.75.nearby_pair_difference_rmse,0.03950598662437112
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.02776725489598781
spatial.3.0.sampled_center_jaccard,0.074925132457959
spatial.3.0.nearby_pair_difference_rmse,0.08348613332227162
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07171674172392559
spatial.9.0.sampled_center_jaccard,0.12326709435143168
spatial.9.0.nearby_pair_difference_rmse,0.1500349268531343
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.15193966098710945
spatial.24.0.sampled_center_jaccard,0.1298288495869141
spatial.24.0.nearby_pair_difference_rmse,0.2391127576491214
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.24078379475495068
spatial.48.0.sampled_center_jaccard,0.15407691782089855
spatial.48.0.nearby_pair_difference_rmse,0.3022341601867791
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.33030053817790633
spatial.96.0.sampled_center_jaccard,0.14494155439795306
spatial.96.0.nearby_pair_difference_rmse,0.3619896602990432
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1161474677205416
best_selection_nll,1.0509283101929554
