metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.014052664723931853
classification.0.75.brier,0.0024049040524589905
classification.0.75.average_precision,0.049980445719591794
classification.0.75.threshold,0.01532974373549223
classification.0.75.recall,0.6283404156163418
classification.0.75.false_positive_rate,0.04314815560379794
classification.0.75.precision,0.03468225155051858
classification.0.75.auroc,0.9324869214044782
classification.0.75.f1,0.06573609450453068
classification.0.75.balanced_accuracy,0.792596130006272
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0015261789425905928
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.04386446643452842
classification.3.0.brier,0.008474185417891076
classification.3.0.average_precision,0.07707237041744541
classification.3.0.threshold,0.04973148554563522
classification.3.0.recall,0.43436843117461066
classification.3.0.false_positive_rate,0.043536020334770865
classification.3.0.precision,0.0817574330990244
classification.3.0.auroc,0.8521972934973991
classification.3.0.f1,0.13761313047957827
classification.3.0.balanced_accuracy,0.6954162054199199
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.00598107128641639
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.13146614288745231
classification.9.0.brier,0.02943677860894529
classification.9.0.average_precision,0.10472803496350933
classification.9.0.threshold,0.09791488945484161
classification.9.0.recall,0.24369350740470075
classification.9.0.false_positive_rate,0.04196899150501283
classification.9.0.precision,0.15772714831096818
classification.9.0.auroc,0.7193955213473138
classification.9.0.f1,0.19150525234589175
classification.9.0.balanced_accuracy,0.6008622579498439
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.01638789773397732
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.30513787997841885
classification.24.0.brier,0.0827424309303002
classification.24.0.average_precision,0.15407432896824014
classification.24.0.threshold,0.18060514330863953
classification.24.0.recall,0.13945139517832134
classification.24.0.false_positive_rate,0.04652226519047541
classification.24.0.precision,0.23120175209067884
classification.24.0.auroc,0.6090331142317822
classification.24.0.f1,0.17397077097159222
classification.24.0.balanced_accuracy,0.5464645649939229
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03958119549639947
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4930526245918756
classification.48.0.brier,0.15651336931775678
classification.48.0.average_precision,0.22370583661519836
classification.48.0.threshold,0.3244212567806244
classification.48.0.recall,0.07461962423269418
classification.48.0.false_positive_rate,0.05270822781672265
classification.48.0.precision,0.24734779202134327
classification.48.0.auroc,0.562655896042357
classification.48.0.f1,0.11465134894803364
classification.48.0.balanced_accuracy,0.5109556982079857
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.06937396931761414
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6790769115878905
classification.96.0.brier,0.24328373623186902
classification.96.0.average_precision,0.3874347580327713
classification.96.0.threshold,0.5864382982254028
classification.96.0.recall,0.05418814592099293
classification.96.0.false_positive_rate,0.05247029052063635
classification.96.0.precision,0.37504464749102157
classification.96.0.auroc,0.552264362678002
classification.96.0.f1,0.09469441476538393
classification.96.0.balanced_accuracy,0.5008589277001784
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.11189655454759592
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,25
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.6323529411764706
timing.0.75.alarm_episodes,619
timing.0.75.false_alarm_episodes,590
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,29
timing.0.75.missed_event_centers,39
timing.0.75.event_recall,0.4264705882352941
timing.0.75.false_alarms_per_sampled_center_ns,4.4309263640118655
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,152
timing.3.0.detected_window_timing_mae_ps,0.7862146740476568
timing.3.0.detected_window_timing_bias_ps,-0.3491914264182438
timing.3.0.timed_within_3ps_recall,0.44525547445255476
timing.3.0.alarm_episodes,577
timing.3.0.false_alarm_episodes,492
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,85
timing.3.0.missed_event_centers,189
timing.3.0.event_recall,0.3102189781021898
timing.3.0.false_alarms_per_sampled_center_ns,3.69494198490481
timing.3.0.mean_detected_lead_ps,1.6852941176470588
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,729
timing.9.0.detected_window_timing_mae_ps,2.0373411479581947
timing.9.0.detected_window_timing_bias_ps,-0.5114372719789789
timing.9.0.timed_within_3ps_recall,0.2032854209445585
timing.9.0.alarm_episodes,668
timing.9.0.false_alarm_episodes,508
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,160
timing.9.0.missed_event_centers,218
timing.9.0.event_recall,0.42328042328042326
timing.9.0.false_alarms_per_sampled_center_ns,3.815102699861064
timing.9.0.mean_detected_lead_ps,3.88125
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2482
timing.24.0.detected_window_timing_mae_ps,5.630117818165148
timing.24.0.detected_window_timing_bias_ps,0.16671680417758147
timing.24.0.timed_within_3ps_recall,0.03364550815123136
timing.24.0.alarm_episodes,1115
timing.24.0.false_alarm_episodes,874
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,207
timing.24.0.missed_event_centers,190
timing.24.0.event_recall,0.5214105793450882
timing.24.0.false_alarms_per_sampled_center_ns,6.563779054485374
timing.24.0.mean_detected_lead_ps,8.358695652173912
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,5594
timing.48.0.detected_window_timing_mae_ps,11.372187604746951
timing.48.0.detected_window_timing_bias_ps,0.10477109889092616
timing.48.0.timed_within_3ps_recall,0.007316262055204523
timing.48.0.alarm_episodes,1664
timing.48.0.false_alarm_episodes,1358
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,187
timing.48.0.missed_event_centers,215
timing.48.0.event_recall,0.4651741293532338
timing.48.0.false_alarms_per_sampled_center_ns,10.198640681912057
timing.48.0.mean_detected_lead_ps,26.406417112299465
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,11573
timing.96.0.detected_window_timing_mae_ps,24.546279623477293
timing.96.0.detected_window_timing_bias_ps,-6.658575747073128
timing.96.0.timed_within_3ps_recall,0.0024738187515461365
timing.96.0.alarm_episodes,1545
timing.96.0.false_alarm_episodes,1119
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,176
timing.96.0.missed_event_centers,233
timing.96.0.event_recall,0.43031784841075793
timing.96.0.false_alarms_per_sampled_center_ns,8.403740002253013
timing.96.0.mean_detected_lead_ps,68.9190340909091
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.009227721426578413
spatial.0.75.sampled_center_jaccard,0.02868150684931507
spatial.0.75.nearby_pair_difference_rmse,0.03981838229352033
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.031112090621897803
spatial.3.0.sampled_center_jaccard,0.07346029173419773
spatial.3.0.nearby_pair_difference_rmse,0.08450973173276712
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07642945698156538
spatial.9.0.sampled_center_jaccard,0.09650537634408601
spatial.9.0.nearby_pair_difference_rmse,0.15156443490581145
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.16408201845966594
spatial.24.0.sampled_center_jaccard,0.08447466896948762
spatial.24.0.nearby_pair_difference_rmse,0.2377260219030881
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.26326778289736946
spatial.48.0.sampled_center_jaccard,0.04846989760091364
spatial.48.0.nearby_pair_difference_rmse,0.30145079310158285
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.36271532518262156
spatial.96.0.sampled_center_jaccard,0.027514923765406953
spatial.96.0.nearby_pair_difference_rmse,0.3673315403444818
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1332164510863707
best_selection_nll,1.1155820066218767
