metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.011566512254174977
classification.0.75.brier,0.0023334395203000726
classification.0.75.average_precision,0.0944620277726683
classification.0.75.threshold,0.008884618058800697
classification.0.75.recall,0.7144709642615737
classification.0.75.false_positive_rate,0.044696865452078
classification.0.75.precision,0.037941393663009644
classification.0.75.auroc,0.9578129101032116
classification.0.75.f1,0.0720562968705402
classification.0.75.balanced_accuracy,0.834887049404748
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0004182124214614245
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.03744801779983191
classification.3.0.brier,0.00808902148092405
classification.3.0.average_precision,0.13682595200900177
classification.3.0.threshold,0.031658925116062164
classification.3.0.recall,0.6031948689051192
classification.3.0.false_positive_rate,0.05048467871881007
classification.3.0.precision,0.09635137827953294
classification.3.0.auroc,0.898875663271711
classification.3.0.f1,0.16616101429762778
classification.3.0.balanced_accuracy,0.7763550950931546
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0015300972944254042
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.11823573147605763
classification.9.0.brier,0.027644864228489975
classification.9.0.average_precision,0.19410114921605573
classification.9.0.threshold,0.08530759066343307
classification.9.0.recall,0.44757624639910165
classification.9.0.false_positive_rate,0.06308646749004225
classification.9.0.precision,0.18620246061755477
classification.9.0.auroc,0.787242072794694
classification.9.0.f1,0.262993368097775
classification.9.0.balanced_accuracy,0.6922448894545297
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.010854750896553888
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.28915969101849776
classification.24.0.brier,0.07987395770760115
classification.24.0.average_precision,0.2206829586497092
classification.24.0.threshold,0.20271292328834534
classification.24.0.recall,0.3162238400225583
classification.24.0.false_positive_rate,0.10635224114912237
classification.24.0.precision,0.22976665557978618
classification.24.0.auroc,0.6798057345177391
classification.24.0.f1,0.26615003272693805
classification.24.0.balanced_accuracy,0.6049357994367179
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03584307393748204
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.47804294640969486
classification.48.0.brier,0.15437059254728583
classification.48.0.average_precision,0.3058477261556548
classification.48.0.threshold,0.38486558198928833
classification.48.0.recall,0.2727887329457378
classification.48.0.false_positive_rate,0.12863459701498406
classification.48.0.precision,0.3298821820337301
classification.48.0.auroc,0.6403388913828513
classification.48.0.f1,0.29863111101494655
classification.48.0.balanced_accuracy,0.5720770679653766
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.09384564095874037
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.674837718953937
classification.96.0.brier,0.24427087673100434
classification.96.0.average_precision,0.4722499847577557
classification.96.0.threshold,0.6888949871063232
classification.96.0.recall,0.16276598692971234
classification.96.0.false_positive_rate,0.08474984560628938
classification.96.0.precision,0.5274123328930841
classification.96.0.auroc,0.6236815097369628
classification.96.0.f1,0.24876118654172016
classification.96.0.balanced_accuracy,0.5390080706617115
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.1606819415675455
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,20
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.7058823529411765
timing.0.75.alarm_episodes,626
timing.0.75.false_alarm_episodes,601
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,25
timing.0.75.missed_event_centers,43
timing.0.75.event_recall,0.36764705882352944
timing.0.75.false_alarms_per_sampled_center_ns,4.513536855544291
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,112
timing.3.0.detected_window_timing_mae_ps,0.74580857751106
timing.3.0.detected_window_timing_bias_ps,-0.3261958627112064
timing.3.0.timed_within_3ps_recall,0.5912408759124088
timing.3.0.alarm_episodes,770
timing.3.0.false_alarm_episodes,683
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,87
timing.3.0.missed_event_centers,187
timing.3.0.event_recall,0.3175182481751825
timing.3.0.false_alarms_per_sampled_center_ns,5.129360519695092
timing.3.0.mean_detected_lead_ps,1.7844827586206897
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,544
timing.9.0.detected_window_timing_mae_ps,2.0502134646130457
timing.9.0.detected_window_timing_bias_ps,-0.038817939387053135
timing.9.0.timed_within_3ps_recall,0.33675564681724846
timing.9.0.alarm_episodes,1308
timing.9.0.false_alarm_episodes,1114
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,194
timing.9.0.missed_event_centers,184
timing.9.0.event_recall,0.5132275132275133
timing.9.0.false_alarms_per_sampled_center_ns,8.366189778829185
timing.9.0.mean_detected_lead_ps,4.260309278350515
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1861
timing.24.0.detected_window_timing_mae_ps,5.421101386184937
timing.24.0.detected_window_timing_bias_ps,0.04830821563780169
timing.24.0.timed_within_3ps_recall,0.098508498092265
timing.24.0.alarm_episodes,2119
timing.24.0.false_alarm_episodes,1817
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,244
timing.24.0.missed_event_centers,153
timing.24.0.event_recall,0.6146095717884131
timing.24.0.false_alarms_per_sampled_center_ns,13.645751192219594
timing.24.0.mean_detected_lead_ps,10.66905737704918
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,4069
timing.48.0.detected_window_timing_mae_ps,11.106741225049603
timing.48.0.detected_window_timing_bias_ps,-0.6070362024584286
timing.48.0.timed_within_3ps_recall,0.04456268706351846
timing.48.0.alarm_episodes,2199
timing.48.0.false_alarm_episodes,1684
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,271
timing.48.0.missed_event_centers,131
timing.48.0.event_recall,0.6741293532338308
timing.48.0.false_alarms_per_sampled_center_ns,12.646915249145732
timing.48.0.mean_detected_lead_ps,26.468634686346864
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,10047
timing.96.0.detected_window_timing_mae_ps,22.214022647225978
timing.96.0.detected_window_timing_bias_ps,-2.340265663924898
timing.96.0.timed_within_3ps_recall,0.012534015007833759
timing.96.0.alarm_episodes,2174
timing.96.0.false_alarm_episodes,1317
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,241
timing.96.0.missed_event_centers,168
timing.96.0.event_recall,0.589242053789731
timing.96.0.false_alarms_per_sampled_center_ns,9.890728849836657
timing.96.0.mean_detected_lead_ps,61.33817427385892
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.006757457723868001
spatial.0.75.sampled_center_jaccard,0.033079122974261195
spatial.0.75.nearby_pair_difference_rmse,0.039342401680413065
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.025009722163543236
spatial.3.0.sampled_center_jaccard,0.07690258751902586
spatial.3.0.nearby_pair_difference_rmse,0.08389130419053505
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07112874865764407
spatial.9.0.sampled_center_jaccard,0.10727554370633685
spatial.9.0.nearby_pair_difference_rmse,0.15022491787054515
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.15598724288911248
spatial.24.0.sampled_center_jaccard,0.12424051753553668
spatial.24.0.nearby_pair_difference_rmse,0.23892368030816927
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.24646923550451688
spatial.48.0.sampled_center_jaccard,0.16521398857382952
spatial.48.0.nearby_pair_difference_rmse,0.3017517117947197
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.33222931130333616
spatial.96.0.sampled_center_jaccard,0.15100306187592716
spatial.96.0.nearby_pair_difference_rmse,0.36369085500052145
spatial.96.0.nearby_pairs,16736
test_event_nll,1.11868521009485
best_selection_nll,1.0539269000363338
