metric,value
physical,0.3536478281021118
tda,0.14106141030788422
geometry,0.7605526447296143
future_physical,0.65114426612854
physical_persistence,0.9473561644554138
condition_mean,0.9509602189064026
geometry_ridge,0.605879545211792
mean_reversion,0.7156953811645508
selection_score,0.38891318067908287
windows,480
sources,15
noncrystalline.physical,0.4170822203159332
noncrystalline.tda,0.16957955062389374
noncrystalline.geometry,0.9061363339424133
noncrystalline.future_physical,0.7545942664146423
noncrystalline.physical_persistence,1.111281156539917
noncrystalline.condition_mean,1.1132285594940186
noncrystalline.geometry_ridge,0.7198279500007629
noncrystalline.mean_reversion,0.8363919854164124
noncrystalline.windows,336
noncrystalline.sources,15
noncrystalline.order,0.629563570022583
crystalline.physical,0.2116161733865738
crystalline.tda,0.08575459569692612
crystalline.geometry,0.44802188873291016
crystalline.future_physical,0.4137456715106964
crystalline.physical_persistence,0.587999701499939
crystalline.condition_mean,0.6258633136749268
crystalline.geometry_ridge,0.35983169078826904
crystalline.mean_reversion,0.4481770694255829
crystalline.windows,144
crystalline.sources,12
crystalline.order,0.2615450918674469
per_degree_geometry.1,0.9288179874420166
per_degree_geometry.2,0.9773147702217102
per_degree_geometry.4,0.43058446049690247
per_degree_geometry.6,0.7054938077926636
invariant_covariance_trace,5.0372457528355215
invariant_effective_rank,1.4875191114182371
projected_covariance_trace,5.0372457528355215
projected_effective_rank,1.4875191114182371
order,0.5018435120582581
order_components.q4,0.9751151204109192
order_components.q6,0.25381043553352356
order_components.w4,0.796035647392273
order_components.w6,1.3211390972137451
order_components.qbar6,0.08527421206235886
order_components.mean_q6_coherence,0.1412436068058014
order_components.density_r12,0.20749972760677338
order_components.smooth_coordination,0.2346302568912506
all_invariant_rank_by_temperature.400,3.271767567841746
all_invariant_rank_by_temperature.450,1.3816935947797397
all_invariant_rank_by_temperature.500,1.482058390113308
all_invariant_rank_by_temperature.510,1.3535287220295247
all_invariant_rank_by_temperature.520,1.4677947222735728
all_projected_rank_by_temperature.400,3.271767567841746
all_projected_rank_by_temperature.450,1.3816935947797397
all_projected_rank_by_temperature.500,1.482058390113308
all_projected_rank_by_temperature.510,1.3535287220295247
all_projected_rank_by_temperature.520,1.4677947222735728
noncrystalline_invariant_rank_by_temperature.400,3.289530983918229
noncrystalline_invariant_rank_by_temperature.450,2.72465509064839
noncrystalline_invariant_rank_by_temperature.500,2.9784076302553935
noncrystalline_invariant_rank_by_temperature.510,2.398159440884787
noncrystalline_invariant_rank_by_temperature.520,3.3985133550048205
noncrystalline_projected_rank_by_temperature.400,3.289530983918229
noncrystalline_projected_rank_by_temperature.450,2.72465509064839
noncrystalline_projected_rank_by_temperature.500,2.9784076302553935
noncrystalline_projected_rank_by_temperature.510,2.398159440884787
noncrystalline_projected_rank_by_temperature.520,3.3985133550048205
step,768
total_updates,768
anchor_draws,393216
