metric,value
physical,0.35576051473617554
tda,0.14062337577342987
geometry,0.7597644329071045
future_physical,0.6554511785507202
physical_persistence,0.9473561644554138
condition_mean,0.9509602189064026
geometry_ridge,0.605879545211792
mean_reversion,0.7156953811645508
selection_score,0.390916358679533
windows,480
sources,15
noncrystalline.physical,0.41995206475257874
noncrystalline.tda,0.16961243748664856
noncrystalline.geometry,0.9051060080528259
noncrystalline.future_physical,0.7599872350692749
noncrystalline.physical_persistence,1.111281156539917
noncrystalline.condition_mean,1.1132285594940186
noncrystalline.geometry_ridge,0.7198279500007629
noncrystalline.mean_reversion,0.8363919854164124
noncrystalline.windows,336
noncrystalline.sources,15
noncrystalline.order,1.304193377494812
crystalline.physical,0.21153299510478973
crystalline.tda,0.08492877334356308
crystalline.geometry,0.44772860407829285
crystalline.future_physical,0.41790780425071716
crystalline.physical_persistence,0.587999701499939
crystalline.condition_mean,0.6258633136749268
crystalline.geometry_ridge,0.35983169078826904
crystalline.mean_reversion,0.4481770694255829
crystalline.windows,144
crystalline.sources,12
crystalline.order,0.810066282749176
per_degree_geometry.1,0.9282450079917908
per_degree_geometry.2,0.9759829640388489
per_degree_geometry.4,0.4298636019229889
per_degree_geometry.6,0.7049658298492432
invariant_covariance_trace,2.285791029353565
invariant_effective_rank,1.907638488451884
projected_covariance_trace,75.88247086808009
projected_effective_rank,2.6090300437024725
order,1.1404868364334106
order_components.q4,1.2792996168136597
order_components.q6,0.9620320200920105
order_components.w4,1.2614659070968628
order_components.w6,1.517919898033142
order_components.qbar6,1.4379605054855347
order_components.mean_q6_coherence,0.9388486742973328
order_components.density_r12,0.8648158311843872
order_components.smooth_coordination,0.8615519404411316
all_invariant_rank_by_temperature.400,3.1496987571104453
all_invariant_rank_by_temperature.450,1.702400577584756
all_invariant_rank_by_temperature.500,1.8791261188332744
all_invariant_rank_by_temperature.510,1.6668699637444928
all_invariant_rank_by_temperature.520,1.8837744881689138
all_projected_rank_by_temperature.400,2.0529549817141146
all_projected_rank_by_temperature.450,2.522870989205006
all_projected_rank_by_temperature.500,2.6310355907634726
all_projected_rank_by_temperature.510,2.7429975926161005
all_projected_rank_by_temperature.520,2.5881110779140917
noncrystalline_invariant_rank_by_temperature.400,3.170047612014381
noncrystalline_invariant_rank_by_temperature.450,3.129643204637682
noncrystalline_invariant_rank_by_temperature.500,3.181616142994826
noncrystalline_invariant_rank_by_temperature.510,3.021232332758552
noncrystalline_invariant_rank_by_temperature.520,3.1073105080206562
noncrystalline_projected_rank_by_temperature.400,2.054213204225699
noncrystalline_projected_rank_by_temperature.450,2.0401761144525206
noncrystalline_projected_rank_by_temperature.500,2.1280987247966414
noncrystalline_projected_rank_by_temperature.510,2.220222262751189
noncrystalline_projected_rank_by_temperature.520,2.0671398660415425
step,768
total_updates,768
anchor_draws,393216
