metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.014426574112605572
classification.0.75.brier,0.0024247579499771335
classification.0.75.average_precision,0.02757036307122586
classification.0.75.threshold,0.01744336634874344
classification.0.75.recall,0.4409594187607341
classification.0.75.false_positive_rate,0.04017667931478327
classification.0.75.precision,0.026364835712653262
classification.0.75.auroc,0.9301400725902123
classification.0.75.f1,0.04975484375265132
classification.0.75.balanced_accuracy,0.7003913697229754
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.001708819993815125
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.044441518373545534
classification.3.0.brier,0.00857045042099591
classification.3.0.average_precision,0.06033487872050067
classification.3.0.threshold,0.05780038237571716
classification.3.0.recall,0.33040355998061555
classification.3.0.false_positive_rate,0.039077946291603154
classification.3.0.precision,0.07015878777801973
classification.3.0.auroc,0.8521192471396274
classification.3.0.f1,0.11574084971036815
classification.3.0.balanced_accuracy,0.6456628068445062
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0063315284691195335
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.13048941046037826
classification.9.0.brier,0.02956534672406844
classification.9.0.average_precision,0.09342964194734274
classification.9.0.threshold,0.11718708276748657
classification.9.0.recall,0.1968235723949883
classification.9.0.false_positive_rate,0.041780678851354745
classification.9.0.precision,0.13189072032078572
classification.9.0.auroc,0.7448392563193342
classification.9.0.f1,0.15794386380230319
classification.9.0.balanced_accuracy,0.5775214467718168
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.014877112395223348
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.30355756123365546
classification.24.0.brier,0.08271000826840899
classification.24.0.average_precision,0.14480886250780614
classification.24.0.threshold,0.2051927000284195
classification.24.0.recall,0.12115320995031618
classification.24.0.false_positive_rate,0.045753524174953965
classification.24.0.precision,0.20989874828482788
classification.24.0.auroc,0.6267559981885972
classification.24.0.f1,0.15363091192590153
classification.24.0.balanced_accuracy,0.5376998428876811
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03709876100123459
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4926982237039009
classification.48.0.brier,0.15669352304145218
classification.48.0.average_precision,0.2186029147600575
classification.48.0.threshold,0.34602078795433044
classification.48.0.recall,0.07119591160080405
classification.48.0.false_positive_rate,0.051027506477219604
classification.48.0.precision,0.24464692643071495
classification.48.0.auroc,0.5670957136451571
classification.48.0.f1,0.11029448099013982
classification.48.0.balanced_accuracy,0.5100842025617922
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.06952430228589404
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.679775053322499
classification.96.0.brier,0.2435759525031259
classification.96.0.average_precision,0.3865576465312848
classification.96.0.threshold,0.6069709062576294
classification.96.0.recall,0.04974473994931857
classification.96.0.false_positive_rate,0.053277732628233106
classification.96.0.precision,0.3517253272548317
classification.96.0.auroc,0.5556630531832567
classification.96.0.f1,0.08716208936684433
classification.96.0.balanced_accuracy,0.4982335036605428
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.11124622901446238
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,35
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.4852941176470588
timing.0.75.alarm_episodes,616
timing.0.75.false_alarm_episodes,594
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,22
timing.0.75.missed_event_centers,46
timing.0.75.event_recall,0.3235294117647059
timing.0.75.false_alarms_per_sampled_center_ns,4.4609665427509295
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,178
timing.3.0.detected_window_timing_mae_ps,0.7399628812995642
timing.3.0.detected_window_timing_bias_ps,-0.31396699225207575
timing.3.0.timed_within_3ps_recall,0.35036496350364965
timing.3.0.alarm_episodes,526
timing.3.0.false_alarm_episodes,458
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,68
timing.3.0.missed_event_centers,206
timing.3.0.event_recall,0.24817518248175183
timing.3.0.false_alarms_per_sampled_center_ns,3.4396004656227706
timing.3.0.mean_detected_lead_ps,1.7205882352941178
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,773
timing.9.0.detected_window_timing_mae_ps,2.0882370488155524
timing.9.0.detected_window_timing_bias_ps,-0.3654709697541098
timing.9.0.timed_within_3ps_recall,0.15811088295687886
timing.9.0.alarm_episodes,645
timing.9.0.false_alarm_episodes,508
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,137
timing.9.0.missed_event_centers,241
timing.9.0.event_recall,0.36243386243386244
timing.9.0.false_alarms_per_sampled_center_ns,3.815102699861064
timing.9.0.mean_detected_lead_ps,3.990875912408759
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2535
timing.24.0.detected_window_timing_mae_ps,5.301799241263695
timing.24.0.detected_window_timing_bias_ps,-0.0213979166318555
timing.24.0.timed_within_3ps_recall,0.03364550815123136
timing.24.0.alarm_episodes,1131
timing.24.0.false_alarm_episodes,918
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,179
timing.24.0.missed_event_centers,218
timing.24.0.event_recall,0.4508816120906801
timing.24.0.false_alarms_per_sampled_center_ns,6.894221020615072
timing.24.0.mean_detected_lead_ps,9.519553072625698
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,5609
timing.48.0.detected_window_timing_mae_ps,11.200510546151463
timing.48.0.detected_window_timing_bias_ps,-0.2516443790019249
timing.48.0.timed_within_3ps_recall,0.008480212836714332
timing.48.0.alarm_episodes,1726
timing.48.0.false_alarm_episodes,1399
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,207
timing.48.0.missed_event_centers,195
timing.48.0.event_recall,0.5149253731343284
timing.48.0.false_alarms_per_sampled_center_ns,10.506552513987458
timing.48.0.mean_detected_lead_ps,25.782608695652176
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,11569
timing.96.0.detected_window_timing_mae_ps,24.970622886366368
timing.96.0.detected_window_timing_bias_ps,-7.143061529582367
timing.96.0.timed_within_3ps_recall,0.0027212006267007503
timing.96.0.alarm_episodes,1693
timing.96.0.false_alarm_episodes,1257
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,198
timing.96.0.missed_event_centers,211
timing.96.0.event_recall,0.4841075794621027
timing.96.0.false_alarms_per_sampled_center_ns,9.440126168750703
timing.96.0.mean_detected_lead_ps,66.67424242424242
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.009691419198609824
spatial.0.75.sampled_center_jaccard,0.02487562189054726
spatial.0.75.nearby_pair_difference_rmse,0.03991079978145563
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.03265892035076032
spatial.3.0.sampled_center_jaccard,0.06622729935559461
spatial.3.0.nearby_pair_difference_rmse,0.08429013074251937
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.08029894763628653
spatial.9.0.sampled_center_jaccard,0.08162277740265586
spatial.9.0.nearby_pair_difference_rmse,0.1512499416478074
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.16731105257033105
spatial.24.0.sampled_center_jaccard,0.07191887213052553
spatial.24.0.nearby_pair_difference_rmse,0.23812904668072973
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.26601790180795576
spatial.48.0.sampled_center_jaccard,0.046168742416077165
spatial.48.0.nearby_pair_difference_rmse,0.3031789913462939
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3641780619082418
spatial.96.0.sampled_center_jaccard,0.026077697456462795
spatial.96.0.nearby_pair_difference_rmse,0.3685831863811415
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1321266857016452
best_selection_nll,1.1121986238578208
