metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.012460583971159388
classification.0.75.brier,0.0023693000409259805
classification.0.75.average_precision,0.08188856530739881
classification.0.75.threshold,0.015041526407003403
classification.0.75.recall,0.5922761216638261
classification.0.75.false_positive_rate,0.040148193475275415
classification.0.75.precision,0.03511853676425061
classification.0.75.auroc,0.9434293130014576
classification.0.75.f1,0.06630553981875606
classification.0.75.balanced_accuracy,0.7760639640942755
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.00011470969187369645
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.03885748087945251
classification.3.0.brier,0.008131289042534247
classification.3.0.average_precision,0.14499572517467663
classification.3.0.threshold,0.04947511479258537
classification.3.0.recall,0.49601935912649364
classification.3.0.false_positive_rate,0.04323950736332005
classification.3.0.precision,0.09286462163597899
classification.3.0.auroc,0.8846397344670197
classification.3.0.f1,0.15644049291258294
classification.3.0.balanced_accuracy,0.7263899258815867
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0029209918969149433
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.12133293212493228
classification.9.0.brier,0.028081034037961552
classification.9.0.average_precision,0.17776340146659347
classification.9.0.threshold,0.1058337539434433
classification.9.0.recall,0.37821737006317185
classification.9.0.false_positive_rate,0.053230689087096925
classification.9.0.precision,0.186428858651894
classification.9.0.auroc,0.7708720931953539
classification.9.0.f1,0.249751540123292
classification.9.0.balanced_accuracy,0.6624933404880374
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.0114848830026115
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.2936696233502995
classification.24.0.brier,0.08090315826301238
classification.24.0.average_precision,0.2098664174204546
classification.24.0.threshold,0.213872030377388
classification.24.0.recall,0.2892348595770463
classification.24.0.false_positive_rate,0.10428007092820388
classification.24.0.precision,0.21769252685645063
classification.24.0.auroc,0.6622196345373982
classification.24.0.f1,0.24841533174715574
classification.24.0.balanced_accuracy,0.5924773943244213
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.039355150925477894
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4853288949292959
classification.48.0.brier,0.1569292355866745
classification.48.0.average_precision,0.2846605685144876
classification.48.0.threshold,0.3951354920864105
classification.48.0.recall,0.2567566212412207
classification.48.0.false_positive_rate,0.12874437404425476
classification.48.0.precision,0.316448821661818
classification.48.0.auroc,0.621110045785867
classification.48.0.f1,0.28349462222185484
classification.48.0.balanced_accuracy,0.5640061235984827
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.09447020765342572
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.688550072548148
classification.96.0.brier,0.24971521679991995
classification.96.0.average_precision,0.4425135599783196
classification.96.0.threshold,0.7036468982696533
classification.96.0.recall,0.1501164283041514
classification.96.0.false_positive_rate,0.0990579066684632
classification.96.0.precision,0.468256849062227
classification.96.0.auroc,0.6085177545449645
classification.96.0.f1,0.22734826449665577
classification.96.0.balanced_accuracy,0.5255292608178441
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.15374017329873918
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,29
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.5735294117647058
timing.0.75.alarm_episodes,494
timing.0.75.false_alarm_episodes,471
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,23
timing.0.75.missed_event_centers,45
timing.0.75.event_recall,0.3382352941176471
timing.0.75.false_alarms_per_sampled_center_ns,3.537231046524727
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,148
timing.3.0.detected_window_timing_mae_ps,0.7538722408547923
timing.3.0.detected_window_timing_bias_ps,-0.30799531727503204
timing.3.0.timed_within_3ps_recall,0.45985401459854014
timing.3.0.alarm_episodes,638
timing.3.0.false_alarm_episodes,561
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,77
timing.3.0.missed_event_centers,197
timing.3.0.event_recall,0.28102189781021897
timing.3.0.false_alarms_per_sampled_center_ns,4.2131350681536555
timing.3.0.mean_detected_lead_ps,1.7532467532467533
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,616
timing.9.0.detected_window_timing_mae_ps,2.040453401465266
timing.9.0.detected_window_timing_bias_ps,-0.2478380565684368
timing.9.0.timed_within_3ps_recall,0.2864476386036961
timing.9.0.alarm_episodes,1119
timing.9.0.false_alarm_episodes,943
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,176
timing.9.0.missed_event_centers,202
timing.9.0.event_recall,0.4656084656084656
timing.9.0.false_alarms_per_sampled_center_ns,7.081972137734219
timing.9.0.mean_detected_lead_ps,4.099431818181818
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1949
timing.24.0.detected_window_timing_mae_ps,5.470361849935603
timing.24.0.detected_window_timing_bias_ps,-0.007376515921701607
timing.24.0.timed_within_3ps_recall,0.09018383628165105
timing.24.0.alarm_episodes,2209
timing.24.0.false_alarm_episodes,1903
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,238
timing.24.0.missed_event_centers,159
timing.24.0.event_recall,0.5994962216624685
timing.24.0.false_alarms_per_sampled_center_ns,14.291615035109459
timing.24.0.mean_detected_lead_ps,12.415966386554622
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,4152
timing.48.0.detected_window_timing_mae_ps,11.100303887559162
timing.48.0.detected_window_timing_bias_ps,-0.9187766800718182
timing.48.0.timed_within_3ps_recall,0.04206850681742601
timing.48.0.alarm_episodes,2343
timing.48.0.false_alarm_episodes,1841
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,230
timing.48.0.missed_event_centers,172
timing.48.0.event_recall,0.572139303482587
timing.48.0.false_alarms_per_sampled_center_ns,13.825992264653975
timing.48.0.mean_detected_lead_ps,29.846739130434784
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,10111
timing.96.0.detected_window_timing_mae_ps,22.538505733641024
timing.96.0.detected_window_timing_bias_ps,-3.77817150156555
timing.96.0.timed_within_3ps_recall,0.011049723756906077
timing.96.0.alarm_episodes,2052
timing.96.0.false_alarm_episodes,1325
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,205
timing.96.0.missed_event_centers,204
timing.96.0.event_recall,0.5012224938875306
timing.96.0.false_alarms_per_sampled_center_ns,9.950809207314784
timing.96.0.mean_detected_lead_ps,64.18170731707318
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.0077257636997148296
spatial.0.75.sampled_center_jaccard,0.032194848824188126
spatial.0.75.nearby_pair_difference_rmse,0.039725856403838564
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.02696590372484658
spatial.3.0.sampled_center_jaccard,0.07592925659472423
spatial.3.0.nearby_pair_difference_rmse,0.0836176542661633
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07245734357802025
spatial.9.0.sampled_center_jaccard,0.10371360665478312
spatial.9.0.nearby_pair_difference_rmse,0.15026486898243302
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.1610176370101315
spatial.24.0.sampled_center_jaccard,0.11473107865264727
spatial.24.0.nearby_pair_difference_rmse,0.23920423472620084
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.2557042376145934
spatial.48.0.sampled_center_jaccard,0.1464334913692319
spatial.48.0.nearby_pair_difference_rmse,0.30230135164539523
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.34354269937938303
spatial.96.0.sampled_center_jaccard,0.10586958834046213
spatial.96.0.nearby_pair_difference_rmse,0.3658035084904506
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1335805506038088
best_selection_nll,1.0689874195922007
