metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.012364446493563752
classification.0.75.brier,0.0023647019205480617
classification.0.75.average_precision,0.09039440924979952
classification.0.75.threshold,0.014551318250596523
classification.0.75.recall,0.6431777430886961
classification.0.75.false_positive_rate,0.041018844429082345
classification.0.75.precision,0.03724496896136927
classification.0.75.auroc,0.9457147934484883
classification.0.75.f1,0.07041250873536217
classification.0.75.balanced_accuracy,0.801079449329807
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0001256382567303431
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.03870279917131285
classification.3.0.brier,0.008116592715182721
classification.3.0.average_precision,0.14640250819770428
classification.3.0.threshold,0.05013037100434303
classification.3.0.recall,0.5048338195726929
classification.3.0.false_positive_rate,0.04266447324728523
classification.3.0.precision,0.09550945836510784
classification.3.0.auroc,0.8875166177754858
classification.3.0.f1,0.16062944799649106
classification.3.0.balanced_accuracy,0.7310846731627039
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.002883723027742921
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.12083237717823575
classification.9.0.brier,0.02801048277854967
classification.9.0.average_precision,0.17930263790796103
classification.9.0.threshold,0.10609225928783417
classification.9.0.recall,0.38405898450753917
classification.9.0.false_positive_rate,0.05396584350314524
classification.9.0.precision,0.18667330273198451
classification.9.0.auroc,0.7740777099117259
classification.9.0.f1,0.2512335842385108
classification.9.0.balanced_accuracy,0.665046570502197
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.011250955301067319
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.2929934466662474
classification.24.0.brier,0.0807061596994349
classification.24.0.average_precision,0.21314482018794137
classification.24.0.threshold,0.21488811075687408
classification.24.0.recall,0.2876375159578137
classification.24.0.false_positive_rate,0.10067999165389624
classification.24.0.precision,0.22277475792256554
classification.24.0.auroc,0.6639706008762842
classification.24.0.f1,0.25108478485361624
classification.24.0.balanced_accuracy,0.5934787621519588
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.039161142236283884
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4838095033169002
classification.48.0.brier,0.15634891229538087
classification.48.0.average_precision,0.2887004156418649
classification.48.0.threshold,0.39883938431739807
classification.48.0.recall,0.25235205723681475
classification.48.0.false_positive_rate,0.12051110253933377
classification.48.0.precision,0.3270943382152446
classification.48.0.auroc,0.6238014898532183
classification.48.0.f1,0.28490272717887893
classification.48.0.balanced_accuracy,0.5659204773487402
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.0937695946487135
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6865317808105971
classification.96.0.brier,0.24885741137158537
classification.96.0.average_precision,0.4458516496834315
classification.96.0.threshold,0.7059563994407654
classification.96.0.recall,0.15043502830406824
classification.96.0.false_positive_rate,0.09614512229443566
classification.96.0.precision,0.47622353422145974
classification.96.0.auroc,0.6115451977835809
classification.96.0.f1,0.22864349147627036
classification.96.0.balanced_accuracy,0.5271449530048163
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.15324001228377518
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,27
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.6029411764705882
timing.0.75.alarm_episodes,498
timing.0.75.false_alarm_episodes,472
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,26
timing.0.75.missed_event_centers,42
timing.0.75.event_recall,0.38235294117647056
timing.0.75.false_alarms_per_sampled_center_ns,3.5447410912094925
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,150
timing.3.0.detected_window_timing_mae_ps,0.7364737930097605
timing.3.0.detected_window_timing_bias_ps,-0.25183703370678734
timing.3.0.timed_within_3ps_recall,0.45255474452554745
timing.3.0.alarm_episodes,640
timing.3.0.false_alarm_episodes,568
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,72
timing.3.0.missed_event_centers,202
timing.3.0.event_recall,0.26277372262773724
timing.3.0.false_alarms_per_sampled_center_ns,4.265705380947017
timing.3.0.mean_detected_lead_ps,1.71875
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,612
timing.9.0.detected_window_timing_mae_ps,2.0249854578215163
timing.9.0.detected_window_timing_bias_ps,-0.22194131634635103
timing.9.0.timed_within_3ps_recall,0.28850102669404515
timing.9.0.alarm_episodes,1156
timing.9.0.false_alarm_episodes,977
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,179
timing.9.0.missed_event_centers,199
timing.9.0.event_recall,0.47354497354497355
timing.9.0.false_alarms_per_sampled_center_ns,7.337313657016259
timing.9.0.mean_detected_lead_ps,4.227653631284916
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1965
timing.24.0.detected_window_timing_mae_ps,5.45458787936878
timing.24.0.detected_window_timing_bias_ps,0.03218447256603472
timing.24.0.timed_within_3ps_recall,0.08810267082899757
timing.24.0.alarm_episodes,2232
timing.24.0.false_alarm_episodes,1924
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,245
timing.24.0.missed_event_centers,152
timing.24.0.event_recall,0.6171284634760705
timing.24.0.false_alarms_per_sampled_center_ns,14.449325973489541
timing.24.0.mean_detected_lead_ps,11.923469387755102
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,4206
timing.48.0.detected_window_timing_mae_ps,11.065072313003764
timing.48.0.detected_window_timing_bias_ps,-0.8019795356302885
timing.48.0.timed_within_3ps_recall,0.039906883937479216
timing.48.0.alarm_episodes,2327
timing.48.0.false_alarm_episodes,1821
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,239
timing.48.0.missed_event_centers,163
timing.48.0.event_recall,0.5945273631840796
timing.48.0.false_alarms_per_sampled_center_ns,13.675791370958658
timing.48.0.mean_detected_lead_ps,29.49163179916318
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,10124
timing.96.0.detected_window_timing_mae_ps,22.50547769843277
timing.96.0.detected_window_timing_bias_ps,-3.443028434786023
timing.96.0.timed_within_3ps_recall,0.011462026882163768
timing.96.0.alarm_episodes,2043
timing.96.0.false_alarm_episodes,1317
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,208
timing.96.0.missed_event_centers,201
timing.96.0.event_recall,0.508557457212714
timing.96.0.false_alarms_per_sampled_center_ns,9.890728849836657
timing.96.0.mean_detected_lead_ps,63.36057692307692
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.007648911439506463
spatial.0.75.sampled_center_jaccard,0.033554572271386425
spatial.0.75.nearby_pair_difference_rmse,0.03975570781243926
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.026854501421129277
spatial.3.0.sampled_center_jaccard,0.0753035822707954
spatial.3.0.nearby_pair_difference_rmse,0.08366747354526413
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07207451103135637
spatial.9.0.sampled_center_jaccard,0.10394489755878808
spatial.9.0.nearby_pair_difference_rmse,0.15025100374936337
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.16011582504222618
spatial.24.0.sampled_center_jaccard,0.11399755253695175
spatial.24.0.nearby_pair_difference_rmse,0.23927867207327874
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.2542289269178093
spatial.48.0.sampled_center_jaccard,0.14494094087523246
spatial.48.0.nearby_pair_difference_rmse,0.3024226049492254
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.34200350716589856
spatial.96.0.sampled_center_jaccard,0.10791364512260902
spatial.96.0.nearby_pair_difference_rmse,0.36520234603302704
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1315943201723895
best_selection_nll,1.0680850415788057
