metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.01113224212616798
classification.0.75.brier,0.0022650645171710467
classification.0.75.average_precision,0.14941567038406595
classification.0.75.threshold,0.011565729044377804
classification.0.75.recall,0.7444342810232126
classification.0.75.false_positive_rate,0.036073613016845966
classification.0.75.precision,0.04844774830061704
classification.0.75.auroc,0.95201696628595
classification.0.75.f1,0.09097485714014901
classification.0.75.balanced_accuracy,0.8541803340031835
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.00010965285196301245
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.036099740595668596
classification.3.0.brier,0.007879539886962045
classification.3.0.average_precision,0.17953330034733522
classification.3.0.threshold,0.03954612836241722
classification.3.0.recall,0.5850403378093668
classification.3.0.false_positive_rate,0.0391304068031126
classification.3.0.precision,0.11771711314177342
classification.3.0.auroc,0.9120457858330522
classification.3.0.f1,0.19599723786690884
classification.3.0.balanced_accuracy,0.7729549655031271
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0014139132039547478
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.11442430036490361
classification.9.0.brier,0.02701836709743061
classification.9.0.average_precision,0.23428780009392972
classification.9.0.threshold,0.10249253362417221
classification.9.0.recall,0.4496360816213695
classification.9.0.false_positive_rate,0.05283047201998945
classification.9.0.precision,0.21536789424209957
classification.9.0.auroc,0.8169194946555574
classification.9.0.f1,0.2912378860542171
classification.9.0.balanced_accuracy,0.69840280480069
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.012247998366609914
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.28170111604118536
classification.24.0.brier,0.07822228787582221
classification.24.0.average_precision,0.2634144589326522
classification.24.0.threshold,0.24514298141002655
classification.24.0.recall,0.3138160490121512
classification.24.0.false_positive_rate,0.08211148554952041
classification.24.0.precision,0.2771598110495007
classification.24.0.auroc,0.7156043681129016
classification.24.0.f1,0.294351098670714
classification.24.0.balanced_accuracy,0.6158522817313155
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.038235039501143805
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4673296395826082
classification.48.0.brier,0.1508114935296009
classification.48.0.average_precision,0.3465889502386307
classification.48.0.threshold,0.4299265146255493
classification.48.0.recall,0.2692533869118374
classification.48.0.false_positive_rate,0.10800511299226753
classification.48.0.precision,0.3665687289540043
classification.48.0.auroc,0.6644733471541833
classification.48.0.f1,0.31046378961646126
classification.48.0.balanced_accuracy,0.5806241369597847
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.07505919930311146
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6590591225582035
classification.96.0.brier,0.23767044564306522
classification.96.0.average_precision,0.5140148556990666
classification.96.0.threshold,0.6998260021209717
classification.96.0.recall,0.1960728004770825
classification.96.0.false_positive_rate,0.07854163110945432
classification.96.0.precision,0.5919438541501011
classification.96.0.auroc,0.6368358255763731
classification.96.0.f1,0.2945726807343147
classification.96.0.balanced_accuracy,0.5587655846838142
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.1350204667468915
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,23
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.6617647058823529
timing.0.75.alarm_episodes,406
timing.0.75.false_alarm_episodes,380
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,26
timing.0.75.missed_event_centers,42
timing.0.75.event_recall,0.38235294117647056
timing.0.75.false_alarms_per_sampled_center_ns,2.853816980211032
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,136
timing.3.0.detected_window_timing_mae_ps,0.7430240566810136
timing.3.0.detected_window_timing_bias_ps,-0.2837969267133165
timing.3.0.timed_within_3ps_recall,0.5036496350364964
timing.3.0.alarm_episodes,495
timing.3.0.false_alarm_episodes,417
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,78
timing.3.0.missed_event_centers,196
timing.3.0.event_recall,0.2846715328467153
timing.3.0.false_alarms_per_sampled_center_ns,3.1316886335473697
timing.3.0.mean_detected_lead_ps,1.7596153846153846
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,585
timing.9.0.detected_window_timing_mae_ps,1.960058487383876
timing.9.0.detected_window_timing_bias_ps,0.021214596840904744
timing.9.0.timed_within_3ps_recall,0.3203285420944558
timing.9.0.alarm_episodes,1088
timing.9.0.false_alarm_episodes,922
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,166
timing.9.0.missed_event_centers,212
timing.9.0.event_recall,0.43915343915343913
timing.9.0.false_alarms_per_sampled_center_ns,6.924261199354136
timing.9.0.mean_detected_lead_ps,4.174698795180723
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2042
timing.24.0.detected_window_timing_mae_ps,5.281753554417246
timing.24.0.detected_window_timing_bias_ps,0.32550202294309283
timing.24.0.timed_within_3ps_recall,0.08289975719736385
timing.24.0.alarm_episodes,1879
timing.24.0.false_alarm_episodes,1566
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,238
timing.24.0.missed_event_centers,159
timing.24.0.event_recall,0.5994962216624685
timing.24.0.false_alarms_per_sampled_center_ns,11.76072997634336
timing.24.0.mean_detected_lead_ps,12.245798319327731
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,4434
timing.48.0.detected_window_timing_mae_ps,10.751521449367074
timing.48.0.detected_window_timing_bias_ps,-0.7567410121904352
timing.48.0.timed_within_3ps_recall,0.034918523445294315
timing.48.0.alarm_episodes,2099
timing.48.0.false_alarm_episodes,1609
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,240
timing.48.0.missed_event_centers,162
timing.48.0.event_recall,0.5970149253731343
timing.48.0.false_alarms_per_sampled_center_ns,12.083661897788291
timing.48.0.mean_detected_lead_ps,28.8125
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,10134
timing.96.0.detected_window_timing_mae_ps,20.61239538966422
timing.96.0.detected_window_timing_bias_ps,-2.8961615566290795
timing.96.0.timed_within_3ps_recall,0.01294631813309145
timing.96.0.alarm_episodes,1583
timing.96.0.false_alarm_episodes,1027
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,181
timing.96.0.missed_event_centers,228
timing.96.0.event_recall,0.44254278728606355
timing.96.0.false_alarms_per_sampled_center_ns,7.712815891254553
timing.96.0.mean_detected_lead_ps,62.67265193370166
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.006799613378892657
spatial.0.75.sampled_center_jaccard,0.04220639032815198
spatial.0.75.nearby_pair_difference_rmse,0.03922173151099805
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.023958614355217126
spatial.3.0.sampled_center_jaccard,0.09564240790655884
spatial.3.0.nearby_pair_difference_rmse,0.08268410729728538
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.06916541118477662
spatial.9.0.sampled_center_jaccard,0.11787074829931973
spatial.9.0.nearby_pair_difference_rmse,0.14957598273736
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.1550476404128654
spatial.24.0.sampled_center_jaccard,0.1196241389637616
spatial.24.0.nearby_pair_difference_rmse,0.23877551072642653
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.2458580494588824
spatial.48.0.sampled_center_jaccard,0.1238114563114563
spatial.48.0.nearby_pair_difference_rmse,0.3040232451329707
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.331224077449072
spatial.96.0.sampled_center_jaccard,0.10054302367400454
spatial.96.0.nearby_pair_difference_rmse,0.36667310739517367
spatial.96.0.nearby_pairs,16736
test_event_nll,1.0954129439181353
best_selection_nll,1.0629311013381244
