metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.012193929281445576
classification.0.75.brier,0.002355842526523222
classification.0.75.average_precision,0.08723363315378341
classification.0.75.threshold,0.015715107321739197
classification.0.75.recall,0.6742162836420481
classification.0.75.false_positive_rate,0.04048001534852808
classification.0.75.precision,0.039470577028183934
classification.0.75.auroc,0.9490045586500563
classification.0.75.f1,0.0745752996829954
classification.0.75.balanced_accuracy,0.8168681341467601
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0002440479470057073
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.03826802119255895
classification.3.0.brier,0.008074557135933408
classification.3.0.average_precision,0.15711480040327985
classification.3.0.threshold,0.05208585411310196
classification.3.0.recall,0.5076671907204044
classification.3.0.false_positive_rate,0.042891413516009606
classification.3.0.precision,0.09553466075471961
classification.3.0.auroc,0.8959304477224365
classification.3.0.f1,0.16080790442923734
classification.3.0.balanced_accuracy,0.7323878886021974
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.003473277228606739
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.11941202560583324
classification.9.0.brier,0.027823256355449383
classification.9.0.average_precision,0.18854359687350755
classification.9.0.threshold,0.10737042874097824
classification.9.0.recall,0.39094423164334685
classification.9.0.false_positive_rate,0.05524883629988513
classification.9.0.precision,0.18580532481932405
classification.9.0.auroc,0.7874863303808028
classification.9.0.f1,0.2518927639658604
classification.9.0.balanced_accuracy,0.6678476976717309
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.011015889033051979
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.29151497358400846
classification.24.0.brier,0.08041718706969207
classification.24.0.average_precision,0.21796591616723482
classification.24.0.threshold,0.2151755690574646
classification.24.0.recall,0.30811626905780554
classification.24.0.false_positive_rate,0.10609211539229009
classification.24.0.precision,0.22562996883112524
classification.24.0.auroc,0.6739230205035089
classification.24.0.f1,0.26049931315241226
classification.24.0.balanced_accuracy,0.6010120768327578
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03915475314515565
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4832995943793848
classification.48.0.brier,0.15629308953933257
classification.48.0.average_precision,0.29607142809109854
classification.48.0.threshold,0.40011197328567505
classification.48.0.recall,0.2674835602371416
classification.48.0.false_positive_rate,0.1278566485136992
classification.48.0.precision,0.32688860219691274
classification.48.0.auroc,0.6291260409630726
classification.48.0.f1,0.2942174369623984
classification.48.0.balanced_accuracy,0.5698134558617209
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.09655739956174868
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.686261141185925
classification.96.0.brier,0.24882533756797864
classification.96.0.average_precision,0.45506584721846627
classification.96.0.threshold,0.7044285535812378
classification.96.0.recall,0.16729148804159402
classification.96.0.false_positive_rate,0.10619938378818124
classification.96.0.precision,0.47790670297119675
classification.96.0.auroc,0.6142529248390295
classification.96.0.f1,0.24782996790367204
classification.96.0.balanced_accuracy,0.5305460521267065
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.15859683525488041
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,26
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.6176470588235294
timing.0.75.alarm_episodes,476
timing.0.75.false_alarm_episodes,453
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,23
timing.0.75.missed_event_centers,45
timing.0.75.event_recall,0.3382352941176471
timing.0.75.false_alarms_per_sampled_center_ns,3.402050242198941
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,146
timing.3.0.detected_window_timing_mae_ps,0.742139354516233
timing.3.0.detected_window_timing_bias_ps,-0.2762874658681102
timing.3.0.timed_within_3ps_recall,0.46715328467153283
timing.3.0.alarm_episodes,600
timing.3.0.false_alarm_episodes,524
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,76
timing.3.0.missed_event_centers,198
timing.3.0.event_recall,0.2773722627737226
timing.3.0.false_alarms_per_sampled_center_ns,3.9352634148173182
timing.3.0.mean_detected_lead_ps,1.7269736842105263
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,601
timing.9.0.detected_window_timing_mae_ps,2.037223216317567
timing.9.0.detected_window_timing_bias_ps,-0.29680414403478517
timing.9.0.timed_within_3ps_recall,0.29568788501026694
timing.9.0.alarm_episodes,1118
timing.9.0.false_alarm_episodes,949
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,169
timing.9.0.missed_event_centers,209
timing.9.0.event_recall,0.4470899470899471
timing.9.0.false_alarms_per_sampled_center_ns,7.127032405842814
timing.9.0.mean_detected_lead_ps,4.238165680473373
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1877
timing.24.0.detected_window_timing_mae_ps,5.403207072034696
timing.24.0.detected_window_timing_bias_ps,-0.17106099444121747
timing.24.0.timed_within_3ps_recall,0.10128338536246966
timing.24.0.alarm_episodes,2071
timing.24.0.false_alarm_episodes,1786
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,233
timing.24.0.missed_event_centers,164
timing.24.0.event_recall,0.5869017632241813
timing.24.0.false_alarms_per_sampled_center_ns,13.41293980699185
timing.24.0.mean_detected_lead_ps,11.67489270386266
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,4077
timing.48.0.detected_window_timing_mae_ps,10.983660544738743
timing.48.0.detected_window_timing_bias_ps,-0.9989945651175627
timing.48.0.timed_within_3ps_recall,0.04522780179580978
timing.48.0.alarm_episodes,2087
timing.48.0.false_alarm_episodes,1613
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,231
timing.48.0.missed_event_centers,171
timing.48.0.event_recall,0.5746268656716418
timing.48.0.false_alarms_per_sampled_center_ns,12.113702076527355
timing.48.0.mean_detected_lead_ps,29.256493506493506
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,9911
timing.96.0.detected_window_timing_mae_ps,22.432538938114266
timing.96.0.detected_window_timing_bias_ps,-3.3471603616618286
timing.96.0.timed_within_3ps_recall,0.011874330007421456
timing.96.0.alarm_episodes,1957
timing.96.0.false_alarm_episodes,1261
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,202
timing.96.0.missed_event_centers,207
timing.96.0.event_recall,0.4938875305623472
timing.96.0.false_alarms_per_sampled_center_ns,9.470166347489767
timing.96.0.mean_detected_lead_ps,63.14480198019802
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.008159506609838236
spatial.0.75.sampled_center_jaccard,0.03530066815144766
spatial.0.75.nearby_pair_difference_rmse,0.03972692110606956
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.02812108584578307
spatial.3.0.sampled_center_jaccard,0.07677546086430946
spatial.3.0.nearby_pair_difference_rmse,0.08323486248324784
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.0737948603224124
spatial.9.0.sampled_center_jaccard,0.10469207809633341
spatial.9.0.nearby_pair_difference_rmse,0.14955039302686254
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.16180843464142453
spatial.24.0.sampled_center_jaccard,0.12152731375392771
spatial.24.0.nearby_pair_difference_rmse,0.23873645600001583
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.2557328856332716
spatial.48.0.sampled_center_jaccard,0.15250450087473458
spatial.48.0.nearby_pair_difference_rmse,0.30176148116204216
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3423920938344821
spatial.96.0.sampled_center_jaccard,0.11635114487765418
spatial.96.0.nearby_pair_difference_rmse,0.3643304669657513
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1297893617783492
best_selection_nll,1.0679682784267739
