metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.014975620491060932
classification.0.75.brier,0.0024366238883247295
classification.0.75.average_precision,0.01840987996442402
classification.0.75.threshold,0.013413764536380768
classification.0.75.recall,0.3691487356662676
classification.0.75.false_positive_rate,0.04080660963452631
classification.0.75.precision,0.02183175581888375
classification.0.75.auroc,0.920325820099701
classification.0.75.f1,0.041225407576232935
classification.0.75.balanced_accuracy,0.6641710630158706
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.00135355249588838
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.04557055157791258
classification.3.0.brier,0.008620077800149886
classification.3.0.average_precision,0.04632785755349292
classification.3.0.threshold,0.04711989313364029
classification.3.0.recall,0.31501970511671773
classification.3.0.false_positive_rate,0.040218244857245004
classification.3.0.precision,0.0653328895678704
classification.3.0.auroc,0.8394989173931918
classification.3.0.f1,0.1082214129400683
classification.3.0.balanced_accuracy,0.6374007301297363
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.005695549087828987
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521238
classification.9.0.log_loss,0.13282843908805914
classification.9.0.brier,0.029769883784790747
classification.9.0.average_precision,0.08074751382574076
classification.9.0.threshold,0.1027880609035492
classification.9.0.recall,0.1579371335952239
classification.9.0.false_positive_rate,0.04076485196792944
classification.9.0.precision,0.11107168166464212
classification.9.0.auroc,0.7267745637269679
classification.9.0.f1,0.13042206820448343
classification.9.0.balanced_accuracy,0.5585861408136472
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.014243568675982655
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080055
classification.24.0.log_loss,0.30578973075065213
classification.24.0.brier,0.08313971533205121
classification.24.0.average_precision,0.1303142782786065
classification.24.0.threshold,0.1856040060520172
classification.24.0.recall,0.10480426516800417
classification.24.0.false_positive_rate,0.04879370812230567
classification.24.0.precision,0.17728811736496553
classification.24.0.auroc,0.6142809388169201
classification.24.0.f1,0.13173380079685404
classification.24.0.balanced_accuracy,0.5280052785228493
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03696416950216477
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320362
classification.48.0.log_loss,0.4940945495516629
classification.48.0.brier,0.15709174724623085
classification.48.0.average_precision,0.20768777311633022
classification.48.0.threshold,0.33462509512901306
classification.48.0.recall,0.06022147709045437
classification.48.0.false_positive_rate,0.05021817473564783
classification.48.0.precision,0.21775664520956203
classification.48.0.auroc,0.5560393556590422
classification.48.0.f1,0.09435006404301527
classification.48.0.balanced_accuracy,0.5050016511774034
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.06959689078643609
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082907
classification.96.0.log_loss,0.6809830893836616
classification.96.0.brier,0.24412458430301143
classification.96.0.average_precision,0.3859329763530595
classification.96.0.threshold,0.6035306453704834
classification.96.0.recall,0.048819920775697044
classification.96.0.false_positive_rate,0.05177535812434004
classification.96.0.precision,0.3539717617601358
classification.96.0.auroc,0.5524180161813564
classification.96.0.f1,0.08580551245333343
classification.96.0.balanced_accuracy,0.49852228132567833
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.11226237457998084
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,42
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.38235294117647056
timing.0.75.alarm_episodes,575
timing.0.75.false_alarm_episodes,558
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,17
timing.0.75.missed_event_centers,51
timing.0.75.event_recall,0.25
timing.0.75.false_alarms_per_sampled_center_ns,4.190604934099357
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,183
timing.3.0.detected_window_timing_mae_ps,0.7019037303746367
timing.3.0.detected_window_timing_bias_ps,-0.24610481990059058
timing.3.0.timed_within_3ps_recall,0.33211678832116787
timing.3.0.alarm_episodes,534
timing.3.0.false_alarm_episodes,465
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,69
timing.3.0.missed_event_centers,205
timing.3.0.event_recall,0.2518248175182482
timing.3.0.false_alarms_per_sampled_center_ns,3.4921707784161313
timing.3.0.mean_detected_lead_ps,1.7608695652173914
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,810
timing.9.0.detected_window_timing_mae_ps,2.119506169183091
timing.9.0.detected_window_timing_bias_ps,-0.0019852073126935496
timing.9.0.timed_within_3ps_recall,0.12628336755646818
timing.9.0.alarm_episodes,595
timing.9.0.false_alarm_episodes,479
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,116
timing.9.0.missed_event_centers,262
timing.9.0.event_recall,0.30687830687830686
timing.9.0.false_alarms_per_sampled_center_ns,3.5973114040028538
timing.9.0.mean_detected_lead_ps,3.7370689655172415
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2589
timing.24.0.detected_window_timing_mae_ps,5.8262826377767825
timing.24.0.detected_window_timing_bias_ps,0.6031383872795226
timing.24.0.timed_within_3ps_recall,0.02115851543531044
timing.24.0.alarm_episodes,1164
timing.24.0.false_alarm_episodes,969
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,160
timing.24.0.missed_event_centers,237
timing.24.0.event_recall,0.40302267002518893
timing.24.0.false_alarms_per_sampled_center_ns,7.277233299538132
timing.24.0.mean_detected_lead_ps,9.46875
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,5675
timing.48.0.detected_window_timing_mae_ps,11.004849296965997
timing.48.0.detected_window_timing_bias_ps,-0.44917451321808016
timing.48.0.timed_within_3ps_recall,0.007149983372131693
timing.48.0.alarm_episodes,1686
timing.48.0.false_alarm_episodes,1409
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,172
timing.48.0.missed_event_centers,230
timing.48.0.event_recall,0.42786069651741293
timing.48.0.false_alarms_per_sampled_center_ns,10.581652960835116
timing.48.0.mean_detected_lead_ps,27.84593023255814
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,11586
timing.96.0.detected_window_timing_mae_ps,24.171193898134813
timing.96.0.detected_window_timing_bias_ps,-4.865902199182598
timing.96.0.timed_within_3ps_recall,0.0026387400016492125
timing.96.0.alarm_episodes,1657
timing.96.0.false_alarm_episodes,1228
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,200
timing.96.0.missed_event_centers,209
timing.96.0.event_recall,0.4889975550122249
timing.96.0.false_alarms_per_sampled_center_ns,9.222334872892494
timing.96.0.mean_detected_lead_ps,64.75875
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.008724236648902251
spatial.0.75.sampled_center_jaccard,0.017524067388688325
spatial.0.75.nearby_pair_difference_rmse,0.039998183388836046
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.030321957398002575
spatial.3.0.sampled_center_jaccard,0.061254152823920265
spatial.3.0.nearby_pair_difference_rmse,0.0849544656594521
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07729411193970266
spatial.9.0.sampled_center_jaccard,0.06632107023411371
spatial.9.0.nearby_pair_difference_rmse,0.1517486039987312
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.1655947627353293
spatial.24.0.sampled_center_jaccard,0.059748085356062006
spatial.24.0.nearby_pair_difference_rmse,0.23793424366876245
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.2657140921593763
spatial.48.0.sampled_center_jaccard,0.03337957490444401
spatial.48.0.nearby_pair_difference_rmse,0.3027112862848635
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3653623262402523
spatial.96.0.sampled_center_jaccard,0.024917834323174133
spatial.96.0.nearby_pair_difference_rmse,0.36949276268532605
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1359459982098907
best_selection_nll,1.1164948771678274
