metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.011428864409923937
classification.0.75.brier,0.002320069492674582
classification.0.75.average_precision,0.10301511520978474
classification.0.75.threshold,0.014321217313408852
classification.0.75.recall,0.7196570374536385
classification.0.75.false_positive_rate,0.04100756674114278
classification.0.75.precision,0.04150090041559904
classification.0.75.auroc,0.9588075292733046
classification.0.75.f1,0.07847626243866185
classification.0.75.balanced_accuracy,0.8393247353562481
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.00036445489033817044
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.03664847823398775
classification.3.0.brier,0.007977643887428089
classification.3.0.average_precision,0.1739338245291537
classification.3.0.threshold,0.04858064278960228
classification.3.0.recall,0.6003351406930693
classification.3.0.false_positive_rate,0.04594350298650312
classification.3.0.precision,0.10443090849549264
classification.3.0.auroc,0.912315685867752
classification.3.0.f1,0.1779130655244512
classification.3.0.balanced_accuracy,0.777195818853283
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.0025626303014755596
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.11633190506463889
classification.9.0.brier,0.027517565418011765
classification.9.0.average_precision,0.20754171355344644
classification.9.0.threshold,0.10884616523981094
classification.9.0.recall,0.44862963070834116
classification.9.0.false_positive_rate,0.05872288201922446
classification.9.0.precision,0.19768135184186716
classification.9.0.auroc,0.8083981607706047
classification.9.0.f1,0.2744366543944749
classification.9.0.balanced_accuracy,0.6949533743445583
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.012165579869786388
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.28783494932841397
classification.24.0.brier,0.07953355896080543
classification.24.0.average_precision,0.23482262519951408
classification.24.0.threshold,0.22226575016975403
classification.24.0.recall,0.32205531733931236
classification.24.0.false_positive_rate,0.09536016960844164
classification.24.0.precision,0.25307845348371294
classification.24.0.auroc,0.6888459568764405
classification.24.0.f1,0.2834306235636425
classification.24.0.balanced_accuracy,0.6133475738654354
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03847892498807186
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.47975541615875755
classification.48.0.brier,0.15498898767912536
classification.48.0.average_precision,0.3099706396680773
classification.48.0.threshold,0.3949965238571167
classification.48.0.recall,0.28301849463571677
classification.48.0.false_positive_rate,0.12525273159268188
classification.48.0.precision,0.34405823095991067
classification.48.0.auroc,0.6397600959501407
classification.48.0.f1,0.31056755455501994
classification.48.0.balanced_accuracy,0.5788828815215172
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.09351263661161231
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6774976110123864
classification.96.0.brier,0.24522615551445506
classification.96.0.average_precision,0.4708792055160095
classification.96.0.threshold,0.6942405104637146
classification.96.0.recall,0.167564947083432
classification.96.0.false_positive_rate,0.09255694261513894
classification.96.0.precision,0.5126714802829946
classification.96.0.auroc,0.620207436770085
classification.96.0.f1,0.2525762102961576
classification.96.0.balanced_accuracy,0.5375040022341466
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.1552511584547372
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,24
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.6470588235294118
timing.0.75.alarm_episodes,493
timing.0.75.false_alarm_episodes,468
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,25
timing.0.75.missed_event_centers,43
timing.0.75.event_recall,0.36764705882352944
timing.0.75.false_alarms_per_sampled_center_ns,3.5147009124704294
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,122
timing.3.0.detected_window_timing_mae_ps,0.7458223668869962
timing.3.0.detected_window_timing_bias_ps,-0.2534990959644554
timing.3.0.timed_within_3ps_recall,0.5547445255474452
timing.3.0.alarm_episodes,616
timing.3.0.false_alarm_episodes,538
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,78
timing.3.0.missed_event_centers,196
timing.3.0.event_recall,0.2846715328467153
timing.3.0.false_alarms_per_sampled_center_ns,4.040404040404041
timing.3.0.mean_detected_lead_ps,1.75
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,544
timing.9.0.detected_window_timing_mae_ps,1.9954777376312667
timing.9.0.detected_window_timing_bias_ps,-0.18868616355434276
timing.9.0.timed_within_3ps_recall,0.3521560574948665
timing.9.0.alarm_episodes,1124
timing.9.0.false_alarm_episodes,946
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,178
timing.9.0.missed_event_centers,200
timing.9.0.event_recall,0.4708994708994709
timing.9.0.false_alarms_per_sampled_center_ns,7.104502271788517
timing.9.0.mean_detected_lead_ps,4.247191011235955
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1867
timing.24.0.detected_window_timing_mae_ps,5.249051590950496
timing.24.0.detected_window_timing_bias_ps,-0.26876967707404237
timing.24.0.timed_within_3ps_recall,0.11030176899063475
timing.24.0.alarm_episodes,2070
timing.24.0.false_alarm_episodes,1753
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,256
timing.24.0.missed_event_centers,141
timing.24.0.event_recall,0.6448362720403022
timing.24.0.false_alarms_per_sampled_center_ns,13.165108332394578
timing.24.0.mean_detected_lead_ps,11.56640625
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,3991
timing.48.0.detected_window_timing_mae_ps,10.763412032109139
timing.48.0.detected_window_timing_bias_ps,-0.7952007059672708
timing.48.0.timed_within_3ps_recall,0.046890588626538075
timing.48.0.alarm_episodes,2268
timing.48.0.false_alarm_episodes,1747
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,264
timing.48.0.missed_event_centers,138
timing.48.0.event_recall,0.6567164179104478
timing.48.0.false_alarms_per_sampled_center_ns,13.120048064285982
timing.48.0.mean_detected_lead_ps,26.852272727272727
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,9948
timing.96.0.detected_window_timing_mae_ps,22.305492375660798
timing.96.0.detected_window_timing_bias_ps,-3.7161316183016897
timing.96.0.timed_within_3ps_recall,0.011462026882163768
timing.96.0.alarm_episodes,2248
timing.96.0.false_alarm_episodes,1391
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,241
timing.96.0.missed_event_centers,168
timing.96.0.event_recall,0.589242053789731
timing.96.0.false_alarms_per_sampled_center_ns,10.446472156509332
timing.96.0.mean_detected_lead_ps,62.42116182572614
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.008118143444790182
spatial.0.75.sampled_center_jaccard,0.03554588320638375
spatial.0.75.nearby_pair_difference_rmse,0.039401626143191884
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.0295480794101709
spatial.3.0.sampled_center_jaccard,0.08486823052418187
spatial.3.0.nearby_pair_difference_rmse,0.08225320439190295
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07724944419115075
spatial.9.0.sampled_center_jaccard,0.11259833228445564
spatial.9.0.nearby_pair_difference_rmse,0.1487687940748199
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.16159633571869964
spatial.24.0.sampled_center_jaccard,0.13198826173826173
spatial.24.0.nearby_pair_difference_rmse,0.23906669980314216
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.2528327279771541
spatial.48.0.sampled_center_jaccard,0.1668044158024118
spatial.48.0.nearby_pair_difference_rmse,0.30266808183891164
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3366771037397888
spatial.96.0.sampled_center_jaccard,0.13438977457376544
spatial.96.0.nearby_pair_difference_rmse,0.36519692144266164
spatial.96.0.nearby_pairs,16736
test_event_nll,1.118488166561414
best_selection_nll,1.0575359516586709
