metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.015074694253788925
classification.0.75.brier,0.0024394277033496056
classification.0.75.average_precision,0.017762370551622168
classification.0.75.threshold,0.0124742416664958
classification.0.75.recall,0.3607146492999374
classification.0.75.false_positive_rate,0.042010089429531584
classification.0.75.precision,0.020744848752407213
classification.0.75.auroc,0.9178114967070361
classification.0.75.f1,0.039233370151805655
classification.0.75.balanced_accuracy,0.659352279935203
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0013143376962720683
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.045902654440760575
classification.3.0.brier,0.008663831433057061
classification.3.0.average_precision,0.04288132219349435
classification.3.0.threshold,0.0444120429456234
classification.3.0.recall,0.3123574220595521
classification.3.0.false_positive_rate,0.04084891645870794
classification.3.0.precision,0.06387975276600623
classification.3.0.auroc,0.8401824790937971
classification.3.0.f1,0.1060677478510334
classification.3.0.balanced_accuracy,0.6357542528004221
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.005645057016481957
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.13254205179756817
classification.9.0.brier,0.02979915426884999
classification.9.0.average_precision,0.0817677383271711
classification.9.0.threshold,0.10121703147888184
classification.9.0.recall,0.13733858995853213
classification.9.0.false_positive_rate,0.040030467935174195
classification.9.0.precision,0.09962401569381278
classification.9.0.auroc,0.741966817614829
classification.9.0.f1,0.11548000836442969
classification.9.0.balanced_accuracy,0.548654061011679
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.01422367211438616
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.30509178631034767
classification.24.0.brier,0.08301872259839284
classification.24.0.average_precision,0.13282459049477313
classification.24.0.threshold,0.18599338829517365
classification.24.0.recall,0.1086082935693051
classification.24.0.false_positive_rate,0.049088038200584834
classification.24.0.precision,0.1816526437725209
classification.24.0.auroc,0.6231386736469386
classification.24.0.f1,0.13593963998850112
classification.24.0.balanced_accuracy,0.5297601276843601
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03686433079587925
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.4935456605279478
classification.48.0.brier,0.15691424606647703
classification.48.0.average_precision,0.2083757015467543
classification.48.0.threshold,0.3344271779060364
classification.48.0.recall,0.05821140576553691
classification.48.0.false_positive_rate,0.050535477490123056
classification.48.0.precision,0.2109790387502957
classification.48.0.auroc,0.5586507297309622
classification.48.0.f1,0.09124682307951729
classification.48.0.balanced_accuracy,0.5038379641377069
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.0692900301447168
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6797719692372589
classification.96.0.brier,0.24355706912896669
classification.96.0.average_precision,0.38406673074231257
classification.96.0.threshold,0.5998507142066956
classification.96.0.recall,0.0461345513133292
classification.96.0.false_positive_rate,0.05248078054485109
classification.96.0.precision,0.33810844198069256
classification.96.0.auroc,0.5535102034427881
classification.96.0.f1,0.08119071284712863
classification.96.0.balanced_accuracy,0.4968268853842391
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.1115503087407694
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,43
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.36764705882352944
timing.0.75.alarm_episodes,608
timing.0.75.false_alarm_episodes,592
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,16
timing.0.75.missed_event_centers,52
timing.0.75.event_recall,0.23529411764705882
timing.0.75.false_alarms_per_sampled_center_ns,4.4459464533813975
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,186
timing.3.0.detected_window_timing_mae_ps,0.6683341130696201
timing.3.0.detected_window_timing_bias_ps,-0.2405645785004517
timing.3.0.timed_within_3ps_recall,0.32116788321167883
timing.3.0.alarm_episodes,546
timing.3.0.false_alarm_episodes,481
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,65
timing.3.0.missed_event_centers,209
timing.3.0.event_recall,0.23722627737226276
timing.3.0.false_alarms_per_sampled_center_ns,3.6123314933723853
timing.3.0.mean_detected_lead_ps,1.8115384615384615
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,831
timing.9.0.detected_window_timing_mae_ps,2.109158577040383
timing.9.0.detected_window_timing_bias_ps,0.09986036392087354
timing.9.0.timed_within_3ps_recall,0.11190965092402463
timing.9.0.alarm_episodes,543
timing.9.0.false_alarm_episodes,440
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,103
timing.9.0.missed_event_centers,275
timing.9.0.event_recall,0.2724867724867725
timing.9.0.false_alarms_per_sampled_center_ns,3.3044196612969845
timing.9.0.mean_detected_lead_ps,3.7864077669902914
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2578
timing.24.0.detected_window_timing_mae_ps,5.696375629789736
timing.24.0.detected_window_timing_bias_ps,0.9234078696715515
timing.24.0.timed_within_3ps_recall,0.022545959070412763
timing.24.0.alarm_episodes,1142
timing.24.0.false_alarm_episodes,942
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,167
timing.24.0.missed_event_centers,230
timing.24.0.event_recall,0.42065491183879095
timing.24.0.false_alarms_per_sampled_center_ns,7.074462093049454
timing.24.0.mean_detected_lead_ps,9.60179640718563
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,5679
timing.48.0.detected_window_timing_mae_ps,11.0305702209401
timing.48.0.detected_window_timing_bias_ps,0.033839931179543224
timing.48.0.timed_within_3ps_recall,0.0068174260059860325
timing.48.0.alarm_episodes,1669
timing.48.0.false_alarm_episodes,1398
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,175
timing.48.0.missed_event_centers,227
timing.48.0.event_recall,0.43532338308457713
timing.48.0.false_alarms_per_sampled_center_ns,10.499042469302692
timing.48.0.mean_detected_lead_ps,27.484285714285715
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,11614
timing.96.0.detected_window_timing_mae_ps,24.768841067301732
timing.96.0.detected_window_timing_bias_ps,-6.990838617461367
timing.96.0.timed_within_3ps_recall,0.0026387400016492125
timing.96.0.alarm_episodes,1632
timing.96.0.false_alarm_episodes,1241
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,189
timing.96.0.missed_event_centers,220
timing.96.0.event_recall,0.4621026894865526
timing.96.0.false_alarms_per_sampled_center_ns,9.31996545379445
timing.96.0.mean_detected_lead_ps,65.41269841269842
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.008665181203912587
spatial.0.75.sampled_center_jaccard,0.016955266955266956
spatial.0.75.nearby_pair_difference_rmse,0.04001668741243075
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.03049960266398877
spatial.3.0.sampled_center_jaccard,0.05870279146141215
spatial.3.0.nearby_pair_difference_rmse,0.08507617228075581
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.078029820506596
spatial.9.0.sampled_center_jaccard,0.06059168925022584
spatial.9.0.nearby_pair_difference_rmse,0.15170801409047294
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.16611821381371056
spatial.24.0.sampled_center_jaccard,0.06262353633148367
spatial.24.0.nearby_pair_difference_rmse,0.2378565586742119
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.26577900914553176
spatial.48.0.sampled_center_jaccard,0.03294299459590511
spatial.48.0.nearby_pair_difference_rmse,0.30261896420188056
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.36478266198845216
spatial.96.0.sampled_center_jaccard,0.023571173753963406
spatial.96.0.nearby_pair_difference_rmse,0.36796459030857187
spatial.96.0.nearby_pairs,16736
test_event_nll,1.134090104715767
best_selection_nll,1.1146862000370776
