metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.0024611272127941872
classification.0.75.log_loss,0.012156428517890646
classification.0.75.brier,0.0023601568147608703
classification.0.75.average_precision,0.08545810813751564
classification.0.75.threshold,0.016384318470954895
classification.0.75.recall,0.654689413643915
classification.0.75.false_positive_rate,0.040138559322449315
classification.0.75.precision,0.03868507617354101
classification.0.75.auroc,0.9545597640546902
classification.0.75.f1,0.07305348035949084
classification.0.75.balanced_accuracy,0.807275427160733
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0002588806998419382
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.037982994454664284
classification.3.0.brier,0.00806888463205179
classification.3.0.average_precision,0.16001196184091876
classification.3.0.threshold,0.05277949571609497
classification.3.0.recall,0.5459647814727927
classification.3.0.false_positive_rate,0.04432628752356244
classification.3.0.precision,0.09903146274562308
classification.3.0.auroc,0.9026064516185708
classification.3.0.f1,0.16765273100888356
classification.3.0.balanced_accuracy,0.7508192469746151
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.003436124349417831
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521245
classification.9.0.log_loss,0.11830564272910868
classification.9.0.brier,0.02772676550873639
classification.9.0.average_precision,0.1938868099656578
classification.9.0.threshold,0.11179943382740021
classification.9.0.recall,0.40934428513309207
classification.9.0.false_positive_rate,0.05513853359203792
classification.9.0.precision,0.1931750606347603
classification.9.0.auroc,0.7984996712653383
classification.9.0.f1,0.2624815540165075
classification.9.0.balanced_accuracy,0.6771028757705271
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.011403337531644357
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080059
classification.24.0.log_loss,0.29044833139713944
classification.24.0.brier,0.08020106180168397
classification.24.0.average_precision,0.22074286078448396
classification.24.0.threshold,0.22794438898563385
classification.24.0.recall,0.29445297958093464
classification.24.0.false_positive_rate,0.09261814679733865
classification.24.0.precision,0.2418270495718059
classification.24.0.auroc,0.6797134310126527
classification.24.0.f1,0.2655578855031497
classification.24.0.balanced_accuracy,0.600917416391798
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03852997006372875
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320312
classification.48.0.log_loss,0.48278340508930817
classification.48.0.brier,0.156121673001296
classification.48.0.average_precision,0.2943585142528594
classification.48.0.threshold,0.4072703421115875
classification.48.0.recall,0.24884952458041362
classification.48.0.false_positive_rate,0.11720390759826999
classification.48.0.precision,0.3301500197088359
classification.48.0.auroc,0.6290550560621138
classification.48.0.f1,0.28379184838775845
classification.48.0.balanced_accuracy,0.5658228084910716
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.09535342125316498
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082874
classification.96.0.log_loss,0.6863965046253675
classification.96.0.brier,0.2488196660005672
classification.96.0.average_precision,0.4548289866784273
classification.96.0.threshold,0.7061997652053833
classification.96.0.recall,0.16352656917169253
classification.96.0.false_positive_rate,0.10396556249876768
classification.96.0.precision,0.477531535301239
classification.96.0.auroc,0.6133050957174193
classification.96.0.f1,0.243625634226421
classification.96.0.balanced_accuracy,0.5297805033364624
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.15845011302061532
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,26
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.6176470588235294
timing.0.75.alarm_episodes,466
timing.0.75.false_alarm_episodes,445
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,21
timing.0.75.missed_event_centers,47
timing.0.75.event_recall,0.3088235294117647
timing.0.75.false_alarms_per_sampled_center_ns,3.341969884720814
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,137
timing.3.0.detected_window_timing_mae_ps,0.7527235158242691
timing.3.0.detected_window_timing_bias_ps,-0.3034377848701995
timing.3.0.timed_within_3ps_recall,0.5
timing.3.0.alarm_episodes,611
timing.3.0.false_alarm_episodes,537
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,74
timing.3.0.missed_event_centers,200
timing.3.0.event_recall,0.27007299270072993
timing.3.0.false_alarms_per_sampled_center_ns,4.032893995719275
timing.3.0.mean_detected_lead_ps,1.7837837837837838
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,586
timing.9.0.detected_window_timing_mae_ps,2.0120004418685524
timing.9.0.detected_window_timing_bias_ps,-0.3331846711367717
timing.9.0.timed_within_3ps_recall,0.3131416837782341
timing.9.0.alarm_episodes,1092
timing.9.0.false_alarm_episodes,921
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,171
timing.9.0.missed_event_centers,207
timing.9.0.event_recall,0.4523809523809524
timing.9.0.false_alarms_per_sampled_center_ns,6.91675115466937
timing.9.0.mean_detected_lead_ps,4.464912280701754
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1945
timing.24.0.detected_window_timing_mae_ps,5.320404521056884
timing.24.0.detected_window_timing_bias_ps,-0.11443016295043716
timing.24.0.timed_within_3ps_recall,0.09399930627818245
timing.24.0.alarm_episodes,2041
timing.24.0.false_alarm_episodes,1730
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,247
timing.24.0.missed_event_centers,150
timing.24.0.event_recall,0.6221662468513854
timing.24.0.false_alarms_per_sampled_center_ns,12.992377304644963
timing.24.0.mean_detected_lead_ps,12.006072874493928
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,4220
timing.48.0.detected_window_timing_mae_ps,10.898816740985596
timing.48.0.detected_window_timing_bias_ps,-1.0274884030651308
timing.48.0.timed_within_3ps_recall,0.041902228134353174
timing.48.0.alarm_episodes,2223
timing.48.0.false_alarm_episodes,1724
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,233
timing.48.0.missed_event_centers,169
timing.48.0.event_recall,0.5796019900497512
timing.48.0.false_alarms_per_sampled_center_ns,12.947317036536367
timing.48.0.mean_detected_lead_ps,30.15772532188841
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,9948
timing.96.0.detected_window_timing_mae_ps,22.623918754696945
timing.96.0.detected_window_timing_bias_ps,-3.747277548545696
timing.96.0.timed_within_3ps_recall,0.011462026882163768
timing.96.0.alarm_episodes,2040
timing.96.0.false_alarm_episodes,1331
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,206
timing.96.0.missed_event_centers,203
timing.96.0.event_recall,0.5036674816625917
timing.96.0.false_alarms_per_sampled_center_ns,9.995869475423378
timing.96.0.mean_detected_lead_ps,64.74393203883496
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.008253014790120262
spatial.0.75.sampled_center_jaccard,0.03265073947667804
spatial.0.75.nearby_pair_difference_rmse,0.03968573082404351
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.0284579796850833
spatial.3.0.sampled_center_jaccard,0.0775186846038864
spatial.3.0.nearby_pair_difference_rmse,0.0831857619631846
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07451946284581398
spatial.9.0.sampled_center_jaccard,0.10746628131021194
spatial.9.0.nearby_pair_difference_rmse,0.14962290790018462
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.16173541926854237
spatial.24.0.sampled_center_jaccard,0.12118552929544887
spatial.24.0.nearby_pair_difference_rmse,0.23950895107355374
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.25522973098513096
spatial.48.0.sampled_center_jaccard,0.14336624641678053
spatial.48.0.nearby_pair_difference_rmse,0.30326950328499774
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.34263877691333194
spatial.96.0.sampled_center_jaccard,0.11441154630809802
spatial.96.0.nearby_pair_difference_rmse,0.36489257410133974
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1287348818566956
best_selection_nll,1.066014165058476
