metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.012226347171675676
classification.0.75.brier,0.0023629944366257015
classification.0.75.average_precision,0.0844479544122668
classification.0.75.threshold,0.016393080353736877
classification.0.75.recall,0.6546894136439152
classification.0.75.false_positive_rate,0.03997384916597749
classification.0.75.precision,0.038838285192007924
classification.0.75.auroc,0.9528183199210613
classification.0.75.f1,0.07332660022655108
classification.0.75.balanced_accuracy,0.8073577822389688
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.0002558493920051618
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.038139094665302346
classification.3.0.brier,0.0080828741319989
classification.3.0.average_precision,0.15767139010856568
classification.3.0.threshold,0.05310901999473572
classification.3.0.recall,0.526062845655543
classification.3.0.false_positive_rate,0.04426834582158689
classification.3.0.precision,0.09588053616244128
classification.3.0.auroc,0.9012724563483624
classification.3.0.f1,0.16219864756549307
classification.3.0.balanced_accuracy,0.7408972499169779
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.003393600841235135
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521238
classification.9.0.log_loss,0.11863680438640821
classification.9.0.brier,0.027774856512028635
classification.9.0.average_precision,0.19202131026205496
classification.9.0.threshold,0.11182995140552521
classification.9.0.recall,0.4002729239304402
classification.9.0.false_positive_rate,0.054854461693473515
classification.9.0.precision,0.19050154558489796
classification.9.0.auroc,0.7970245898492986
classification.9.0.f1,0.2581445698799122
classification.9.0.balanced_accuracy,0.6727092311184832
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.011674052970111625
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080055
classification.24.0.log_loss,0.29073464681723254
classification.24.0.brier,0.08027106035216973
classification.24.0.average_precision,0.21993552635144337
classification.24.0.threshold,0.2261052280664444
classification.24.0.recall,0.29552105517982485
classification.24.0.false_positive_rate,0.09435177839161649
classification.24.0.precision,0.2391012866197031
classification.24.0.auroc,0.6785284117975459
classification.24.0.f1,0.2643341252027368
classification.24.0.balanced_accuracy,0.600584638394104
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.038379956679081194
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320362
classification.48.0.log_loss,0.48311630279663736
classification.48.0.brier,0.1562208725830784
classification.48.0.average_precision,0.29332166283428796
classification.48.0.threshold,0.40549445152282715
classification.48.0.recall,0.2527502729132519
classification.48.0.false_positive_rate,0.12007482172494607
classification.48.0.precision,0.3282406973565639
classification.48.0.auroc,0.6281679158746345
classification.48.0.f1,0.2855911023869413
classification.48.0.balanced_accuracy,0.5663377255941529
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.09517441738499358
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082907
classification.96.0.log_loss,0.6866109112168055
classification.96.0.brier,0.24888697949633448
classification.96.0.average_precision,0.4533160757705732
classification.96.0.threshold,0.7042041420936584
classification.96.0.recall,0.16340752338569628
classification.96.0.false_positive_rate,0.10451523229063528
classification.96.0.precision,0.47603442998743484
classification.96.0.auroc,0.612879811768392
classification.96.0.f1,0.243298416190023
classification.96.0.balanced_accuracy,0.5294461455475307
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.15743966012971106
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,26
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.6176470588235294
timing.0.75.alarm_episodes,461
timing.0.75.false_alarm_episodes,439
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,22
timing.0.75.missed_event_centers,46
timing.0.75.event_recall,0.3235294117647059
timing.0.75.false_alarms_per_sampled_center_ns,3.296909616612219
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,142
timing.3.0.detected_window_timing_mae_ps,0.7651405559023912
timing.3.0.detected_window_timing_bias_ps,-0.31671444313502545
timing.3.0.timed_within_3ps_recall,0.48175182481751827
timing.3.0.alarm_episodes,606
timing.3.0.false_alarm_episodes,534
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,72
timing.3.0.missed_event_centers,202
timing.3.0.event_recall,0.26277372262773724
timing.3.0.false_alarms_per_sampled_center_ns,4.010363861664977
timing.3.0.mean_detected_lead_ps,1.7916666666666667
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,593
timing.9.0.detected_window_timing_mae_ps,2.018994537765796
timing.9.0.detected_window_timing_bias_ps,-0.32194386755805326
timing.9.0.timed_within_3ps_recall,0.3059548254620123
timing.9.0.alarm_episodes,1088
timing.9.0.false_alarm_episodes,918
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,170
timing.9.0.missed_event_centers,208
timing.9.0.event_recall,0.4497354497354497
timing.9.0.false_alarms_per_sampled_center_ns,6.894221020615072
timing.9.0.mean_detected_lead_ps,4.447058823529412
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,1938
timing.24.0.detected_window_timing_mae_ps,5.343117727323866
timing.24.0.detected_window_timing_bias_ps,-0.0904842408994385
timing.24.0.timed_within_3ps_recall,0.09469302809573361
timing.24.0.alarm_episodes,2073
timing.24.0.false_alarm_episodes,1766
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,243
timing.24.0.missed_event_centers,154
timing.24.0.event_recall,0.6120906801007556
timing.24.0.false_alarms_per_sampled_center_ns,13.262738913296534
timing.24.0.mean_detected_lead_ps,12.145061728395062
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,4191
timing.48.0.detected_window_timing_mae_ps,10.938327966623568
timing.48.0.detected_window_timing_bias_ps,-1.062110844459144
timing.48.0.timed_within_3ps_recall,0.042234785500498834
timing.48.0.alarm_episodes,2242
timing.48.0.false_alarm_episodes,1743
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,231
timing.48.0.missed_event_centers,171
timing.48.0.event_recall,0.5746268656716418
timing.48.0.false_alarms_per_sampled_center_ns,13.09000788554692
timing.48.0.mean_detected_lead_ps,30.146103896103895
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,9938
timing.96.0.detected_window_timing_mae_ps,22.641978176125527
timing.96.0.detected_window_timing_bias_ps,-4.004303351056643
timing.96.0.timed_within_3ps_recall,0.01137956625711223
timing.96.0.alarm_episodes,2016
timing.96.0.false_alarm_episodes,1312
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,205
timing.96.0.missed_event_centers,204
timing.96.0.event_recall,0.5012224938875306
timing.96.0.false_alarms_per_sampled_center_ns,9.853178626412827
timing.96.0.mean_detected_lead_ps,65.16951219512195
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.008227543958716985
spatial.0.75.sampled_center_jaccard,0.033524684270952926
spatial.0.75.nearby_pair_difference_rmse,0.039703751061791435
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.028396269177569936
spatial.3.0.sampled_center_jaccard,0.07517251725172518
spatial.3.0.nearby_pair_difference_rmse,0.08325164373784061
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07447579200463805
spatial.9.0.sampled_center_jaccard,0.10529516053076263
spatial.9.0.nearby_pair_difference_rmse,0.14970183297158327
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.16175754095690126
spatial.24.0.sampled_center_jaccard,0.1206372766060962
spatial.24.0.nearby_pair_difference_rmse,0.2395148089886077
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.2553301155720038
spatial.48.0.sampled_center_jaccard,0.14357165369167832
spatial.48.0.nearby_pair_difference_rmse,0.3032143147614683
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3429048942558238
spatial.96.0.sampled_center_jaccard,0.11339691508715144
spatial.96.0.nearby_pair_difference_rmse,0.3647608271495669
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1291809119574245
best_selection_nll,1.0661721837385625
